caption,topic
I know someone else who tried that move...once,8
So same time next heart attack?,-1
"What do you mean, “This changes nothing?”",-1
"Don't cheat, Death",0
"There, we are tied..one game apiece!
I SAY THE NEXT GAME IS SUDDEN DEATH!",20
Now the only thing I have left to beat are taxes.,5
"OK, before I remove my hand, if I say 'Checkmate,' what's your next move?",38
"I'm sorry, but your time is up.",18
You’re not the only one with a killer instinct!,8
Checkmate! And don't be a grim loser!,-1
Checkmate! I chose taxes!,5
You're playing one hell of a game,4
Checkmate! Now game two... this time for the taxes thing.,5
And you said I'd spend the rest of my life trying to beat you.,34
And taxes win again!,5
I hope you're not one of those sore losers,40
Checkmate. And thanks for masking.,9
"Your move, Senator McConnell.",74
"Hey! You can't cheat, Death!",0
Checkmate!  The devil wears nada!,82
"Finally, I get to say I cheated Death!",0
"I might be dead soon, but you'll be a loser forever.",40
And that my friend is how you cheat death.,0
A bet’s a bet. Switch jobs for a week.,-1
"Also, if I win, no more taxes!",5
This has been the best game of my life!,4
"It's okay, Death, I cheat everybody.",0
"Aha, now you know what sudden death means in chess.",2
Ah ha! I wi— . . .,57
Checkmate!  Now bring on Taxes!,5
Guess who is out of time now?,87
I'll let you keep my queen if I can keep my soul,6
I call this move ‘cheating death’.,0
You shouldn't have said you were dying to win.,-1
And I don't pay my taxes either.,5
. Cheating death one move at a time,0
"Go to hell, Death. Taxes, you’re up!",5
What!  Checkmate only gets me one more year?,35
"That'll be $100 and my soul back, please.",50
"There”
I win......
Whatcha gonna do about it",1
Checkmate! You should stick to Russian Roulette.,-1
Is that your final move?,19
"I know you'll have the last laugh, but not today.",71
Best of eleven?,13
"For someone whose been playing all eternity, you stink.",4
"Yes, I know who you are, but you still can't move your knight that way!",33
I’ve been dying to try this move.,8
And everyone said you couldn’t be beaten!,34
This is the last time we play a sudden death match!,20
I told you I would cheat Death.,0
"No, no, no. You took your finger off.",12
There IS a God!,-1
Ha! I win . . . ironically in sudden death.,1
"Sorry to cheat, Death.",0
"A simple ""Congratulations!"" without the bony finger would be fine.",12
Can't we just play for FUN sometimes?,4
"Sudden death, mate!",20
"Checkmate, again! I'll see you next year.",-1
It didn't work in The Seventh Seal either.,22
"You were right, the end always comes sooner than you think!",10
Do I look like the kinda person who takes losing lightly?,-1
"If bishop takes queen,
Death takes Bob.",28
"Caught up in the excitement of the moment, Steve realized it was too late to reconsider.",0
"Okay, let me tell you why that was a bad move.",8
"You might want to reconsider,Steve",0
"Not so inevitable now, is it?",-1
Not to be a kill joy... But game over.,51
"Remind me, what are we playing for?",4
Then Bill made a death-defying move.,8
I think that's your final gambit.,45
I'm vaccinated and boosted. Checkmate!,17
"What do you mean ""It ain't over til it's over?""",51
Doug cheated Death for the last time.,0
Keith was prone to losing site of the big picture.,0
I win. As agreed you've got to take my ex instead.,-1
Stalemate! Now send me to purgatory.,-1
That was your last move.,19
Is this a date? It feels like a date.,85
I’ll take your cloak too.,14
"You said best 2 out of 3, right?",13
"OK, you win.  But back to the real reason I am here.",1
It's called the dead man's move.,8
Now who's out of time?,-1
See? You’re not the only one who knows how to use a pale horse!,62
"No, YOU drop dead, big guy.",1
Looks like it’s your time that’s up!,18
Is there something in my teeth?,64
"Checkmate, again! You better not quit your night job.",-1
Checkmate! I win! Back to eternal life!,-1
See? You CAN cheat death!,0
Looks like your endgame was overrated.,10
Checkmate again! Wanna raise the stakes?,-1
Who's time is running out now?,18
Tell me again who the bell tolls for?,87
I guess it's just my lucky day.,42
"Your dark knight lives, but your king is dead.",33
"For the life of me, I can't believe you didn't see my bishop.",28
Ha ... bet ya didn’t expect a sacrifice.,77
"Yeah, the end is near alright - Checkmate!",-1
Checkmate! Now what's that surprise you promised?,39
... and Checkmate!  I’ll bet some Swedish auteur could make a great movie out of this.,49
"Ha! I win. Now I am Death, and you have to attend the zoom meeting!",1
Did you really think I'd fall for the Reaper's gambit?,45
Let’s not play a game that can end in sudden death.,20
I hope you're not a sore loser!,40
Let's skip the post-game handshake.,51
That’s a death defying move.,8
Thought it'd be easy? I survived the pandemic in a flat with three children!,17
I want my boss gone by next Monday,-1
He was always cheating death.,0
"A white guy eludes consequences, what else is new....",27
I live to play another day!,4
I guess I’ll die another day!,-1
This is a once-in-a-lifetime move.,8
"Congratulations, you now own my ""time share"" in Orlando.",-1
Now play my mother-in-law.,79
Gotcha! And I also avoid taxes.,5
Checkmate! We’re all tied. Do you want a sudden death game?,-1
"You knew the stakes, hand over the robe.",14
That’s one game apiece. But don’t get cocky - sudden death is my specialty.,20
Fine. You win. You can buy Twitter.,-1
We're playing hangman next,-1
"No, I never saw that Swedish movie. Why do you ask?",49
Death be not proud...or smart.,81
Ha ha ! … checkmate… take that for an Eternity !,39
"Check mate, and I didn't cheat, Death.",0
"”Let’s call it a draw, then.",67
I know what you’re thinking. It’s a killer move.”,8
You never should have traded your Bishop for my immortal soul.,28
"Didn't see that coming, huh?",26
"Ah, you fall for your own Memento Mori gambit! Checkmate!",45
And you said you always made the last move!,19
And for my last move… checkmate.,38
"Hah--didn't expect a death-defying move, did you?",8
"No, I'm not playing best out of three.",13
Does this mean I get an extra life?,4
You’re short two horsemen,62
"No, I don't think two out of three is a good idea.",23
Checkmate!! Gimme the robe!,14
"Hey, it's been a little creepy, but let's do it again sometime!",42
And I thought the odds were against me.,-1
I’m also not paying my taxes this year.,5
"No hard feelings, I hope!",-1
This is really a killer move!,8
This move is gonna be the death of me.,8
"No, Alex, it’s not the fickle finger of fate.  It’s the middle one: The deadly digit of death.",12
Checkmate! And I don't pay taxes either!,5
Ha! This is even better than beating taxes with offshore accounts.,5
Now who’s a nerd for joining the chess club instead of the football team?,2
Without your dark knight you are nothing!,33
That will be your final move.,19
Why are you always in charge of the clock?,18
"You know, I thought you'd be a lot better at this.",10
Don't quit your day job.,-1
"Okay, Okay. Black can go first this time.",27
"Death, where is thy King?",7
You won't be taking me to knight,33
What do you mean there's no rematch?,59
CHECKMATE---I LIVE,-1
You'll live to regret that!,-1
It’s a sudden death match!,20
"I'm sorry, but there's no cheating, Death.",0
I win! You take my wife instead.,-1
Checkmate! Now bring back my goldfish.,-1
"It was after joyfully checkmating his opponent that Sherman learns he's won an all-expense paid luxury cruise on
the River Styx.",-1
Remember.  This isn't the Ingmar Bergman ending.  It's the Woody Allen ending.,16
I’m sure you’re better at the game of life.,4
Rarer still to experience the thrill of victory and the agony of defeat all in one go.,90
I lied. You're still coming with me.,32
"I call this move ""The kiss of .....you"".",43
Checkmate! Good game. Same time next life?,-1
"Check,,, you're dead",3
"And I didn't even cheat, Death!",0
Nice move. But I'M white.,27
Come on Donald your cheating days are over.,0
I don't care what you say -- there is no sudden death in chess.,2
Stick to the apocalypse.,-1
And THAT'S how we do it in Washington Square!,-1
"Frankly, I’ve played against all of the Four Horseman and none of you are any good!",62
You sacrifice too many pieces.,77
Lean in a little closer so i can tell you what you won.,1
Checkmate!  So much for your end game.,31
"Yes, I paid my taxes. Why?",5
"You are right, there is no cheating death.",0
"Ha! And they said I’d never cheat—beat, sorry, beat—death. Beat.",0
I'm killing it!,83
We were ranked equal at the outset--I work for the IRS.,5
"10,000 hours of internet chess finally pays off!",2
What if we played Life instead?,4
Cheat? How could I cheat death?,0
Checkmate! Hope you're not a grim weeper.,-1
Ha ha! Checkmate! What do you say we make it a little more interesting?,-1
"I am not ready to check out, mate",3
The last guy who beat me was Keith Richards.,-1
Checkmate! Now YOU have to take off one piece of clothing!,14
Over your dead body,-1
"Well, if you're playing with the grim reaper, it's either the game of your life or the end of it.",36
"If you lose again, I get your Halloween costume. OK?",14
I’ve been dying to make that move!,8
"Nice try, but you can't cheat death.",0
Never thought you would take it so personally,-1
Ha! My cardiologist told me I couldn't beat you.,34
Aw...Don't look so grim!,29
I guess Death doesn’t win every time.,-1
It seems an eternity since your last move.,-1
"Ha, cheated you again!",0
You can tell everybody I cheated if that makes you feel any better.,0
"If you make that move,it could be your last!",19
"That'll be one resurrected dog, please",32
Best of three???,13
Hah! Bet you didn’t see that coming.,26
Check! I’m dying to see how you get out of this one.,-1
You dare to cheat Death!,0
This move just kills me.,8
"If that finger is an insult, fine. If it's a summons, too late. Checkmate!!!",12
"OK Reaper, how about double or nothing for YOUR soul.",46
And MATE!!  Now bring on the IRS.,5
Fatal mistake! Checkmate!,11
first of all... I ain't your mate!,3
Nice move  - enjoy your extra day.,-1
That's five dollars -- or your immortal soul!,-1
Check mate...oops,3
...have we talked about the terms if I win?,1
"Great defense, but I never lose playing Sudden Death.",20
"With the way you're playing, I'm surprised less people have cheated death!",0
'Please don't force my hand.',12
Ha! Perpetual check. I live forever.,-1
Check mate! Read it and reap!,3
"So there, that buys me enough time to run and tell off my boss first",-1
So much for your unbeaten streak,-1
"Didn't see that coming, did you?",26
Your last move was your…last move.,19
Checkmate - woo hoo! Now I can die a happy man.,11
If you hadn't been picking your nose you'd have seen this coming! I live!,55
Your problem is that you never see what’s coming!,26
So about Persephone…,-1
I can't believe you fell for the Bergman Gambit!,-1
This isn't about the game is it?,4
Playing with death,37
It doesn't matter who made the first move. The last one is always mine.,19
"Sometimes when you win, you lose",1
Ha!  I get to live to play another day!,4
Good game! Let's skip the handshake.,51
You know that I always get to make the last move.,19
"Boo-yah, now I can go do my taxes.",5
Come closer…I’ll tell you what will happen if you take my King,7
Checkmate! I mean… if that’s ok with you.,9
How did I beat you? I call it the Moderna gambit.,45
Really?  You think Bergman was too heavy handed with his symbolism?,16
Who has the last laugh now?!,71
"You can't take me, I didn't take my finger off yet.",12
"Wait, did you say you're a sore looser?",40
"With my system, you, too, can turn impending doom into winning chess strategy!",2
Very nice. Now what if I told you you were already dead?,53
"Overly confident, his next move was fatal.",8
"It's 2022, dude. You have to do better to scare me.",-1
Death’s Gambit is not a real chess opening,-1
How could you not see that coming?,26
"You know I won fair and square. After all, you can’t cheat death.",0
That move is as old as time!,8
"I stay dressed, and you have to take off your cloak.",14
You're a dead man!,54
"I've cheated better opponents than you, I'm a Republican.",0
"Sadly, keeping your finger on the piece won't delay the inevitable.",12
"C'mon, don't be morbid about it!",-1
It's only a game. Must you be so dead serious?,4
"You can't cheat, Death.",0
The Endgame,10
"You didn't see that coming, did you?",26
Ha! More like the Grim Weeper!,-1
2 out of 3?,23
"SOUL, MATE!",41
Checkmate!! Now you have to be ME for a day!,39
It’s only a game.,4
Don’t look so gloomy; it’s just a game!,29
"Death, your timer is ticking!",18
This is the last time I'll explain to you what the 'little horsies' can do.,76
"I know, I know, I’m on the clock!",18
"Turns out, I can cheat death.",0
"I was scared to death, but I beat you!",-1
"You are dead right,check mate",3
"Look, you can give me the middle finger all you want, but it’s still check mate!",12
This is awkward,25
"Yep, Checkmate, even though you never had any skin in the game.",-1
I thought your endgame skills would be sharper.,10
I’ll take that scythe now.,30
Come on. We’re late for the Met Gala.,-1
I’ve always dreamed of cheating death.,0
"Hey, don't look so grim....In chess, you reap what you sew
!",2
And you thought running out the clock would work here buddy?,18
"The robe! Give me the robe, baby!",14
"MATE...game over! I won! I won! So, what's the big surprise?",1
Good move! But mine will be a killer.,8
"„Watch your next move, it could be fatal.“",8
"If it's any comfort, I beat paying taxes too.",5
Best two out of infinity.,13
Do you have a death wish?,-1
Does it look like I care?,-1
Come on. You win every time.,1
I wish they'd all stop challenging me at chess; its been centuries since I've bargained with a backgammon pro.,2
Nice.  But I get the last move.,19
I see that you fell for my sacrifice.,77
"A draw!  That's it!  What are you going to do about that, tough guy?!",67
"Closer my friend, there’s one little move I need 
to show you…",-1
Who said I can’t beat death,21
I just hope you're not a sore loser.,40
It’s just a saying - “ you’ll win over my dead body.”,-1
"Sorry, Vlad, that's another win for Ukraine!",88
Death loses yet again with a classic bone-headed move.,-1
Next up: taxes.,5
And you thought you’d win in sudden death,20
You’re killin’ me here!,83
"we’re wagering in crypt currency, right?",91
"YES,YOU WON THIS GAME,BUT GUESS WHAT MY MIDDLE FINGER MEANS",12
I so love beating you at chess that I could do it for the rest of my life!,2
Two out of three my ass!,23
"Alright, best two out of three then.",13
You're dead to me.,54
"What do you mean, ""we'll see who laughs last""?",71
"If it makes you feel any better I work in finance, so I’ve been dead inside for quite some time.",-1
"You, taxes and checkmate!",5
Bring my queen back from the dead,6
"Yeah I know it's 2 out of 3,just let me have my moment.",23
Booyah...Cheated Death without cheating!,0
"I knew Max von Sydow, and you're no Max von Sydow.",-1
You don’t stand a chance in hell!,69
I haven't let go yet!,-1
"Stop trying to cheat, Death.",0
Heh heh.....that's life,4
I’ve been dying to play that move.,8
"Things are looking pretty grim now, buddy.",29
"Not for the first time, death wondered why he hadn't challenged Kasparov to Name that Tune",-1
Now get me back in my car before the crash!,-1
I don’t understand why anyone would need to cheat you.,0
You should work on your end game,10
Impressive end-game. Now let me show you mine.,10
"Ah, yes. You beat me. But you didn't ""listen carefully, as the options may have changed.""",-1
"I did not cheat, Death!",0
And they said I shouldn't watch Queens Gambit while driving!,24
Death comes for the bishop!,28
334 out of 666?,23
Read my lips... you cannot win,43
"I wouldn't take that bishop if I were you, Roger.",28
I’ll accept a draw.,67
"So, what's your exit strategy?",10
"Ha!  It feels good to have cheated death, and you can give me the finger all you want.",0
"It’s just a friendly game, right?",4
You only think you've won!,1
Checkmate!  That's two in a row. Next game do you want to play Sudden Death?,-1
No backsies,27
"It’s best two out of three, right?",13
This is how people are cheating you.,0
Reap that buddy...Game over!,61
Who said I play fair?,4
Things are looking pretty grim for you now!,29
"This has been fun, but I much prefer death by chocolate.",37
Plot twist.,0
And that's how you can beat Bobby Fisher down there!,68
Checkmate!  I get another 50 years.,35
Cheating at chess isn't a great analogy....,2
I call this the death trap!,-1
Farewell Faustian Friend,-1
Best out of three?,13
"For the last time, 411 year old Polerio conquers Death . . .",2
Checkmate! Now I live forever.,-1
Having a lonely childhood and an overbearing father finally paid off.,-1
Ha ha! You didn't see that coming!,26
"Ha, I win the five dollars! What shall we play for next?",4
And my ex-wife thought I needed to quit chess to get a life!,2
"No, you're dead!",54
"Despite all the hype, it turns out you're really bad at Chess.",2
"And, if you don't mind, I'll take back Crimea too!",88
Captured your queen! How's that for grim?,6
Let's just take sudden death off the table.,20
"Well done, Steve - you cheated death, but it means you still have to go clothes shopping with your wife.",0
I’m glad you’re not a poor loser.,40
"Check, now I want the secret on how you stay so thin.",47
- Sudden Death Match.,20
"Who's ""Mr. End Game"" now?",10
Wait!  Best two out of three.,13
Alex couldn't beat Death. So he cheated.,0
You call it cheating death but I call it check mate!,0
Not over my dead body.,-1
This game will be the death of me,37
"This time, your time's up!",18
i've sunk your donkey piece,-1
Check Mate? Over my dead body!,3
A pyrrhic victory my friend.,1
Are you new?  Someone else’s life passed before my eyes.,-1
"I pick who's next.  That was the deal, right?",63
I really wouldn’t do that if I were you,-1
"I won!""
""Well look at that... Okay then. A deal is a deal. I'll tell you the truth.... Epstein did not kill himself.",63
"OK, you win. I take off my mask!",-1
"Reap that, bitch!",61
No need to cheat death when I can beat you fair and square.,0
I kill at Chess!,2
I remembered that move from the Bergman film!,16
No one is going to believe me when I say I beat Death!,21
I win! So you get my ex-wife's soul instead of mine! Done deal!,-1
"You let me win, right?",1
Everyone falls for the Queen,6
Over my dead body you win this game,-1
"I won the battle, but I guess you will probably win the war.",1
"You may win a game, but I always make the last move.",19
"Chess is really hard- can we switch to checkers?"" (Roman Gonzales, 14 years old",2
Your time ran out.,18
This time it is my move.,25
You lose!  Now go to Hell!,-1
Carl cheats death one last time,0
"Let's pick this up tomorrow, you look like death.",53
Now that’s a death-defying move.,8
Checkmate! I stay alive,11
"I cheat death, not chess.",2
Checkmate! Time to start planning your funeral bro!,11
I'm the dead man?,53
"Your move, COVID",17
What do you mean I lose anyway?,1
I don't care if you think you're winning. You are out of time.,1
Looks like I can beat death.,21
That would be the last time Jim ever cheated death.,0
It was soooo worth it!,4
That Seals It!,22
This is your last move,19
Ha! You have to do the dishes for a month!,32
And they said I couldn’t cheat death,0
A draw—you forget I'm a tax accountant!,5
"I win again! Next time try botulism, a freak accident or something.",1
I CAN take it with me!,32
Hah! Checkmate. Now you have to take my mother-in-law instead of me!,79
Final answer?,71
Looks like I cheated you again old pal!,0
Did I tell you that I always win at the end?,1
This gives me an idea for a movie.,49
Go ahead and say it.  I dare you.,43
Already dead inside. Checkmate.,11
That seals it for the seventh time!,22
Nice move. Shall we raise the stakes?,-1
"Sorry but, Your time was up!",18
"But coming in, I already reaped your king.",7
And you KNOW I can’t cheat you!,0
Be  Not  Proud!,81
"Go ahead,make my day!",-1
You can still kill me if it makes you feel better.,-1
"I’m pro-choice, man”",58
Hold on. That’s not how it works. I’m supposed to cheat you!,0
Check mate and you can go to Hell!,3
"It doesn't matter if you rule the underworld, the King still can only move one space at a time!",7
"I don't cheat death, I beat it.",0
Aha; Checkmate! Now please lower your bony finger of death.,12
"You can say I cheated, Death. But I won fair and square.",0
Death cometh  not soon  but late !,-1
It’s called the Bergman gambit.,-1
Ha! Death trap!,-1
Checkmate!  I get 10 more years!,35
"NOT SO FAST, WE'RE IN THE MIDDLE GAME, NOT THE END GAME",-1
I won fair and square! Now how many lives do I get?,0
I wouldn't plan too far ahead if I were YOU!,-1
Got your nose!,55
I am NOT your pawn!,48
"Why yes, I HAVE seen "" The Seventh Seal"".",22
"See? You CAN beat Death,after all!",21
Death becomes you. CHECKMATE!,11
"Say, want to watch an old Bergman film now?",16
So now who gets the last laugh!,71
Checkmate again!  I’m starting to wonder how anyone dies around here.,11
Let's make it two out of three.,23
"Check"" Looking grim my friend",29
Now you're a pawn in my game!,48
"Mate, Buddy....you owe me a carton of cigarettes.",-1
"You know you're statistically less likely to win when you choose black.""",27
"OK then, best two out of three?",13
And NOW I get your ticket to next year’s Met Gala!,-1
Game over!,51
You owe me a beer!,-1
"Not this time, Big Guy!",-1
So you'll send Elvis back!,7
"Checkmate, but I'm losing either way.",31
Now YOU’RE on the clock!,18
"No cheatin', Death!",0
This is just a metaphor. What I'm trying to say is you should think about life insurance.,70
How much time do I have to gloat?,-1
A blunder? I thought that was a killer move!,8
Life wins!,4
"On second thought it's two out of three.""",23
The fickle finger of checkmate.,12
That's checkmate again! What are you going to do about it -- kill me?,39
"Checkmate! Now I can include""Outwitting death"" on my resume. Can I use you as a contact?",11
The same strategy beat the IRS,5
Ha! Your time is up,18
I’m not letting you cheat Death again.,0
I'm playing like my life depends on it.,4
"Checkmate, heaven can wait!",82
Reap it and weep!,61
Checkmate!...gotta run now.,15
I have cancer anyway!,17
Good last move.,19
Would you MOVE already?? You act as if we have all the time in the world!,25
Checkmate! We both win.,31
Death does not always win.,-1
I knew you'd never suspect the pale horse!,62
HA! And they said it was impossible to beat Death.,21
Didn’t even have to cheat.,0
"Put me in check all you want, the semi-truck driver is still gonna be lookin at his phone.",14
Double or nothing? You already owe me 100 years!,46
"Check mate!
Now what was it you wanted to talk about?",3
"Check mate, Grim Reaper!",-1
"You are so dead, man!",54
"Come here, I'll show you what Checkmate is.",9
NOW who's the destroyer of worlds?,87
"Mate. Now, give me the sickle and no one gets hurt.",-1
My last opponent exhibited the same irrational exuberance.,1
"You may have my queen, but I have your soul.",6
Checkmate! Now pack up your stupid little virus and blow!,15
Keep your rude gesture to yourself and admit it - I beat Death!,-1
Come a little closer and say that.,-1
"Checkmate! No hard feelings, right?",31
I may have a death wish,-1
"Wait, do you mean you're taking me, or my piece? It makes a difference on how I play this.",-1
"Oh yeah? Check your heartbeat, mate.",3
I can't believe you fell for the Deadman's Gambit!,45
What do you mean no cheating?,0
In this case I'll say soul mate.,41
Let me tell you why that was a killer move!,8
"What do you mean, “check fate?!”",-1
"That’s a perpetual check! So, I got a few more years, right?",35
"OK you win, but next we play spin the bottle.",1
"Come a little closer so I can hear you better. I could have sworn you said, ""Checkmate.""",9
Anthony cheats Death and postpones the pandemic.,0
"I won!  And by won, I think I mean I lost.",1
Harold's binging of Netflix series finally pays off.,49
Seventh Seal this!,22
You’re kind of a dramatic loser.,40
"Ahh, but I haven't lifted my hand off the piece yet, have I?",12
That's mate.  Time for another game?,4
I'll be damned. I won again!,1
I dare you.,43
Check! Now remove a piece of clothing!,14
So whaddaya say best two out of three?,13
You're not the only expert in sudden death!,20
I guess diet and exercise isn't the only way to outsmart death,-1
How’s that for a do-or-die move!,8
So I won.What are you gonna do? Kill me?,1
…And you owe me ten bucks!,-1
"Ha!  Think you got me, huh?",57
And THAT’S my dying wish.,-1
"That middle finger won't help you now, checkmate.",12
"No, no, no, I still have time on my clock!",18
"Double or nothing, for the scythe!",30
Guess you didn’t know I stopped smoking this year!,72
"Checkmate! Now that you have a moment, let's talk about our Lord and Saviour.",82
"Don’t be a sore sport. It’s just a silly game of chess—it’s not life or…well, never mind.",2
Checkmate. Bring Roe back.,58
I see you’re trying to cheat me.,0
Checkmate! I get your cloak!,14
Hmmm...a VERY interesting last move.,19
"Oh, come on.  Just one more game?  You can be white this time.",27
You're out of time.,18
It's called a Smothered Mate - no offense intended.......,3
"Queen me, Bitch!",6
"Here I was, thinking I was just another pawn.""",48
Let me get this straight... this is checkmate... and still I lose?,31
Gotcha. Death be not proud.,81
Come a little bit closer----you`re my kind of man!,-1
Bob quickly realized there are times you should let Death win.,90
Check Mate Bitch,3
"You can't take the Queen...she's only 96!"" 🇬",6
We're both winning!,1
"OK, one more game— double or nothing for the rest of Europe?",46
