,caption,topic,aggregated_theme
53,guess what mom? maybe i do like letting people walk all over me.,-1,Family roles
53268,"well, here's your problem, she's running low on saturated fats and sodium.",-1,Family roles
53266,sorry ma’am your dog is getting too hot! did you put chili oil?,-1,Family roles
53263,"yer buns need buttered, lady.",-1,Family roles
53261,ma’am do you believe a hotdog is a sandwich?,-1,Family roles
53258,she's running low on sodium nitrite.,-1,Family roles
53257,seems you had trouble at the right time and place ma’am. hotdogs are following the ways of chicken wings. soon they’ll be extinct. i know people who would kill for a chance to process this beauty.,-1,Family roles
53256,"the oil’s a little high, but she runs well.",-1,Family roles
53255,"yes, we do sell to women, but why did you think we sell hot dogs?",-1,Family roles
53253,"i’m sorry ma’am, but you know the rules. ‘sun’s out buns out.",-1,Family roles
52,my wife says that i let people walk all over me.,-1,Family roles
53209,looks like she's a little low on grease.,-1,Family roles
53232,"sorry ma’am, they were all out of yellow submarines.",-1,Family roles
53231,"this tells me you’ve never had a girlfriend in your life. also, you’re low on oil.",-1,Family roles
53230,"unfortunately, you are not qualified, madame.",-1,Family roles
53228,"you need a complete change, lady. somebody slipped olive oil in your corn dog.",-1,Family roles
53224,it's russian ransomware. one bitcoin gets her back on the road.,-1,Family roles
81,"was that the old lady from next door? ""woof""",-1,Family roles
80,this is were i broke my mothers back.,-1,Family roles
78,"i tried to tell mom in giltner that this is life in the city. ""i wanna go home"".",-1,Family roles
76,"my wife and my boss walks all over me, why not you people too.",-1,Family roles
53248,no wonder she's running hot.,-1,Family roles
53242,looks like she needs 'kraut,-1,Family roles
53239,well good news is all you need is a pot of water and some weenies to get her goin' again,-1,Family roles
53238,"evidently,  the recipe called for your wife.",-1,Family roles
68,"well, when i was born, my mom said ""welcome, matt"".",-1,Family roles
67,"mother named me matt, now look at me!",-1,Family roles
21529,her mother left her with almost enough to keep her occupied.,-1,Family roles
21528,her new executive coach is very aggressive.,-1,Family roles
96,she keeps saying i let people walk all over me...where's she getting that?,-1,Family roles
95,"she said, ""go to a peaceful place.""",-1,Family roles
90,i knew she was asking for it when my mom named me matt.,-1,Family roles
89,"just trying to get to the bottom of things, mom.",-1,Family roles
86,where's my wife with that needle and thread?,-1,Family roles
53204,when she ordered… it said discrete packaging…..,-1,Family roles
53202,she'll get you to prom...but no further.,-1,Family roles
53198,"ma’am, we sell gasoline and our store sells groceries, but if you want catsup to put on hotdogs, take your business elsewhere!",-1,Family roles
53194,sorry ma’am but this one’s powered by plants.,-1,Family roles
53192,"ma’am, why is your tank full of baked beans?",-1,Family roles
53218,i'll have what she's having,-1,Family roles
53215,"lady, your wienerbago’s overheated. lemme get a tailpipe reading to be sure.",-1,Family roles
53214,"bulky? sure, i'll give you bulky, but the folks at fda gave her a clean bill of health on high-fructose corn syrup.",-1,Family roles
53210,"so how long did you say this thing was,lady?",-1,Family roles
53171,i’m sorry ma’am but the prize for winning the hotdog eating competition is non-exchangeable,-1,Family roles
53167,"sorry, lady.  i'm tellin' ya ... we sold the last relish tank to the idaho potato truck guys.",-1,Family roles
21527,"behold ex-cali-fur. if you can pull it from the desk, you are our new beverly hills sales manager of used mink coats.",-1,Family roles
114,that old lady sure had a well kept muff,-1,Family roles
112,i break my back to save your mother's.,-1,Family roles
110,"always wondered why mother said "" try to stay out from underfoot"" ?",-1,Family roles
21526,i thought the interview would be based on the story of abraham....i have to call my wife,-1,Family roles
108,my wife was right. she always said that i let people walk all over me.,-1,Family roles
104,the gal at the massage parlor wanted to charge me $100 for this.,-1,Family roles
101,so my wife thinks that the human resources dept. is taking their title too literally ...,-1,Family roles
53187,"sorry lady,but you",-1,Family roles
53186,mrs. johnson the dipstick on your weiner indicates an overworked piston ... you did say your name was johnson,-1,Family roles
53185,she seems to be ready for anything except joey chestnut,-1,Family roles
53182,your mobile does not have enough wiener in it madame.,-1,Family roles
53176,nothing wrong with my motor honey bun.  i just wanted to ask you to be my weenie wife and share my weenie life.,-1,Family roles
100,"how long has it been like that?"" ""since beyoncé's super bowl 50 halftime show.",-1,Family roles
128,give my concession speech to my mom and tell her i'm finally getting noticed.,-1,Family roles
127,your mother will thank me.,-1,Family roles
126,i'm testing mother's theory that i must lie down to be walked on.,-1,Family roles
21525,"hansen thrust and perry dodged, spun and evacuated",-1,Family roles
122,"my ex-wife scolded me for allowing everyone to walk all over me. but, hey, i can't help it if i'm a people person",-1,Family roles
121,mom always said women would walk all over me. so far they're just walking around...,-1,Family roles
118,it's an experiment. my wife says people walk all over me.,-1,Family roles
53156,seems your cholesterol's low. has she been running hot?,-1,Family roles
53155,"see this, lady? your giardiniera level is way too low.",-1,Family roles
53149,"well friend, it's not your bun; she's plenty warm enough and you've got plenty of mustard.  i really hate to tell you this but it's your weaner. it's as cold as your ex-wife.",-1,Family roles
53148,"lady, how long has it been since you changed the mustard in this thing?",-1,Family roles
53146,"lady, it's the major league rule of uber, first vehicle gets the ride...hey wait a minute, i'm low on mustard...",-1,Family roles
53145,"give it some ethanol and you've got yourself a corndog.""
barbara bloom, vancouver, b",-1,Family roles
53144,i've come to fill her up with gas station hot dogs!,-1,Family roles
20084,"i know you're sleeping with with my wife, johnson.",-1,Family roles
53141,fill her up with extra chillies.,-1,Family roles
53124,sorry ma’am. this thing only runs on dijon.,-1,Family roles
53122,"well, she’s a tad low on sodium nitrite, but you oughta make it home for that barbecue.",-1,Family roles
53113,"ma’am, your veggie dog trailer has gone rogue, there is nothing but beef grease here!",-1,Family roles
53111,"ma’am, this puppy runs on fat, meat slurry, pink slime, salt, sodium erythorbate and sodium nitrite. unfortunately   we do not sell those individually.",-1,Family roles
147,"the messier, the better; then your mother won't trust us to do this anymore.",-1,Family roles
141,you'll understand one day when your mother-in-law is visiting.,-1,Family roles
140,no thanks - i'm trying to beat mom's fitbit total,-1,Family roles
137,it's your mom's idea.,-1,Family roles
136,"""your mother said we should be spending more time together"".",-1,Family roles
135,tell your mother i'll be in to meet her parents when i'm done.,-1,Family roles
134,because i promised your mother we would talk after i finished the driveway.,-1,Family roles
53140,"and if you keep putting more ethanol in her, pretty soon you're gonna have yourself a corn dog.",-1,Family roles
53134,"ma’am, hot dogs aren’t allowed here, as this is a taco stand.",-1,Family roles
53132,"sorrry madam, but this dog is cooked.",-1,Family roles
131,i promised to take your mother shoe shopping as soon as i was finished.,-1,Family roles
129,my wife says i should view people from another angle.,-1,Family roles
53031,"sorry ma’am, we’re short on chips",-1,Family roles
53029,"yeah, looks like a regular hot dog. sorry ma’am, we’re vegan.",-1,Family roles
53047,"fried or boiled? either way, she's running hot...",-1,Family roles
53075,"when you said you had a hybrid, ma’am i was expecting a tesla or something.",-1,Family roles
53071,"as far as i know lady, there are no pork products in 10w 30.",-1,Family roles
158,"no, i won't tweet cory booker to come over and shovel our sidewalk",-1,Family roles
155,i have no idea why your mother says i'm always doing things the hard way.,-1,Family roles
152,shhh. i told your mother i'd watch the view with her as soon as i cleared the entire sidewalk.,-1,Family roles
53091,she’s burning oil rapidly!,-1,Family roles
53090,"it was supposed to be a pizza crust, but the dough rose too fast.",-1,Family roles
53088,"looks like you’re a little low on relish, ma’am.",-1,Family roles
53080,"i wouldn't know about your car madam, all i know is my oil level is perfect when it measures a foot long.",-1,Family roles
53105,looks like she's real low on saturated fat.  i suggest some chicken lip additive.,-1,Family roles
53100,mrs epstein- this is not an all beef hotdogmobile,-1,Family roles
53099,"you said you wanted to impress her, right?",-1,Family roles
53098,"you're low on katsup, see? that's why she won't accelerate.",-1,Family roles
53004,i told you she was running lean.,-1,Family roles
53001,"sorry to say, ma’am, but your car was already cooked months ago.",-1,Family roles
52997,"madam, your hot dog sedan needs some oil.",-1,Family roles
176,you'll never find mom with that one.,-1,Family roles
171,when i want your mother's advice i'll ask for it.,-1,Family roles
169,get inside with that before your mother sees you.,-1,Family roles
167,it was your mother's idea.,-1,Family roles
166,mom says she needs her ice cream scoop back.,-1,Family roles
165,and then she has the nerve to accuse me of always taking the good pillow.,-1,Family roles
53027,"ma’am, no matter how hard you try, this is a classic and cannot be plugged in like your tesla.",-1,Family roles
53025,and no swimming for at least 30 minutes after you park her.,-1,Family roles
53023,"lady, your wiener is leaking.",-1,Family roles
53016,"lady, you're leaking pickle juice.",-1,Family roles
53015,looks like she’s running a little hot,-1,Family roles
53040,"look, ma’am, i just work for postmates. you’re going to have to contact them about ‘misleading descriptions.’",-1,Family roles
53039,"a 1975 weinermobile. a classic, she/her is smog exempt.",-1,Family roles
52971,fill her up with dirty water.,-1,Family roles
52968,"those pilot truck stop people may be able to help you, but your bun is too big for me ms. meyer",-1,Family roles
194,"this one keeps me out longer, away from your mother.",-1,Family roles
193,"come on mom, we have 5 more houses to do.",-1,Family roles
189,"thanks, but your mother isn't always right.",-1,Family roles
188,"go see if mom has warmed your cocoa, and remind her i'd like my reward shaken...",-1,Family roles
20116,"if i’d known that this is all it amounts to, i would’ve killed your mother right off the bat.",-1,Family roles
52993,"she's brand new,
vienna sausage, german engineering.",-1,Family roles
52992,it's a test model. first we go electric. then we take her to space.,-1,Family roles
52987,"yep, i got her all beefed up.",-1,Family roles
52982,"sorry ma’am, it’s pretty fried in there.",-1,Family roles
52981,that's what she said.,-1,Family roles
20114,"i was told that i need to work on how i micromanage. anyway, another woman came forward accusing you of unwelcome advances. here's a resignation letter for you to sign.",-1,Family roles
53009,"sorry for the confusion ma’am, but it’s not that kind of truck",-1,Family roles
53008,"sorry ma’am, but you’re going to need a new carb-orator.",-1,Family roles
53006,i see here she runs on french fry grease. how ‘bout that!,-1,Family roles
52918,"i found the problem, ma’am. someone put catsup on your hot dog.",-1,Family roles
52917,"this is my personal vehicle ma’am, and i’m not sure what you mean by “compensating.”",-1,Family roles
52946,i’d relish your final days with her; she’s cooked.,-1,Family roles
52939,you want me to dill her up?,-1,Family roles
52938,it would appear ma’am that your car is in fact a hot dog,-1,Family roles
52934,she’s all filled up!,-1,Family roles
207,your mother wants me to teach you about fairness.,-1,Family roles
206,"keep at it, mom. i'm sure my little pail is down there somewhere.",-1,Family roles
200,"it may be small, but i know what to do with it and the wife's just happy i can go so fast!",-1,Family roles
52963,"sorry ma’am, i’m only certified to work on beef dogs. this here is pork.",-1,Family roles
52959,"ma’am, it’s time to eat this dog.",-1,Family roles
52957,"she’s in good shape for 100,000 foot-longs",-1,Family roles
52954,i drive her with relish,-1,Family roles
52950,"frankly ma’am, your buns are toast and your dog is cooked!",-1,Family roles
52977,"everything looks fine. you’re taking excellent care of this vehicle. and quite frankly i couldn’t be more proud of you kiddo. you’re pursuing your dreams in marketing and this job is a huge step in that direction. i put a little cash in the glove box, not much, but enough to treat yourself every now and then. drive safely and call mom once and awhile. she misses you.",-1,Family roles
52972,"you've got one hell of a weiner, lady.",-1,Family roles
52874,"these babies are designed to run on straight yellow, stone ground runs to rich.",-1,Family roles
52870,"regardless of what you were told by the dealer, ma’am, it’s not actually meat.",-1,Family roles
52891,"“i agree with you completely, ma’am.  i too wish i were a competent mechanic.  that is what i’d truly like to be.  because if i were a competent mechanic, everyone would be in love with me.”",-1,Family roles
52886,your wife told us that your wiener has been breaking down a lot lately.,-1,Family roles
228,tell your mom i enjoy oxymorons!,-1,Family roles
218,your mother insisted i complete a 12-step program.,-1,Family roles
216,mom wants her spatula back!,-1,Family roles
213,can you believe your mother calls me a perfectionist?,-1,Family roles
52911,"ma’am, the  sign says full service not grill service.",-1,Family roles
52910,"i'm no hot-dog mechanic, lady, but i'd say this puppy is done.",-1,Family roles
52909,"you aren’t the first woman to tell me my wiener is too big for them, and you won’t be the last!",-1,Family roles
52904,she’ll  smoke less on avocado oil.,-1,Family roles
52932,"ma’am, you can’t park your hot dog here!",-1,Family roles
52930,"sorry ma’am, but you’re gonna burn some oil anytime you’re hotdogging.",-1,Family roles
52921,"i'm sorry, mrs jones, but it'll take six weeks for a new bratwurst to get here from germany""",-1,Family roles
52920,"if you push her hard enough, you can make coney island by sundown.",-1,Family roles
52838,try adding a little sauerkraut once in a while to keep her purring.,-1,Family roles
244,mom's got her glasses on backwards again.,-1,Family roles
243,your wife also likes it bigger.,-1,Family roles
237,tell your mother i am on my way to work.,-1,Family roles
235,i'm going to tell mom that you made me use the big scoop.,-1,Family roles
233,we'll get more done when mom gets here,-1,Family roles
20113,you've been served for impersonating the best ventriloquist act this side of queens....,-1,Family roles
52868,stone ground may taste better but it really does a number on your fuel lines.,-1,Family roles
52863,"she gets 50 miles to the gallon on french's, but only 50 kilometers per liter on grey poupon.",-1,Family roles
52861,"listen lady, i wouldn’t drive it on an empty stomach!",-1,Family roles
52859,"i’m sorry to say ma’am, but you’ve just been driving it with too little relish.",-1,Family roles
52858,"lady, when's the last time you had your mustard changed?",-1,Family roles
52853,"here’s your problem, ma’am. your car is past its ‘use by’ date.",-1,Family roles
52882,"this thing’s charred, ma’am. you’re gonna need a new grill.",-1,Family roles
52880,"actually madam, i think the problem is with the grill.",-1,Family roles
52879,and she’ll last you another twenty if you keep the buns fresh.,-1,Family roles
52817,"sure, you can try, but even my best guys can't outrun her.",-1,Family roles
52813,"madam, you’ve come to just the right place! that’ll be 50$ for a ticket.",-1,Family roles
52810,the race goes not to the swift.,-1,Family roles
52808,"i can rent it to you , but i think you would have a lot more fun copulating with a female turtle",-1,Family roles
52807,"i promise to displace the existing market leaders 
and become a true disrupter.""

susan nee-collins
boston, m",-1,Family roles
260,"didn't you listen to your mom, work harder not smarter.",-1,Family roles
257,"i keep hearing your mom, she needs you inside.",-1,Family roles
248,that's what she said.,-1,Family roles
247,mom wants her spoon back.,-1,Family roles
245,take that back to your mother -- it's more fun using this one.,-1,Family roles
52828,"it’s cooked, ma’am, nothing i can do.",-1,Family roles
52826,you said you wanna quit the gym? maria will help you with the process!,-1,Family roles
52824,round and round she goes and where she stops nobody knows!,-1,Family roles
20110,here is your vbucks pay check plus your mom gay,-1,Family roles
52847,"yep, she’s going to need a new bun.",-1,Family roles
52846,no ma’am this is a tofu dog. they’re usually low in everything.,-1,Family roles
52776,"but i never thought your mother's ashes would be baked into blueberry muffins""",-1,Family roles
276,'...let's swap wives too',-1,Family roles
275,you're sure your mother's inside?,-1,Family roles
274,"remember, not a word about my 'stamina' to your mother.",-1,Family roles
270,your mom doesn't want me to vote for bernie.,-1,Family roles
269,mommy said it was right in the garage where she said it was???,-1,Family roles
265,young people have lots of drive but no ability. adults have lots of ability but little drive. we work together and we might just finish before your mom comes home.,-1,Family roles
264,mommy hid it because she didn't want you to have a heart attack.,-1,Family roles
262,"you're the best, mrs. g! thanks for having my favorite popsicle on hand for me!",-1,Family roles
52802,"grandma turtle, come and enroll you in the new fitness course",-1,Family roles
52801,i'll have what she's having,-1,Family roles
52800,i mean when your mother told you you could accomplish anything you put your mind to…,-1,Family roles
52796,"i believe a long-term approach is equally important; afterall, the race is not for the swift",-1,Family roles
52795,"whadeya mean, ""the race is not always to the swift?""",-1,Family roles
52792,"yes, i know the race is not always to the swift, but that's who we're looking for today.",-1,Family roles
52819,"what do you mean she's gone? we had a date! now, she did want fast food but i was thinking tacos - you know, something with a shell.",-1,Family roles
52733,"not all grim reapers, cynthia.",-1,Family roles
52730,mom's motivational posters never prepared me for this.,-1,Family roles
52728,she says these biscuits are to die for.,-1,Family roles
52726,these are my wife's death by chocolate tarts.,-1,Family roles
52725,"two birds with one stone, so to speak.",-1,Family roles
52755,your mother is turning over in her grave. the cherry ones are to die for.,-1,Family roles
52745,"honey, i’ve known her since i was born, she has all my trust!",-1,Family roles
285,you tell your mother that's she not funny.,-1,Family roles
283,your mom may be right about tiger parenting.,-1,Family roles
280,"a convenient mixup, mom.",-1,Family roles
278,mom says she needs that spatula for the flapjacks.,-1,Family roles
52762,how many months will we have to spend with your mother if we eat these?,-1,Family roles
52757,she said is going to be a bittersweet ending,-1,Family roles
52786,my mom said i'm too sedentary.,-1,Family roles
52784,join now and in three months i guarantee the lady turtles will be after you like you can’t believe,-1,Family roles
52778,« she can’t be worse than our previous neighbours »,-1,Family roles
52705,"my mother used to bake these, and, if it’s the last thing we do, let’s try one together.",-1,Family roles
52703,"this lady says her cupcakes will make me die of pleasure, and they are free",-1,Family roles
52701,they look just like my mother's cookies,-1,Family roles
52699,"darling, she said it isn't an offer",-1,Family roles
308,"it's not about how quickly the job gets done, timmy. it's about how much time i get away from your mother.",-1,Family roles
304,the optics appear indefensible; but a bet is a bet mother.,-1,Family roles
303,"hey, leave your mom alone!",-1,Family roles
302,does your wife know you're into swapping?,-1,Family roles
298,your mother says she thinks you might be gay.,-1,Family roles
294,i suppose that's your mother's idea.,-1,Family roles
52720,she said she gets to keep the wings and drummies. apparently there is a shortage.,-1,Family roles
52715,"reckoned i'd best make you the soap myself this june, molly.",-1,Family roles
52714,i’m just trying to give your mother a life,-1,Family roles
52709,and you said all the moms are doing it?,-1,Family roles
52738,"well, cheryl, the yelp review said these empanadas are to die for.",-1,Family roles
52734,she says welcome yo the neighborhood!,-1,Family roles
52649,your mother’s meatloaf would be more effective.,-1,Family roles
324,"no thanks, i'm good. trying to avoid my visiting mother-in-law!",-1,Family roles
321,mom said you might want this for the finishing touches.,-1,Family roles
320,your mother finds emasculation amusing. that is why.,-1,Family roles
20109,it's from your mother. it says stop sending me e-mails and come to dinner this friday.,-1,Family roles
315,mom was just joking around when she said you were over-compensating,-1,Family roles
313,"now, you be sure to tell your mother what you learned this weekend.",-1,Family roles
310,mom says you're avoiding her.,-1,Family roles
309,"well, she can't spank me.",-1,Family roles
52676,it's a gift sent by my my ex-wife.,-1,Family roles
52673,"she says it’s an old family recipe, “death warmed over.”",-1,Family roles
52671,jennifer fetch the gin,-1,Family roles
52666,it looks just like mom’s devils food cake,-1,Family roles
20104,my wife said no to the motorcycle. i’m not proud of this.,-1,Family roles
52679,it’s your mother’s cookies,-1,Family roles
52708,"oh no honey, this nice lady was just welcoming us to the neighborhood.",-1,Family roles
52617,"hey alive me pass these to her and sorry, couldn't find more exciting stuff in the grave which wasn't for me",-1,Family roles
52613,"karen, life has not showed up in a while plus these are 2 cents a piece cheaper",-1,Family roles
20102,bring-your-daughter-to-work day has been hard since patty got custody.,-1,Family roles
338,stop calling me jasmine.,-1,Family roles
336,is your mother trying to give me a heart attack?,-1,Family roles
20101,do you think she’ll like it?,-1,Family roles
334,"it was right where mom said, hanging in front of your face.",-1,Family roles
331,maybe we should have stopped at wife swapping.,-1,Family roles
52639,"i already sold my soul at work, so i figure a few cookies won't make much difference. besides, helen, they're really tasty.",-1,Family roles
52638,your mother asked me to stop by the bakery.,-1,Family roles
52636,your mother looks hungry.,-1,Family roles
52632,it’s a gift from trini lopez.,-1,Family roles
52630,these look just like my mom's cookies to die for.,-1,Family roles
52660,we’ll let your mother try it first.,-1,Family roles
52658,"i know it’s thoughtful of her, but they look expired.",-1,Family roles
52652,psst! i look like this because i ate one of these... my wife made them. want some?,-1,Family roles
354,she held the kapotasana pose too long. the body's in the small studio.,-1,Family roles
352,stop trying to sneak her in!,-1,Family roles
351,does your mother know you took it?,-1,Family roles
21506,we had to ditch the lady in the lake. hr says “downsizing” but i got wind of a harassment suit coming.,-1,Family roles
347,put her back.,-1,Family roles
346,"unfortunately, nobody here goes by jasmine!",-1,Family roles
345,"no,the other ladies would not like to share your mat with you.",-1,Family roles
343,"you have to stop asking the girls to join your ""magic mat.""",-1,Family roles
342,do you have a note from your wife?,-1,Family roles
52607,she is telling me that there is a special place in hell for life coaches and this is their welcome gift,-1,Family roles
52605,"to differentiate herself,she wants us to make a tart instead.",-1,Family roles
52602,i'll have what she's having,-1,Family roles
52599,your mother is staying with us.,-1,Family roles
52597,she sounds dead serious about it.,-1,Family roles
52627,this is best treat she can offer,-1,Family roles
52624,it’s a gift from my ex-wife.,-1,Family roles
370,"dump her in the swamp, but hurry back. bikram starts in five.",-1,Family roles
369,"welcome to a whole new world , my name is jasmine and i'll be your instructor.",-1,Family roles
366,"""naw, must stay,"" sandra insisted.",-1,Family roles
364,...and my name is princess jasmine but it's still too big!,-1,Family roles
21502,"your next project assignment is not set in stone, art, but i think you get the idea.",-1,Family roles
362,"unless you have a small woman in there, you've come to the wrong place.",-1,Family roles
361,"unless it's cleopatra inside there, she'll have to pay.",-1,Family roles
359,...and i told your wife not to try that pose at home.,-1,Family roles
21517,"fetch me my pen, watson!",-1,Family roles
52580,"look susan, if every pork chop were perfect, we wouldn't have hotdogs.",-1,Family roles
52569,"honey,is your mother expecting company?",-1,Family roles
52566,they were fed high-grade organic feed with no anti-biotics and each chicken had her own padded straw bed with a mint on her pillow each evning.,-1,Family roles
52565,they're delicious. your mother will love them!,-1,Family roles
52594,your mothers favorites.,-1,Family roles
52586,"when ma said, “these are to die for,” she wasn’t kidding.",-1,Family roles
52585,"i owed life some, just wanted to pay her back",-1,Family roles
380,i'm getting tired of ms. cleopatra's grand entrances.,-1,Family roles
379,"sorry, your mother was wrong, and she dresses you funny.",-1,Family roles
378,jasmine's classes are on tuesdays and thursdays.,-1,Family roles
377,"you'll have to come back tomorrow, ms. antoinette just called in sick.",-1,Family roles
375,i'm afraid we can't do anything about your girlfriend's body now.,-1,Family roles
374,"""your wife called. she fell and broke her hip climbing out of the shower"".",-1,Family roles
373,"in the future, ms. cleopatra, you are going to need to use the front door like everyone else.",-1,Family roles
52548,my mother's cookies; sure to kill us all.,-1,Family roles
52546,"the food is great, she's always on time, but her outfit ain't so hot for customer relations.",-1,Family roles
52544,should we surprise your mom with one?,-1,Family roles
52541,"eva, you want some fruits? they taste better!",-1,Family roles
52537,mother always said her muffins were to die for.,-1,Family roles
52534,when i said your mother looked like death warmed over i didn't mean it literally,-1,Family roles
52563,this is the special order for your mother.,-1,Family roles
52553,where did you hide my mother's pitcher?,-1,Family roles
371,the difference is... your mother is wrong and i am right... again!,-1,Family roles
52453,"ya, i know my options, amy, and i’m sorry but i told you already ‘i’d rather die than play 1 more board game.’",-1,Family roles
52474,but you said to get your mom a gift!,-1,Family roles
52500,anna wintour likes to bring the neighborhood gay empanadas.,-1,Family roles
399,not sure what happened to her but the body is in the back room.,-1,Family roles
398,you muslims always think you can kill two birds with one stone.,-1,Family roles
396,my wife told me that y’all might be able to teach me how to ride this thing.,-1,Family roles
21516,and you should see her pen.,-1,Family roles
393,it's not funny anymore! she's a collector on the 5th floor!,-1,Family roles
52513,"sorry honey, she's my main squeeze now.",-1,Family roles
52507,"it's important that we support local business owners, rose. aren't we all just trying to get back to business as usual?",-1,Family roles
52504,"jeez “keto karen”, i was only going to eat one!",-1,Family roles
52502,your mother wants fresh squeezed at the funeral.,-1,Family roles
52501,she's offering me a sweet deal,-1,Family roles
52526,"are these raisin muffins?"" asks death. 
""your healthy baking has doomed us, helen!""",-1,Family roles
52524,"i think she said, “it’s an end of season special………all i can eat.”",-1,Family roles
384,"that's for ""rugrats,"" the mother-child pilates studio next door.",-1,Family roles
416,my mom says you'd like to chew on one of these.,-1,Family roles
415,"you won't find your jasmine here, aladdin.",-1,Family roles
414,send henrietta back. she's beyond our help.,-1,Family roles
410,you really should not be forcing your girlfriend to come to class.,-1,Family roles
409,"i guess you could kill two birds with one stone, but kneeling east towards mecca, means you won't be facing the instructor.",-1,Family roles
408,'wife rolled into rug' is not a pose.,-1,Family roles
407,"at this point, she realized that the relationship was not going to work.",-1,Family roles
406,"take her, and put her in the garbage truck.",-1,Family roles
405,my wife is lost in thought. can you please tell her that she promised the kid's that she would take them to the park today?,-1,Family roles
52432,it's ok sweetie...they are for your mother!,-1,Family roles
52429,she says she felt bad for coming with no warning,-1,Family roles
52423,"carol, just because you hold a doctorate in symbolic pun studies doesn’t mean you have to overthink everything.",-1,Family roles
52451,best delivery service. she always finds you.,-1,Family roles
52438,"it taste heaven susan, try it.",-1,Family roles
52465,they smell just like the ones your mother makes.,-1,Family roles
52461,your mother is being overly dramatic again,-1,Family roles
435,"first of all, i'm not your ""girl."" moreover, i'm not going to close my eyes, look inside, and let the sound take me away.",-1,Family roles
430,is jasmine teaching today's class ?,-1,Family roles
429,"no... i will not be your ""jasmine.""",-1,Family roles
426,just dump her in the marsh and hurry back. bikram is at noon and people drop like flies.,-1,Family roles
424,put her out back for now.,-1,Family roles
423,"surprise me, you were thrown out of the house, and you're planning on staying until she takes you back. right?",-1,Family roles
422,you're karmic vibes are telling me you have anger issues with her!,-1,Family roles
52403,"for once, brenda, forget the carbs.  just live like there’s no tomorrow.",-1,Family roles
52395,these apple turnovers are from my departed mother.  she remembered that i never wrote down the recipe.,-1,Family roles
52394,at least they smell better than your sister's tuna puff.,-1,Family roles
52392,"apparently, the regular welcome wagon lady's out with the flu.",-1,Family roles
52391,i know they are your mother's favorite.,-1,Family roles
52420,it's not the grim reaper. it's just meryl streep doing research for a part. she told me.,-1,Family roles
52411,why not? we ate your mother's terrible scones and survived.,-1,Family roles
52410,life sends her regrets,-1,Family roles
52405,please! thank your mother 4 the gifts.,-1,Family roles
451,i'm not your little girl & i am not going anywhere with you on some magic carpet ride.,-1,Family roles
449,"it was not appropriate last week when you offered any female in the room to ""take a ride on your magic carpet""",-1,Family roles
447,mrs. vanderbilt will not be here today.,-1,Family roles
445,"you heard me, into the river. and if anyone asks, she came here in the corpse pose",-1,Family roles
