Topic,Count,Name,Representation,Representative_Docs,Representative Documents
23,61,23_head_soft_clouds_swirl,"['head', 'soft', 'clouds', 'swirl', 'heads', 'cone', 'swirling', 'pumpkin', 'conehead', 'shape']","['said head', 'said head', 'see head']","['said head', 'said head', 'see head']"
24,60,24_fraternity_brother_old_frat,"['fraternity', 'brother', 'old', 'frat', 'college', 'turns', 'brothers', 'belonged', 'buddy', 'membership']","['old fraternity brother', 'old fraternity brother', 'old fraternity brother']","['old fraternity brother', 'old fraternity brother', 'old fraternity brother']"
25,60,25_brain_freeze_cream_ice,"['brain', 'freeze', 'cream', 'ice', 'headaches', 'headache', 'scream', 'head', 'constant', 'igors']","['like brain freeze time', 'told brain freeze head', 'said brain freeze']","['like brain freeze time', 'told brain freeze head', 'said brain freeze']"
26,58,26_spin_house_floor_downstairs,"['spin', 'house', 'floor', 'downstairs', 'white', 'stairs', 'steps', 'altruistic', '5th', 'profile']","['think time see spin', 'need spin', 'said spin']","['think time see spin', 'need spin', 'said spin']"
27,57,27_iron_meant_deficiency_needed,"['iron', 'meant', 'deficiency', 'needed', 'anemic', 'vitamin', 'said', 'kinks', 'ironed', 'ironing']","['meant said needed iron', 'meant said needed iron', 'meant said needed iron']","['meant said needed iron', 'meant said needed iron', 'meant said needed iron']"
28,57,28_effects_altitude_consult_warn,"['effects', 'altitude', 'consult', 'warn', 'include', 'effect', 'medication', 'unusual', 'ask', 'warned']","['said new medication might side effects', 'one side effects tell', 'side effects']","['said new medication might side effects', 'one side effects tell', 'side effects']"
29,56,29_royal_pain_ass_majesty,"['royal', 'pain', 'ass', 'majesty', 'highness', 'sire', 'refer', 'majestys', 'knight', 'summon']","['sure royal pain ass', 'say royal pain ass', 'says royal pain ass']","['sure royal pain ass', 'say royal pain ass', 'says royal pain ass']"
30,56,30_crown_crowns_new_meant,"['crown', 'crowns', 'new', 'meant', 'need', 'needed', 'replaced', 'replace', 'think', 'needs']","['see may need new crown', 'go new crown', 'think need see crown']","['see may need new crown', 'go new crown', 'think need see crown']"
31,55,31_ears_ear_nose_hearing,"['ears', 'ear', 'nose', 'hearing', 'tinnitus', 'noises', 'scratch', 'popping', 'screaming', 'pulse']","['ear nose throat leave see rest next door', 'headed ears nose trunk', 'looking ear nose trunk']","['ear nose throat leave see rest next door', 'headed ears nose trunk', 'looking ear nose trunk']"
32,55,32_psychologists_psychiatrists_office_psychology,"['psychologists', 'psychiatrists', 'office', 'psychology', 'session', 'entire', 'psychotherapists', 'onethird', 'conversation', 'modern']","['best work psychiatrists seem like', 'home range psychiatrists psychologists analze', 'actual psychiatry office admitted past 5 months used laptops desktop computers editing suite monitors spend entire session discussing form submit company prescriptions lieu insurance today went person first time tiny room man proudly displaying degree know say except last lady saw quit proceeded tell form already submitted way implied stupid care even ironic waiting sign entire time silent woman sat adjacent transcribing entire conversation somewhere court stenographer piano maestro typingcomposing seemed urgent concerto anytime spoke environment expect people open trauma look cartoon tell scenario think weird take notepad iguana insanity disguised modern hip mental health services plcarrico']","['best work psychiatrists seem like', 'home range psychiatrists psychologists analze', 'actual psychiatry office admitted past 5 months used laptops desktop computers editing suite monitors spend entire session discussing form submit company prescriptions lieu insurance today went person first time tiny room man proudly displaying degree know say except last lady saw quit proceeded tell form already submitted way implied stupid care even ironic waiting sign entire time silent woman sat adjacent transcribing entire conversation somewhere court stenographer piano maestro typingcomposing seemed urgent concerto anytime spoke environment expect people open trauma look cartoon tell scenario think weird take notepad iguana insanity disguised modern hip mental health services plcarrico']"
33,53,33_eye_eyes_opticians_ophthalmologists,"['eye', 'eyes', 'opticians', 'ophthalmologists', 'blind', 'complete', 'speaking', 'line', 'need', 'diagnosis']","['need eye', 'said keep eye', 'see eye eye']","['need eye', 'said keep eye', 'see eye eye']"
34,53,34_wife_couples_married_husband,"['wife', 'couples', 'married', 'husband', 'marriage', 'relationship', 'threesome', 'marital', 'bride', 'husbands']","['need help split wife', 'nasa found astrology helpful counseling married couples', 'idea wife sent']","['need help split wife', 'nasa found astrology helpful counseling married couples', 'idea wife sent']"
35,52,35_weight_exercise_shoulders_world,"['weight', 'exercise', 'shoulders', 'world', 'heavy', 'carrying', 'enormous', 'starting', 'lifted', 'gym']","['know feel like weight world', 'weight world', 'sometimes feel like weight world']","['know feel like weight world', 'weight world', 'sometimes feel like weight world']"
36,51,36_lawyer_mama_babies_grow,"['lawyer', 'mama', 'babies', 'grow', 'priest', 'let', 'lawyers', '13', 'baby', 'mamas']","['mama let lawyer', 'need lawyer', 'get lawyer']","['mama let lawyer', 'need lawyer', 'get lawyer']"
37,50,37_honey_nutso_camouflage_saw,"['honey', 'nutso', 'camouflage', 'saw', 'talked', 'bee', 'today', 'camouflagedoctor', 'hashtag', 'honeydolist']","['honey call like four hours', 'honey doctors said head', 'honey still need go back']","['honey call like four hours', 'honey doctors said head', 'honey still need go back']"
38,49,38_apple_away_keeps_day,"['apple', 'away', 'keeps', 'day', 'apples', 'cherry', 'adam', 'particular', 'dad', 'dead']","['apple day keeps away', 'apple day keeps away apple day keeps away', 'apple day keeps away']","['apple day keeps away', 'apple day keeps away apple day keeps away', 'apple day keeps away']"
39,48,39_note_doctors_notes_tuition,"['note', 'doctors', 'notes', 'tuition', 'wheel', 'writing', 'wrote', 'majesty', 'cardiovascular', 'accommodate']","['doctors note', 'doctors note', 'doctors note']","['doctors note', 'doctors note', 'doctors note']"
40,47,40_fear_immersion_anxiety_irrational,"['fear', 'immersion', 'anxiety', 'irrational', 'fears', 'heights', 'agoraphobia', 'phobia', 'bitten', 'acqaphobia']","['silly fear doctors completely irrational', 'prescribed immersion fear retirement', 'help completely irrational fear doctors made']","['silly fear doctors completely irrational', 'prescribed immersion fear retirement', 'help completely irrational fear doctors made']"
41,47,41_doctorate_doctoral_degree_university,"['doctorate', 'doctoral', 'degree', 'university', 'honorary', 'thesis', 'doctorates', 'doctorall', 'dissertation', 'harvard']","['honorary doctorate big deal still working ask quack', 'actually honorary doctorate degree coney island', 'got degree med school got doctorate lab']","['honorary doctorate big deal still working ask quack', 'actually honorary doctorate degree coney island', 'got degree med school got doctorate lab']"
42,46,42_mother_dad_mom_hates,"['mother', 'dad', 'mom', 'hates', 'married', 'pictures', 'catty', 'asksyou', 'byproduct', 'jewish']","['going believe mother', 'thing see mother', 'last mother mother mother']","['going believe mother', 'thing see mother', 'last mother mother mother']"
43,46,43_dinner_tonight_table_dining,"['dinner', 'tonight', 'table', 'dining', 'shall', 'joining', 'set', 'evening', 'leftovers', 'plate']","['shall set dinner table two', 'dinner two tonight', 'two dinner tonight']","['shall set dinner table two', 'dinner two tonight', 'two dinner tonight']"
44,45,44_wear_clothes_jacket_wearing,"['wear', 'clothes', 'jacket', 'wearing', 'pants', 'dress', 'stripes', 'plaid', 'halloween', 'tailor']","['know wearing chintz fashionable plaid stripes', 'quite opposite compared previous client actually quite tame wore underwear outside pants thought bat', 'lipstickred couch black vinyl armchair swivel chrome base beatles boots straightlegged pants shawlcollared jacket turtleneck sure pop']","['know wearing chintz fashionable plaid stripes', 'quite opposite compared previous client actually quite tame wore underwear outside pants thought bat', 'lipstickred couch black vinyl armchair swivel chrome base beatles boots straightlegged pants shawlcollared jacket turtleneck sure pop']"
45,45,45_lip_service_lips_giving,"['lip', 'service', 'lips', 'giving', 'freudian', 'red', 'ruby', 'fool', 'feel', 'wise']","['need move beyond lip service', 'enough lip service', 'seem give lip service']","['need move beyond lip service', 'enough lip service', 'seem give lip service']"
46,45,46_disco_stayin_alive_music,"['disco', 'stayin', 'alive', 'music', 'distracting', 'lights', 'dead', 'dance', 'funk', 'staycation']","['disco dead', 'giving dr disco feel like disco', 'play stayin alive want doctorbut disco lights got go']","['disco dead', 'giving dr disco feel like disco', 'play stayin alive want doctorbut disco lights got go']"
47,45,47_dream_recurring_nightmares_dreams,"['dream', 'recurring', 'nightmares', 'dreams', 'dreaming', 'stones', 'famous', 'kama', 'dreamed', 'jagger']","['recurring dream nobody pays attention', 'doctori recurring dream kissed', 'sometimes dream']","['recurring dream nobody pays attention', 'doctori recurring dream kissed', 'sometimes dream']"
48,44,48_insurance_cover_company_claim,"['insurance', 'cover', 'company', 'claim', 'deductible', 'policy', 'copay', 'expensive', 'plan', 'accept']","['said live still insurance', 'said insurance cover', 'find way like health insurance']","['said live still insurance', 'said insurance cover', 'find way like health insurance']"
49,44,49_nurses_teachers_strike_hospital,"['nurses', 'teachers', 'strike', 'hospital', 'popular', 'icing', 'emergency', 'got', 'iv', 'nice']","['nurses strike best without', 'nurses lot fun', 'said king trying doctors nurses']","['nurses strike best without', 'nurses lot fun', 'said king trying doctors nurses']"
50,44,50_doctorpatient_confidentiality_relationship_patient,"['doctorpatient', 'confidentiality', 'relationship', 'patient', 'privilege', 'trust', 'partners', 'physicianpatient', 'breach', 'professional']","['would think would breach doctorpatient confidentiality', 'take doctorpatient confidentiality seriously', 'course doctorpatient confidentiality']","['would think would breach doctorpatient confidentiality', 'take doctorpatient confidentiality seriously', 'course doctorpatient confidentiality']"
51,43,51_fever_saturday_disco_night,"['fever', 'saturday', 'disco', 'night', 'temperature', 'contagious', 'boogie', 'flashes', 'case', 'causing']","['yes serious case disco fever', 'keep getting fever says nothing', 'disco fever']","['yes serious case disco fever', 'keep getting fever says nothing', 'disco fever']"
52,43,52_vaccine_covid_covid19_effects,"['vaccine', 'covid', 'covid19', 'effects', 'testing', 'effect', 'brave', 'volunteers', 'try', 'new']","['warn new vaccine side effects', 'sorry going try vaccine yet', 'said vaccine']","['warn new vaccine side effects', 'sorry going try vaccine yet', 'said vaccine']"
53,43,53_syndrome_nest_egg_small,"['syndrome', 'nest', 'egg', 'small', 'improvosed', 'dumpty', 'explosive', 'called', 'humpty', 'device']","['thinks empty nest syndrome', 'called empty nest syndrome', 'said empty nest syndrome']","['thinks empty nest syndrome', 'called empty nest syndrome', 'said empty nest syndrome']"
54,42,54_work_home_working_essential,"['work', 'home', 'working', 'essential', 'wrapped', 'worker', 'bringing', 'related', 'considered', 'easy']","['work going next', 'care said work work', 'said work']","['work going next', 'care said work work', 'said work']"
55,41,55_mental_health_coverage_insurance,"['mental', 'health', 'coverage', 'insurance', 'benefits', 'services', 'offer', 'care', 'plan', 'cheapo']","['afraid mental health insurance include slipandfall coverage', 'well last time ask company plan mental health benefits', 'looking better mental health coverage']","['afraid mental health insurance include slipandfall coverage', 'well last time ask company plan mental health benefits', 'looking better mental health coverage']"
56,40,56_presume_ah_john_chose,"['presume', 'ah', 'john', 'chose', 'franz', 'robin', 'jerry', 'named', 'mister', 'ed']","['look jeckyll mister hyde court stenographer needs pick one names stick', 'barry robin maurice ah ah ah', 'john presume']","['look jeckyll mister hyde court stenographer needs pick one names stick', 'barry robin maurice ah ah ah', 'john presume']"
57,39,57_hoarse_little_hoarseness_throat,"['hoarse', 'little', 'hoarseness', 'throat', 'feeling', 'persists', 'sore', 'cough', 'felt', 'dorrit']","['note says feeling little hoarse', 'tell little hoarse', 'says little hoarse']","['note says feeling little hoarse', 'tell little hoarse', 'says little hoarse']"
58,38,58_pain_stabbing_pains_painhe,"['pain', 'stabbing', 'pains', 'painhe', 'sharp', 'yes', 'relieve', 'hurts', 'hurt', 'wife']","['like stabbing pain', 'yes could call stabbing pain', 'stabbing pain back']","['like stabbing pain', 'yes could call stabbing pain', 'stabbing pain back']"
59,38,59_physicians_doctors_howard_anne,"['physicians', 'doctors', 'howard', 'anne', 'younger', 'doctoring', 'replace', 'remember', 'type', 'bauer']","['drs howard fine howard attending physicians', 'resumé indicates expert ball doctoring mr bauer nonetheless unqualified work fertility clinic', 'doctors bernard mary bledsome would like meet anne opheles anne asked introduced heard endocrinologists specializing pituitary disorders']","['drs howard fine howard attending physicians', 'resumé indicates expert ball doctoring mr bauer nonetheless unqualified work fertility clinic', 'doctors bernard mary bledsome would like meet anne opheles anne asked introduced heard endocrinologists specializing pituitary disorders']"
60,38,60_week_weeks_months_miracle,"['week', 'weeks', 'months', 'miracle', 'monday', 'says', 'stand', 'forecast', '10th', '235']","['told keep week', 'said take another week', 'see last week']","['told keep week', 'said take another week', 'see last week']"
61,38,61_maze_mazes_labyrinth_navigate,"['maze', 'mazes', 'labyrinth', 'navigate', 'run', 'running', 'way', 'completed', 'doctorate', 'mouse']","['trial maze left', 'think ready maze', 'maze mine']","['trial maze left', 'think ready maze', 'maze mine']"
62,38,62_sugar_sweets_avoid_cut,"['sugar', 'sweets', 'avoid', 'cut', 'lay', 'told', 'pass', 'levels', 'stay', 'advised']","['well told cut back sweets', 'doctors told avoid sugar', 'told cut sugar']","['well told cut back sweets', 'doctors told avoid sugar', 'told cut sugar']"
63,36,63_pagliacci_clown_great_faustus,"['pagliacci', 'clown', 'great', 'faustus', 'marlowes', 'blotliacci', 'communist', 'referred', 'hell', 'red']","['great clown pagliacci', 'great clown pagliacci', 'great clown pagliacci']","['great clown pagliacci', 'great clown pagliacci', 'great clown pagliacci']"
64,36,64_fluids_water_hydrated_plenty,"['fluids', 'water', 'hydrated', 'plenty', 'liquids', 'needed', 'serum', 'zoom', 'lay', 'stay']","['told keep fluids', 'said needed plenty fluids', 'said needed plenty fluids']","['told keep fluids', 'said needed plenty fluids', 'said needed plenty fluids']"
65,34,65_hives_case_worst_seen,"['hives', 'case', 'worst', 'seen', 'hive', 'break', 'colony', 'collapse', 'singularly', 'perfume']","['said worst case hives would even seen', 'said worst case hives ever seen', 'said worst case hives ever seen']","['said worst case hives would even seen', 'said worst case hives ever seen', 'said worst case hives ever seen']"
66,34,66_know_honest_knows_good,"['know', 'honest', 'knows', 'good', 'equals', 'identities', 'brick', 'perverted', 'layer', 'ruth']","['know good', 'know good', 'know always']","['know good', 'know good', 'know always']"
67,34,67_sleep_sleeping_catatonic_snoring,"['sleep', 'sleeping', 'catatonic', 'snoring', 'sleepwalking', 'insomnia', 'asleep', 'pills', 'prevent', 'tell']","['said work less sleep better idea', 'yes sleeping much better', 'says get enough sleep']","['said work less sleep better idea', 'yes sleeping much better', 'says get enough sleep']"
68,33,68_couch_sofa_love_lips,"['couch', 'sofa', 'love', 'lips', 'obsession', 'honestly', 'tell', 'looks', 'lipshaped', 'jaggars']","['love office couch', 'love couch', 'would like go back couch']","['love office couch', 'love couch', 'would like go back couch']"
69,33,69_cheese_moved_swiss_bloody,"['cheese', 'moved', 'swiss', 'bloody', 'craving', 'address', 'cheddar', 'cheeseflavored', 'bein', 'cheesesearchunfortunately']","['sorry know moved cheese', 'moved cheese', 'could eat cheese cheese']","['sorry know moved cheese', 'moved cheese', 'could eat cheese cheese']"
70,32,70_stress_relax_baggage_sport,"['stress', 'relax', 'baggage', 'sport', 'dub', 'reduce', 'stressful', 'related', 'whacko', 'sweating']","['told need reduce work related stress', 'recommend stress test', 'stress test need prescription']","['told need reduce work related stress', 'recommend stress test', 'stress test need prescription']"
71,32,71_snake_snakes_oil_herpetologist,"['snake', 'snakes', 'oil', 'herpetologist', 'referral', 'salesmen', 'separation', 'jones', 'concern', 'suggest']","['tell snake fine anything else need referral', 'says last prescribed snake oil', 'take snake right']","['tell snake fine anything else need referral', 'says last prescribed snake oil', 'take snake right']"
72,32,72_refer_referral_going_case,"['refer', 'referral', 'going', 'case', 'interested', 'referring', 'knowhe', 'contingency', 'forwarded', 'consultation']","['going refer', 'going refer', 'going refer']","['going refer', 'going refer', 'going refer']"
73,31,73_calls_house_makes_matt,"['calls', 'house', 'makes', 'matt', 'mechanic', 'aggravated', 'filming', 'howto', 'gps', 'mechanicing']","['makes house calls', 'found makes house calls', 'house calls']","['makes house calls', 'found makes house calls', 'house calls']"
74,29,74_karma_har_told_president,"['karma', 'har', 'told', 'president', 'mistress', 'whatthe', 'eggonomically', 'picts', 'danes', 'commit']","['har har har buddy know got better', 'find karma cruel mistress', 'telling karma karma karma karma karma']","['har har har buddy know got better', 'find karma cruel mistress', 'telling karma karma karma karma karma']"
75,29,75_acupuncture_recommended_try_helping,"['acupuncture', 'recommended', 'try', 'helping', 'suggested', 'acupuncturists', 'antianxiety', 'cbd', 'getup', 'flexibility']","['prescribed acupuncture', 'said try acupuncture', 'recommended acupuncture']","['prescribed acupuncture', 'said try acupuncture', 'recommended acupuncture']"
76,29,76_chiropractors_businesses_catering_chiropractic,"['chiropractors', 'businesses', 'catering', 'chiropractic', 'chiropractoroh', 'elephants', 'circling', 'therapistthen', 'stealing', 'untwist']","['remember way chiropractors office', 'believe chiropractors either', 'say chiropractors']","['remember way chiropractors office', 'believe chiropractors either', 'say chiropractors']"
77,28,77_dermatologists_ointment_mime_sun,"['dermatologists', 'ointment', 'mime', 'sun', 'cover', 'drift', 'europe', 'encino', 'continental', 'feudal']","['appointment dermatologists tomorrow', 'dermatologists hate', 'parents dermatologists']","['appointment dermatologists tomorrow', 'dermatologists hate', 'parents dermatologists']"
78,28,78_fiber_eat_diet_fiberglass,"['fiber', 'eat', 'diet', 'fiberglass', 'need', 'fibre', 'nutrients', 'orchestrate', 'quotient', 'saysits']","['says need fiber', 'says need fiber', 'said get fiber']","['says need fiber', 'says need fiber', 'said get fiber']"
79,28,79_bills_killing_saving_till,"['bills', 'killing', 'saving', 'till', 'family', 'betray', 'depth', 'educate', 'dexterity', 'monetary']","['nice bills killing us', 'bills killing us', 'move bills killing']","['nice bills killing us', 'bills killing us', 'move bills killing']"
80,27,80_chest_breath_tightness_tight,"['chest', 'breath', 'tightness', 'tight', 'crushing', 'shortness', 'squeezing', 'refer', 'pain', 'tests']","['tightness chest going refer', 'need get chest', 'never get anything chest move']","['tightness chest going refer', 'need get chest', 'never get anything chest move']"
81,27,81_meet_met_date_building,"['meet', 'met', 'date', 'building', 'empire', 'state', 'match', 'age', 'dating', 'aa']","['first date exciting since empire state building life bore', 'least meet', 'seemed like perfect match met top empire state building']","['first date exciting since empire state building life bore', 'least meet', 'seemed like perfect match met top empire state building']"
82,26,82_trust_goldie_impartial_tabby,"['trust', 'goldie', 'impartial', 'tabby', 'istanbul', 'forensic', 'precedes', 'drain', 'weasel', 'lifetime']","['trust real', 'see trust', 'much trust']","['trust real', 'see trust', 'much trust']"
83,26,83_pool_swim_spend_swimming,"['pool', 'swim', 'spend', 'swimming', 'hour', 'time', 'enjoying', 'adult', 'computer', 'waters']","['said spend time pool', 'told spend time pool', 'told spend time pool']","['said spend time pool', 'told spend time pool', 'told spend time pool']"
84,26,84_oral_fixation_worse_creepy,"['oral', 'fixation', 'worse', 'creepy', 'corrector', 'doctoradd', 'mcleod', 'motif', 'obstetrics', 'fixations']","['tell oral fixation', 'oral fixation', 'oral fixation']","['tell oral fixation', 'oral fixation', 'oral fixation']"
85,26,85_play_tv_disney_network,"['play', 'tv', 'disney', 'network', 'fuck', 'plays', 'correcti', 'adventure', 'nelson', 'thompson']","['real play one disney', 'good news really play one tv', 'want play']","['real play one disney', 'good news really play one tv', 'want play']"
86,25,86_sheep_count_counting_sleep,"['sheep', 'count', 'counting', 'sleep', 'sheepish', 'insomnia', 'asleep', 'fall', 'deprived', 'alseep']","['counting sheep seem working', 'said counting sheep might help', 'says want sleep might help count sheep']","['counting sheep seem working', 'said counting sheep might help', 'says want sleep might help count sheep']"
87,24,87_hair_rogaine_mandruff_shampoo,"['hair', 'rogaine', 'mandruff', 'shampoo', 'gave', 'special', 'loss', 'hairpes', 'haircut', 'salon']","['going kill gave prescription rogaine', 'really bad hair day today', 'ask sir hair loss']","['going kill gave prescription rogaine', 'really bad hair day today', 'ask sir hair loss']"
88,24,88_calling_let_age_cit,"['calling', 'let', 'age', 'cit', 'commerical', 'benjamin', 'evergreen', 'jekyll', 'kaneda', 'melvin']","['look honey let us remember call tomorrow let know finally got first podcast us worried', 'let get bronze age calling', 'sorry calling human today benjamin kaneda new york cit']","['look honey let us remember call tomorrow let know finally got first podcast us worried', 'let get bronze age calling', 'sorry calling human today benjamin kaneda new york cit']"
89,23,89_spine_spinal_narcolepsy_lumbar,"['spine', 'spinal', 'narcolepsy', 'lumbar', 'sciatica', 'tierra', 'stiffening', 'adjustment', 'adjust', '110']","['went spine straighten', 'seem help worry call spine', 'say spine prescribed']","['went spine straighten', 'seem help worry call spine', 'say spine prescribed']"
90,23,90_digging_dig_snow_shovel,"['digging', 'dig', 'snow', 'shovel', 'hole', 'deeper', 'trowel', 'collects', 'exits', 'backing']","['well told dig deeper', 'well say digging deeper would help', 'well meant digging hole']","['well told dig deeper', 'well say digging deeper would help', 'well meant digging hole']"
91,23,91_watson_letters_word_sidekick,"['watson', 'letters', 'word', 'sidekick', 'letter', 'simple', 'puzzle', 'elementary', 'shame', 'famous']","['supposed mean watson sidekick', 'watson 3 letter word', 'six letters watson']","['supposed mean watson sidekick', 'watson 3 letter word', 'six letters watson']"
92,23,92_hemorrhoids_hemorrhoid_dandruff_flaring,"['hemorrhoids', 'hemorrhoid', 'dandruff', 'flaring', 'als', 'lozenges', 'soaks', 'purchase', 'recovered', 'frequent']","['recommended hemorrhoids', 'seems think help hemorrhoids', 'said good hemorrhoids']","['recommended hemorrhoids', 'seems think help hemorrhoids', 'said good hemorrhoids']"
