Occupation,Job Zone,Code,Synonyms
actuary,,,"['actuary', 'actuaries']"
polisher,,,"['polisher', 'polishers']"
merchandise displayer,,,['merchandise displayers']
software developer,,,['software developers']
carpenter,,,"['carpenter', 'carpenters']"
producer,,,"['producer', 'producers']"
writer,,,['writers']
labourer,,,"['labourer', 'labourers']"
dispatcher,,,['dispatchers']
funeral director,,,['funeral directors']
cytotechnologist,,,['cytotechnologists']
jeweler,,,['jewelers']
sailor,,,"['sailor', 'sailors']"
programmer,,,"['programmer', 'programmers']"
registered nurse,,,['registered nurses']
hairdresser,,,['hairdressers']
actor,,,"['actor', 'actors']"
microbiologist,,,['microbiologists']
presser,,,['pressers']
therapist,,,['therapists']
tax preparer,,,['tax preparers']
fashion designer,,,['fashion designers']
pediatrician,,,"['pediatrician', 'pediatricians']"
lawyer,,,"['lawyer', 'lawyers']"
orthopedic surgeon,,,['orthopedic surgeons']
chef,,,"['chef', 'chefs']"
clergy,,,"['clergy', 'clergies']"
adjuster,,,['adjusters']
emergency medical technician,,,"['emergency medical technician', 'emergency medical technicians']"
novelist,,,"['novelist', 'novelists']"
audiologist,,,['audiologists']
tractor-trailer driver,,,['tractor-trailer drivers']
taper,,,['tapers']
pathologist,,,['pathologists']
fence erector,,,['fence erectors']
aesthetician,,,"['aesthetician', 'aestheticians']"
anesthesiologist,,,['anesthesiologists']
buyer,,,"['buyer', 'buyers']"
umpire,,,['umpires']
scaffolder,,,"['scaffolder', 'scaffolders']"
epidemiologist,,,['epidemiologists']
entrepreneur,,,"['entrepreneur', 'entrepreneurs']"
farmworker,,,['farmworkers']
treasurer,,,"['treasurer', 'treasurers']"
pipefitter,,,['pipefitters']
orderly,,,['orderlies']
judge,,,"['judge', 'judges']"
nutritionist,,,['nutritionists']
stylist,,,"['stylist', 'stylists']"
handler,,,['handlers']
laundry worker,,,['laundry workers']
jailer,,,['jailers']
occupational therapist,,,['occupational therapists']
maid,,,['maids']
secretary,,,"['secretary', 'secretaries']"
hospitalist,,,['hospitalists']
fundraiser,,,['fundraisers']
physicist,,,['physicists']
screenwriter,,,"['screenwriter', 'screenwriters']"
veterinarian,,,"['veterinarian', 'veterinarians']"
material-moving worker,,,['material-moving workers']
sewing machine operator,,,['sewing machine operators']
anesthetist,,,['anesthetists']
logistician,,,['logisticians']
prosthodontist,,,['prosthodontists']
messenger,,,['messengers']
glazier,,,['glaziers']
climatologist,,,"['climatologist', 'climatologists']"
millwright,,,['millwrights']
investigator,,,['investigators']
director,,,"['director', 'directors']"
counsellor,,,"['counsellor', 'counsellors']"
consultant,,,"['consultant', 'consultants']"
mentor,,,"['mentor', 'mentors']"
architect,,,['architects']
tester,,,['testers']
astronaut,,,"['astronaut', 'astronauts']"
telecommunicator,,,['telecommunicators']
police,,,"['police', 'polices']"
prosthetist,,,['prosthetists']
air traffic controller,,,"['air traffic controller', 'air traffic controllers']"
groundskeeper,,,['groundskeepers']
pipelayer,,,['pipelayers']
controller,,,['controllers']
lifeguard,,,['lifeguards']
midwife,,,['midwives']
practitioner,,,"['practitioner', 'practitioners']"
entertainer,,,['entertainers']
repairer,,,"['repairer', 'repairers']"
specialist,,,['specialists']
demonstrator,,,['demonstrators']
proofreader,,,['proofreaders']
registrar,,,"['registrar', 'registrars']"
phlebotomist,,,['phlebotomists']
distributor,,,['distributors']
economist,,,['economists']
leader,,,"['leader', 'leaders']"
dentist,,,"['dentist', 'dentists']"
interior designer,,,['interior designers']
musical tuner,,,['musical tuners']
restorer,,,"['restorer', 'restorers']"
receptionist,,,['receptionists']
metal-refining worker,,,['metal-refining workers']
bellhop,,,['bellhops']
psychiatrist,,,['psychiatrists']
carrier,,,['carriers']
offbearer,,,['offbearers']
histotechnologist,,,['histotechnologists']
aerospace engineer,,,"['aerospace engineer', 'aerospace engineers']"
museum conservator,,,['museum conservators']
zoologist,,,"['zoologist', 'zoologists']"
oncologist,,,"['oncologist', 'oncologists']"
coroner,,,['coroners']
host,,,['hosts']
chief,,,"['chief', 'chiefs']"
author,,,['authors']
fitness trainer,,,['fitness trainers']
cost estimator,,,['cost estimators']
hydrotherapist,,,"['hydrotherapist', 'hydrotherapists']"
assayer,,,"['assayer', 'assayers']"
trader,,,"['trader', 'traders']"
inspector,,,"['inspector', 'inspectors']"
weigher,,,['weighers']
orthodontist,,,['orthodontists']
fire chief,,,"['fire chief', 'fire chiefs']"
hydrologist,,,['hydrologists']
ophthalmic technician,,,['ophthalmic technicians']
dealer,,,['dealers']
geologist,,,"['geologist', 'geologists']"
concierge,,,['concierges']
mover,,,['movers']
crane operator,,,['crane operators']
biophysicist,,,['biophysicists']
slaughterer,,,"['slaughterer', 'slaughterers']"
osteopath,,,"['osteopath', 'osteopaths']"
surveyor,,,"['surveyor', 'surveyors']"
coo,,,"['coo', 'coos']"
assistant,,,"['assistant', 'assistants']"
educator,,,['educators']
assessor,,,"['assessor', 'assessors']"
miner,,,"['miner', 'miners']"
psychologist,,,"['psychologist', 'psychologists']"
commissioner,,,"['commissioner', 'commissioners']"
geneticist,,,['geneticists']
craft worker,,,['craft workers']
breeder,,,['breeders']
auditor,,,"['auditor', 'auditors']"
interpreter,,,"['interpreter', 'interpreters']"
chemical engineer,,,"['chemical engineer', 'chemical engineers']"
magistrate,,,['magistrates']
aromatherapist,,,"['aromatherapist', 'aromatherapists']"
supervisor,,,"['supervisor', 'supervisors']"
landscaper,,,['landscapers']
technologist,,,"['technologist', 'technologists']"
rancher,,,['ranchers']
archeologist,,,['archeologists']
captioner,,,['captioners']
quantitative analyst,,,"['quantitative analyst', 'quantitative analysts']"
contractor,,,['contractors']
clerk,,,"['clerk', 'clerks']"
merchant,,,['merchants']
diagnostic sonographer,,,['diagnostic sonographers']
crematory operator,,,['crematory operators']
arranger,,,['arrangers']
tender,,,['tenders']
trimmer,,,['trimmers']
engineer,,,['engineers']
embalmer,,,['embalmers']
assembler,,,['assemblers']
diplomat,,,"['diplomat', 'diplomats']"
coordinator,,,['coordinators']
feeder,,,['feeders']
ceo,,,"['ceo', 'ceos']"
administrator,,,"['administrator', 'administrators']"
pedicurist,,,['pedicurists']
laborer,,,['laborers']
agronomist,,,"['agronomist', 'agronomists']"
executive,,,"['executive', 'executives']"
maintainer,,,"['maintainer', 'maintainers']"
builder,,,"['builder', 'builders']"
erector,,,['erectors']
woodworker,,,['woodworkers']
firefighter,,,['firefighters']
foundry worker,,,['foundry workers']
biologist,,,['biologists']
robotics engineer,,,['robotics engineers']
heating and air conditioning technician,,,['heating and air conditioning technicians']
radiographer,,,"['radiographer', 'radiographers']"
cfo,,,"['cfo', 'cfoes']"
drywall installer,,,['drywall installers']
scout,,,['scouts']
correctional officer,,,"['correctional officer', 'correctional officers']"
electrical engineer,,,"['electrical engineer', 'electrical engineers']"
anthropologist,,,['anthropologists']
mechanic,,,['mechanics']
cabinetmaker,,,['cabinetmakers']
performer,,,"['performer', 'performers']"
composer,,,"['composer', 'composers']"
caretaker,,,['caretakers']
cardiologist,,,"['cardiologist', 'cardiologists']"
projectionist,,,['projectionists']
manufacturer,,,"['manufacturer', 'manufacturers']"
fuel cell technician,,,['fuel cell technicians']
nurse,,,['nurses']
truck driver,,,['truck drivers']
biochemist,,,['biochemists']
enlisted personnel,,,"['enlisted personnel', 'enlisted personnels']"
moulder,,,"['moulder', 'moulders']"
singer,,,['singers']
archaeologist,,,"['archaeologist', 'archaeologists']"
operative,,,"['operative', 'operatives']"
retail worker,,,['retail workers']
mathematician,,,['mathematicians']
paleontologist,,,"['paleontologist', 'paleontologists']"
optician,,,['opticians']
baker,,,['bakers']
potter,,,['potters']
driver/sales worker,,,['driver/sales workers']
software architect,,,"['software architect', 'software architects']"
designer,,,"['designer', 'designers']"
geoscientist,,,['geoscientists']
astrologer,,,"['astrologer', 'astrologers']"
restaurant worker,,,['restaurant workers']
senator,,,"['senator', 'senators']"
civil engineer,,,"['civil engineer', 'civil engineers']"
excavating operator,,,['excavating operators']
aide,,,['aides']
cosmonaut,,,"['cosmonaut', 'cosmonauts']"
dental assistant,,,['dental assistants']
translator,,,['translators']
diver,,,"['diver', 'divers']"
photogrammetrist,,,['photogrammetrists']
electrician,,,"['electrician', 'electricians']"
ambassador,,,"['ambassador', 'ambassadors']"
copywriter,,,"['copywriter', 'copywriters']"
lecturer,,,"['lecturer', 'lecturers']"
forester,,,['foresters']
filer,,,['filers']
solderer,,,['solderers']
gynecologist,,,['gynecologists']
sheriff,,,['sheriffs']
poet,,,"['poet', 'poets']"
molder,,,['molders']
securities officer,,,['securities officers']
manicurist,,,['manicurists']
nursing assistant,,,['nursing assistants']
boilermaker,,,['boilermakers']
dietitian,,,['dietitians']
bioengineer,,,['bioengineers']
adviser,,,"['adviser', 'advisers']"
announcer,,,['announcers']
pourer,,,['pourers']
cashier,,,['cashiers']
printing worker,,,['printing workers']
customer service representative,,,['customer service representatives']
caster,,,['casters']
casting worker,,,['casting workers']
sculptor,,,['sculptors']
animator,,,"['animator', 'animators']"
legislator,,,['legislators']
arboriculturist,,,"['arboriculturist', 'arboriculturists']"
hostess,,,['hostesses']
cto,,,"['cto', 'ctoes']"
web developer,,,['web developers']
marine biologist,,,"['marine biologist', 'marine biologists']"
dental hygienist,,,['dental hygienists']
brickmason,,,['brickmasons']
ophthalmologist,,,['ophthalmologists']
dancer,,,['dancers']
coach,,,['coaches']
physiologist,,,['physiologists']
researcher,,,"['researcher', 'researchers']"
examiner,,,"['examiner', 'examiners']"
president,,,"['president', 'presidents']"
military,,,"['military', 'militaries']"
reporter,,,['reporters']
finisher,,,"['finisher', 'finishers']"
elevator operator,,,['elevator operators']
coremaker,,,['coremakers']
procurement officer,,,['procurement officers']
modeller,,,"['modeller', 'modellers']"
3d animator,,,"['3d animator', '3d animators']"
3d modeller,,,"['3d modeller', '3d modellers']"
3d printing technician,,,"['3d printing technician', '3d printing technicians']"
abrasive blasting operator,,,"['abrasive blasting operator', 'abrasive blasting operators']"
absorbent pad machine operator,,,"['absorbent pad machine operator', 'absorbent pad machine operators']"
academic advisor,,,"['academic advisor', 'academic advisors']"
academic support officer,,,"['academic support officer', 'academic support officers']"
accessories specialised seller,,,"['accessories specialised seller', 'accessories specialised sellers']"
accommodation manager,,,"['accommodation manager', 'accommodation managers']"
accounting analyst,,,"['accounting analyst', 'accounting analysts']"
accounting assistant,,,"['accounting assistant', 'accounting assistants']"
accounting manager,,,"['accounting manager', 'accounting managers']"
acoustical engineer,,,"['acoustical engineer', 'acoustical engineers']"
acquisitions analyst,,,"['acquisitions analyst', 'acquisitions analysts']"
activism officer,,,"['activism officer', 'activism officers']"
activity leader,,,"['activity leader', 'activity leaders']"
actor/actres,,,"['actor/actress', 'actor/actre']"
actuarial assistant,,,"['actuarial assistant', 'actuarial assistants']"
actuarial consultant,,,"['actuarial consultant', 'actuarial consultants']"
administrative assistant,,,"['administrative assistant', 'administrative assistants']"
admissions coordinator,,,"['admissions coordinator', 'admissions coordinators']"
adult community care worker,,,"['adult community care worker', 'adult community care workers']"
adult literacy teacher,,,"['adult literacy teacher', 'adult literacy teachers']"
advanced nurse practitioner,,,"['advanced nurse practitioner', 'advanced nurse practitioners']"
advanced physiotherapist,,,"['advanced physiotherapist', 'advanced physiotherapists']"
advertising assistant,,,"['advertising assistant', 'advertising assistants']"
advertising copywriter,,,"['advertising copywriter', 'advertising copywriters']"
advertising installer,,,"['advertising installer', 'advertising installers']"
advertising manager,,,"['advertising manager', 'advertising managers']"
advertising media buyer,,,"['advertising media buyer', 'advertising media buyers']"
advertising media planner,,,"['advertising media planner', 'advertising media planners']"
advertising sales agent,,,"['advertising sales agent', 'advertising sales agents']"
advertising specialist,,,"['advertising specialist', 'advertising specialists']"
aerodynamics engineer,,,"['aerodynamics engineer', 'aerodynamics engineers']"
aeronautical information service officer,,,"['aeronautical information service officer', 'aeronautical information service officers']"
aeronautical information specialist,,,"['aeronautical information specialist', 'aeronautical information specialists']"
aerospace engineering drafter,,,"['aerospace engineering drafter', 'aerospace engineering drafters']"
aerospace engineering technician,,,"['aerospace engineering technician', 'aerospace engineering technicians']"
after-sales service technician,,,"['after-sales service technician', 'after-sales service technicians']"
aftersales service manager,,,"['aftersales service manager', 'aftersales service managers']"
agricultural engineer,,,"['agricultural engineer', 'agricultural engineers']"
agricultural equipment design engineer,,,"['agricultural equipment design engineer', 'agricultural equipment design engineers']"
agricultural inspector,,,"['agricultural inspector', 'agricultural inspectors']"
agricultural machinery manager,,,"['agricultural machinery manager', 'agricultural machinery managers']"
agricultural machinery technician,,,"['agricultural machinery technician', 'agricultural machinery technicians']"
agricultural policy officer,,,"['agricultural policy officer', 'agricultural policy officers']"
"agricultural raw materials, seeds manager",,,"['agricultural raw materials, seeds manager', 'agricultural raw materials, seeds managers']"
agricultural scientist,,,"['agricultural scientist', 'agricultural scientists']"
agricultural technician,,,"['agricultural technician', 'agricultural technicians']"
"agriculture, forestry teacher",,,"['agriculture, forestry teacher', 'agriculture, forestry teachers']"
agronomic crop production team leader,,,"['agronomic crop production team leader', 'agronomic crop production team leaders']"
air force officer,,,"['air force officer', 'air force officers']"
air force pilot,,,"['air force pilot', 'air force pilots']"
air pollution analyst,,,"['air pollution analyst', 'air pollution analysts']"
air separation plant operator,,,"['air separation plant operator', 'air separation plant operators']"
air traffic instructor,,,"['air traffic instructor', 'air traffic instructors']"
air traffic manager,,,"['air traffic manager', 'air traffic managers']"
air traffic safety technician,,,"['air traffic safety technician', 'air traffic safety technicians']"
aircraft assembler,,,"['aircraft assembler', 'aircraft assemblers']"
aircraft assembly inspector,,,"['aircraft assembly inspector', 'aircraft assembly inspectors']"
aircraft assembly supervisor,,,"['aircraft assembly supervisor', 'aircraft assembly supervisors']"
aircraft cargo operations coordinator,,,"['aircraft cargo operations coordinator', 'aircraft cargo operations coordinators']"
aircraft de-icer installer,,,"['aircraft de-icer installer', 'aircraft de-icer installers']"
aircraft dispatcher,,,"['aircraft dispatcher', 'aircraft dispatchers']"
aircraft distribution manager,,,"['aircraft distribution manager', 'aircraft distribution managers']"
aircraft engine assembler,,,"['aircraft engine assembler', 'aircraft engine assemblers']"
aircraft engine inspector,,,"['aircraft engine inspector', 'aircraft engine inspectors']"
aircraft engine specialist,,,"['aircraft engine specialist', 'aircraft engine specialists']"
aircraft engine tester,,,"['aircraft engine tester', 'aircraft engine testers']"
aircraft fuel system operator,,,"['aircraft fuel system operator', 'aircraft fuel system operators']"
aircraft gas turbine engine overhaul technician,,,"['aircraft gas turbine engine overhaul technician', 'aircraft gas turbine engine overhaul technicians']"
aircraft groomer,,,"['aircraft groomer', 'aircraft groomers']"
aircraft interior technician,,,"['aircraft interior technician', 'aircraft interior technicians']"
aircraft maintenance coordinator,,,"['aircraft maintenance coordinator', 'aircraft maintenance coordinators']"
aircraft maintenance engineer,,,"['aircraft maintenance engineer', 'aircraft maintenance engineers']"
aircraft maintenance technician,,,"['aircraft maintenance technician', 'aircraft maintenance technicians']"
aircraft marshaller,,,"['aircraft marshaller', 'aircraft marshallers']"
aircraft pilot,,,"['aircraft pilot', 'aircraft pilots']"
airline transport pilot,,,"['airline transport pilot', 'airline transport pilots']"
airport baggage handler,,,"['airport baggage handler', 'airport baggage handlers']"
airport chief executive,,,"['airport chief executive', 'airport chief executives']"
airport director,,,"['airport director', 'airport directors']"
airport environment officer,,,"['airport environment officer', 'airport environment officers']"
airport maintenance technician,,,"['airport maintenance technician', 'airport maintenance technicians']"
airport operations officer,,,"['airport operations officer', 'airport operations officers']"
airport planning engineer,,,"['airport planning engineer', 'airport planning engineers']"
airport security officer,,,"['airport security officer', 'airport security officers']"
airside safety manager,,,"['airside safety manager', 'airside safety managers']"
airspace manager,,,"['airspace manager', 'airspace managers']"
alcohol addiction counsellor,,,"['alcohol addiction counsellor', 'alcohol addiction counsellors']"
alternative animal therapist,,,"['alternative animal therapist', 'alternative animal therapists']"
alternative fuels engineer,,,"['alternative fuels engineer', 'alternative fuels engineers']"
ammunition assembler,,,"['ammunition assembler', 'ammunition assemblers']"
ammunition shop manager,,,"['ammunition shop manager', 'ammunition shop managers']"
ammunition specialised seller,,,"['ammunition specialised seller', 'ammunition specialised sellers']"
amusement attendant,,,"['amusement attendant', 'amusement attendants']"
amusement park cleaner,,,"['amusement park cleaner', 'amusement park cleaners']"
anaerobic digestion plant operator,,,"['anaerobic digestion plant operator', 'anaerobic digestion plant operators']"
anaesthetic technician,,,"['anaesthetic technician', 'anaesthetic technicians']"
analytical chemist,,,"['analytical chemist', 'analytical chemists']"
anatomical pathology technician,,,"['anatomical pathology technician', 'anatomical pathology technicians']"
animal artificial insemination technician,,,"['animal artificial insemination technician', 'animal artificial insemination technicians']"
animal assisted therapist,,,"['animal assisted therapist', 'animal assisted therapists']"
animal behaviourist,,,"['animal behaviourist', 'animal behaviourists']"
animal care attendant,,,"['animal care attendant', 'animal care attendants']"
animal chiropractor,,,"['animal chiropractor', 'animal chiropractors']"
animal embryo transfer technician,,,"['animal embryo transfer technician', 'animal embryo transfer technicians']"
animal facility manager,,,"['animal facility manager', 'animal facility managers']"
animal feed nutritionist,,,"['animal feed nutritionist', 'animal feed nutritionists']"
animal feed operator,,,"['animal feed operator', 'animal feed operators']"
animal feed supervisor,,,"['animal feed supervisor', 'animal feed supervisors']"
animal feed,,,['animal feeds']
animal feeds distribution manager,,,"['animal feeds distribution manager', 'animal feeds distribution managers']"
animal groomer,,,"['animal groomer', 'animal groomers']"
animal handler,,,"['animal handler', 'animal handlers']"
animal hydrotherapist,,,"['animal hydrotherapist', 'animal hydrotherapists']"
animal massage therapist,,,"['animal massage therapist', 'animal massage therapists']"
animal osteopath,,,"['animal osteopath', 'animal osteopaths']"
animal physiotherapist,,,"['animal physiotherapist', 'animal physiotherapists']"
animal shelter worker,,,"['animal shelter worker', 'animal shelter workers']"
animal therapist,,,"['animal therapist', 'animal therapists']"
animal trainer,,,"['animal trainer', 'animal trainers']"
animal welfare inspector,,,"['animal welfare inspector', 'animal welfare inspectors']"
animation director,,,"['animation director', 'animation directors']"
animation layout artist,,,"['animation layout artist', 'animation layout artists']"
anodising machine operator,,,"['anodising machine operator', 'anodising machine operators']"
anthropology lecturer,,,"['anthropology lecturer', 'anthropology lecturers']"
antique furniture reproducer,,,"['antique furniture reproducer', 'antique furniture reproducers']"
antique shop manager,,,"['antique shop manager', 'antique shop managers']"
application engineer,,,"['application engineer', 'application engineers']"
applied arts vocational teacher,,,"['applied arts vocational teacher', 'applied arts vocational teachers']"
aquaculture biologist,,,"['aquaculture biologist', 'aquaculture biologists']"
aquaculture cage mooring worker,,,"['aquaculture cage mooring worker', 'aquaculture cage mooring workers']"
aquaculture cage technician,,,"['aquaculture cage technician', 'aquaculture cage technicians']"
aquaculture environmental analyst,,,"['aquaculture environmental analyst', 'aquaculture environmental analysts']"
aquaculture harvesting manager,,,"['aquaculture harvesting manager', 'aquaculture harvesting managers']"
aquaculture harvesting technician,,,"['aquaculture harvesting technician', 'aquaculture harvesting technicians']"
aquaculture harvesting worker,,,"['aquaculture harvesting worker', 'aquaculture harvesting workers']"
aquaculture hatchery manager,,,"['aquaculture hatchery manager', 'aquaculture hatchery managers']"
aquaculture hatchery technician,,,"['aquaculture hatchery technician', 'aquaculture hatchery technicians']"
aquaculture hatchery worker,,,"['aquaculture hatchery worker', 'aquaculture hatchery workers']"
aquaculture husbandry manager,,,"['aquaculture husbandry manager', 'aquaculture husbandry managers']"
aquaculture husbandry technician,,,"['aquaculture husbandry technician', 'aquaculture husbandry technicians']"
aquaculture husbandry worker,,,"['aquaculture husbandry worker', 'aquaculture husbandry workers']"
aquaculture mooring manager,,,"['aquaculture mooring manager', 'aquaculture mooring managers']"
aquaculture production manager,,,"['aquaculture production manager', 'aquaculture production managers']"
aquaculture quality supervisor,,,"['aquaculture quality supervisor', 'aquaculture quality supervisors']"
aquaculture rearing technician,,,"['aquaculture rearing technician', 'aquaculture rearing technicians']"
aquaculture recirculation manager,,,"['aquaculture recirculation manager', 'aquaculture recirculation managers']"
aquaculture recirculation technician,,,"['aquaculture recirculation technician', 'aquaculture recirculation technicians']"
aquaculture site supervisor,,,"['aquaculture site supervisor', 'aquaculture site supervisors']"
aquatic animal health professional,,,"['aquatic animal health professional', 'aquatic animal health professionals']"
archaeology lecturer,,,"['archaeology lecturer', 'archaeology lecturers']"
architectural drafter,,,"['architectural drafter', 'architectural drafters']"
architecture lecturer,,,"['architecture lecturer', 'architecture lecturers']"
armed forces officer,,,"['armed forces officer', 'armed forces officers']"
armed forces training officer,,,"['armed forces training officer', 'armed forces training officers']"
armoured car driver,,,"['armoured car driver', 'armoured car drivers']"
armoured car guard,,,"['armoured car guard', 'armoured car guards']"
army captain,,,"['army captain', 'army captains']"
army corporal,,,"['army corporal', 'army corporals']"
army general,,,"['army general', 'army generals']"
army major,,,"['army major', 'army majors']"
art administrator,,,"['art administrator', 'art administrators']"
art director,,,"['art director', 'art directors']"
art handler,,,"['art handler', 'art handlers']"
art model,,,"['art model', 'art models']"
art restorer,,,"['art restorer', 'art restorers']"
art studies lecturer,,,"['art studies lecturer', 'art studies lecturers']"
art teacher secondary school,,,"['art teacher secondary school', 'art teacher secondary schools']"
art therapist,,,"['art therapist', 'art therapists']"
artificial intelligence engineer,,,"['artificial intelligence engineer', 'artificial intelligence engineers']"
artillery officer,,,"['artillery officer', 'artillery officers']"
artisan papermaker,,,"['artisan papermaker', 'artisan papermakers']"
artistic coach,,,"['artistic coach', 'artistic coaches']"
artistic director,,,"['artistic director', 'artistic directors']"
artistic painter,,,"['artistic painter', 'artistic painters']"
arts education officer,,,"['arts education officer', 'arts education officers']"
asbestos abatement worker,,,"['asbestos abatement worker', 'asbestos abatement workers']"
