caption,mean,precision,votes,not_funny,somewhat_funny,funny,funny_score_scaled,funny_group,topic_nb,aggregated_topic
They say you can’t cheat death… but I guess you can beat it.,1.5099502487562189,0.0338272056409044,402,239,121,42,33.29032258064517,funny,1,checkmate_win_lose
Now you know how it feels!,1.5157384987893463,0.0343822189330458,413,249,115,49,33.27188940092166,funny,-1,misc
"Ironically, your end game is terrible.",1.520971302428256,0.033737038373924,453,277,116,60,33.25345622119816,funny,17,time_endgame_clock
Now we’re dead even.,1.508905852417303,0.0343919909328683,393,235,116,42,33.19815668202765,funny,-1,misc
You had no skin in the game.,1.5229357798165135,0.0350329112826807,436,270,104,62,33.124423963133644,funny,19,body_parts
And don't take an eternity this turn.,1.5168269230769231,0.0350329359412397,416,255,107,54,33.08755760368663,funny,2,chess_mechanics_pieces
"If you really wanted my soul for all eternity, you should’ve challenged me to a round of golf.",1.515439429928741,0.034719751840778,421,258,109,54,33.05069124423963,funny,21,death_grim_reaper_afterlife
"Now I only have to beat taxes.""",1.5146341463414634,0.0350844032367626,410,251,107,52,33.032258064516135,funny,7,bureaucracy_taxes_insurance
"Ha! Checkmate. Aw, don't look so grim.",1.5089974293059123,0.0352195439143754,389,236,108,45,32.99539170506913,funny,0,checkmate_win_lose
"I already told you, there's no sudden death in chess.",1.5069767441860464,0.0332121505482869,430,260,122,48,32.99539170506913,funny,5,chess_life_game
"I guess it’s Sudden Death, isn’t it.",1.5065963060686016,0.0355184361363476,379,230,106,43,32.92165898617512,funny,22,death_grim_reaper_afterlife
It's a shame that immediately after the big win Steve got hit by a bus.,1.5123152709359606,0.0353468167693752,406,250,104,52,32.903225806451616,funny,1,checkmate_win_lose
Checkmate. Now bring back Prince.,1.5075,0.035041820700343,400,245,107,48,32.82949308755761,funny,0,checkmate_win_lose
"You may have the Republican Party, but I have your King.",1.5265486725663715,0.0357600030600512,452,288,90,74,32.82949308755761,funny,14,chess_mechanics_pieces
"Not so powerful without your horsemen, are you?",1.511494252873563,0.0384960680743365,348,216,86,46,32.755760368663594,funny,-1,misc
Sudden death? Sure.,1.5078947368421052,0.0364148354788088,380,235,97,48,32.71889400921659,funny,22,death_grim_reaper_afterlife
Death is overrated.,1.4971098265895957,0.0364387169649079,346,210,100,36,32.663594470046085,funny,36,death_grim_reaper_afterlife
Are you going to the Met Gala after this ?,1.5026881720430108,0.0362140950919883,372,229,99,44,32.62672811059908,funny,-1,misc
Rematch? Over my dead body.,1.51338199513382,0.0361880436081932,411,259,93,59,32.60829493087558,funny,26,deals_bets_rematches
"You lose, take it off!",1.5052631578947369,0.036606264008678,380,236,94,49,32.58986175115207,funny,3,checkmate_win_lose
And that's when I learned that winning isn't everything.,1.5,0.0366316466069457,358,220,97,41,32.57142857142858,funny,3,checkmate_win_lose
Now I go after taxes!,1.5040871934604905,0.0369856157891108,367,228,93,46,32.53456221198157,funny,7,bureaucracy_taxes_insurance
"Technically I win… But, I have a strong feeling you’ll be having the last word",1.4929178470254958,0.0359100774336748,353,215,102,36,32.49769585253456,funny,3,checkmate_win_lose
Now THIS is something to feel grim about.,1.488505747126437,0.035356395755643,348,210,106,32,32.49769585253456,funny,9,death_grim_reaper_afterlife
"And that, sir, is how you cheat Death!",1.5050251256281406,0.0358867965720103,398,249,97,52,32.47926267281106,funny,1,checkmate_win_lose
"This may be the Death of me, but checkmate!!",1.494186046511628,0.0372803727502099,344,211,92,39,32.44239631336406,funny,0,checkmate_win_lose
Now let's play for taxes!,1.50990099009901,0.0365045523272273,404,256,90,58,32.423963133640555,funny,7,bureaucracy_taxes_insurance
It turns out you can cheat death,1.4956772334293948,0.0372667646303748,347,215,92,40,32.35023041474654,funny,1,checkmate_win_lose
I vote we call it a draw and forego sudden death.,1.513064133016627,0.0364697502506022,421,270,86,65,32.35023041474654,funny,26,deals_bets_rematches
"George, once again, fails to read the room.",1.506631299734748,0.0375840594965084,377,239,85,53,32.33179723502304,funny,14,chess_mechanics_pieces
Your last move was a grave error!,1.4985754985754989,0.037607454269065,351,219,89,43,32.33179723502304,funny,2,chess_mechanics_pieces
"Check mate, I get my wish:  take the Supreme Court instead of me!",1.505128205128205,0.0368034024649281,390,247,89,54,32.31336405529954,funny,20,pop_culture
"Not as fun to watch the clock running out for yourself, is it?",1.4956772334293948,0.0374895959703234,347,216,90,41,32.294930875576036,funny,15,time_endgame_clock
"Don't look so grim, you'll win eventually.",1.4869565217391305,0.0360446798379835,345,211,100,34,32.294930875576036,funny,9,death_grim_reaper_afterlife
I’m your worst knightmare.,1.4940828402366864,0.0377691809893991,338,210,89,39,32.27649769585254,funny,33,death_grim_reaper_afterlife
"You lost, Death. Be not proud.",1.4929178470254958,0.0370136822319319,353,220,92,41,32.20276497695853,funny,-1,misc
"Check! It’s looking grim, Reaper!",1.501369863013699,0.0381383462775365,365,233,81,51,32.09216589861751,funny,9,death_grim_reaper_afterlife
"You of all people should know you can't cheat, Death!",1.4829721362229102,0.0372940500606338,323,199,92,32,32.09216589861751,funny,1,checkmate_win_lose
"...of course not, I would never consider cheating death.
Hey, look at that bird!",1.4918478260869563,0.0348443685016196,368,228,101,39,32.09216589861751,funny,1,checkmate_win_lose
Stalemate! Immortality it is!,1.4779661016949153,0.0383576684713081,295,181,87,27,32.0184331797235,funny,-1,misc
"Killer move, dude!",1.4915254237288136,0.0373660415534231,354,223,88,43,32.0184331797235,funny,2,chess_mechanics_pieces
And they said nobody beats Death.,1.4870317002881843,0.0372609674134516,347,218,89,40,31.92626728110599,funny,10,death_grim_reaper_afterlife
You were doomed from the start.,1.4746835443037976,0.0367995111658526,316,192,92,28,31.870967741935484,funny,-1,misc
That completes my bucket list.,1.481967213114754,0.0391550671092424,305,191,81,33,31.852534562211982,funny,7,bureaucracy_taxes_insurance
"Oh come on Death, be not proud.",1.4857142857142858,0.0392897351826918,315,199,79,37,31.83410138248848,funny,-1,misc
You seem to have lost your killer instinct.,1.4736842105263157,0.0389909532471845,285,176,83,26,31.815668202764982,funny,2,chess_mechanics_pieces
"Well, you can't cheat death, but it looks like you  can certainly beat it.",1.4711246200607904,0.0357574390346044,329,202,99,28,31.815668202764982,funny,1,checkmate_win_lose
"I win again, but does every match have to be ""sudden death""?",1.484472049689441,0.0386522376406269,322,203,82,37,31.815668202764982,funny,22,death_grim_reaper_afterlife
I guess it's just not your day.  But the good news is I won.  So it's not mine either.,1.480263157894737,0.0392468585790268,304,191,80,33,31.76036866359447,funny,-1,misc
Sudden death?,1.4916666666666667,0.038137443045583,360,232,79,49,31.705069124423964,funny,22,death_grim_reaper_afterlife
Who says you can’t cheat Death??,1.4758842443729905,0.0383198008143949,311,195,84,32,31.668202764976957,funny,1,checkmate_win_lose
Ha! Roe stands!,1.486646884272997,0.0389959281581465,337,217,76,44,31.59447004608295,funny,20,pop_culture
"I win, go use your scythe to cut my grass!",1.4758842443729905,0.0385895305812099,311,196,82,33,31.59447004608295,funny,32,death_grim_reaper_afterlife
Looks like I’ve cheated Death yet again!,1.4741935483870967,0.0384061770230031,310,195,83,32,31.57603686635945,funny,1,checkmate_win_lose
"Don’t feel bad, last week I beat the IRS.",1.4723404255319148,0.0440226372948987,235,148,63,24,31.557603686635943,funny,7,bureaucracy_taxes_insurance
We'd better finish up quick. I've got the taxman coming at 3.,1.470967741935484,0.0543920795474796,155,97,40,16,31.502304147465438,funny,7,bureaucracy_taxes_insurance
"Despite his victory being short-lived, Bob couldn’t help but gloat.",1.4745762711864407,0.0401138875121217,295,188,74,33,31.428571428571427,funny,-1,misc
Now I just have to worry about my taxes.,1.478658536585366,0.0388460058976589,328,211,77,40,31.391705069124423,funny,7,bureaucracy_taxes_insurance
I hear you always do well in sudden death rounds.,1.4714285714285715,0.040757583359085,280,178,72,30,31.391705069124423,funny,22,death_grim_reaper_afterlife
Go ahead. It's your funeral.,1.469090909090909,0.0409714926266954,275,175,71,29,31.31797235023042,funny,-1,misc
I’d say you made a grave error there.,1.460377358490566,0.0399817644010609,265,166,76,23,31.29953917050691,funny,-1,misc
Come closer so I can tell you what you've won.,1.4784172661870505,0.0428466744791539,278,181,61,36,31.244239631336406,mid_funny,3,checkmate_win_lose
"You did well with the plague, I’ll give you that, but you left your Queen wide open!",1.4592592592592593,0.0398005235166515,270,170,76,24,31.207373271889402,mid_funny,12,chess_mechanics_pieces
"Checkmate"" feels presumptuous. Let's just say ""good game"" and go our separate ways",1.456273764258555,0.0398177334258951,263,165,76,22,31.170506912442395,mid_funny,0,checkmate_win_lose
And they say you can't beat death.,1.4640287769784173,0.0403121807086203,278,177,73,28,31.170506912442395,mid_funny,10,death_grim_reaper_afterlife
Check!  Now go find an anti-vaxxer to play with.,1.4751552795031055,0.0393811135226207,322,209,73,40,31.170506912442395,mid_funny,24,pop_culture
Tom's feeling of joie de vivre was fleeting,1.462406015037594,0.0409360022427625,266,169,71,26,31.170506912442395,mid_funny,-1,misc
You should have seen this coming.,1.448905109489051,0.0376057942865374,274,170,85,19,31.11520737327189,mid_funny,27,emotional_reactions
Checkmate—now give me back my pacemaker.,1.4741935483870967,0.040263972439855,310,202,69,39,31.096774193548388,mid_funny,0,checkmate_win_lose
Check! You're as good as dead!,1.4615384615384617,0.0405079380320447,273,174,72,27,31.096774193548388,mid_funny,4,checkmate_win_lose
"Actually, one can cheat death.",1.462406015037594,0.0412810985616785,266,170,69,27,31.096774193548388,mid_funny,1,checkmate_win_lose
The game just started.  How can it be sudden death,1.4641509433962263,0.0417439707067942,265,170,67,28,31.096774193548388,mid_funny,22,death_grim_reaper_afterlife
Of course I cheated!  That's why they call it 'cheating death'!,1.471947194719472,0.0404215150958352,303,197,69,37,31.078341013824886,mid_funny,1,checkmate_win_lose
CHECKMATE! I've been DYING to make that move!,1.4669117647058822,0.0419473552137755,272,176,65,31,31.04147465437788,mid_funny,-1,misc
"You’re stopping the clock? So, I win?",1.4635036496350364,0.04106400117385,274,176,69,29,31.04147465437788,mid_funny,15,time_endgame_clock
What are you gonna do? Kill me?,1.4638783269961977,0.0423195560577806,263,170,64,29,30.986175115207377,mid_funny,-1,misc
I win again! Same time tomorrow?,1.4556451612903225,0.0418942431403499,248,158,67,23,30.967741935483872,mid_funny,-1,misc
"No, I didn’t “cheat Death.” You’re just terrible at chess.",1.4644194756554307,0.0421888489441129,267,173,64,30,30.967741935483872,mid_funny,5,chess_life_game
The Devil didn’t think I could fiddle better than him either.,1.4606741573033708,0.0418411758250151,267,172,65,29,30.94930875576037,mid_funny,-1,misc
How do you expect to collect my soul when you can’t even take my King?,1.469090909090909,0.042560277365009,275,180,61,34,30.930875576036865,mid_funny,14,chess_mechanics_pieces
"Though not a dare-devil, Stuart still found a way to cheat death.",1.4578754578754578,0.040494540334297,273,175,71,27,30.930875576036865,mid_funny,1,checkmate_win_lose
I know someone else who tried that move...once,1.4646840148698883,0.042287045605085,269,175,63,31,30.912442396313363,mid_funny,2,chess_mechanics_pieces
So same time next heart attack?,1.4618320610687023,0.042431701002421,262,170,63,29,30.87557603686636,mid_funny,-1,misc
"What do you mean, “This changes nothing?”",1.472027972027972,0.0425070409600201,286,189,59,38,30.87557603686636,mid_funny,-1,misc
"Don't cheat, Death",1.456,0.0424199695339476,250,161,64,25,30.838709677419356,mid_funny,1,checkmate_win_lose
"There, we are tied..one game apiece!
I SAY THE NEXT GAME IS SUDDEN DEATH!",1.4607142857142856,0.0410387178005786,280,182,67,31,30.80184331797235,mid_funny,22,death_grim_reaper_afterlife
Now the only thing I have left to beat are taxes.,1.463768115942029,0.0421174844004123,276,181,62,33,30.76497695852535,mid_funny,7,bureaucracy_taxes_insurance
"OK, before I remove my hand, if I say 'Checkmate,' what's your next move?",1.453061224489796,0.0426439278776977,245,158,63,24,30.746543778801843,mid_funny,-1,misc
"I'm sorry, but your time is up.",1.4419642857142858,0.0422684974316077,224,142,65,17,30.728110599078345,mid_funny,15,time_endgame_clock
You’re not the only one with a killer instinct!,1.458498023715415,0.0431691697877976,253,165,60,28,30.728110599078345,mid_funny,2,chess_mechanics_pieces
Checkmate! And don't be a grim loser!,1.4516129032258065,0.0422642102189947,248,160,64,24,30.70967741935484,mid_funny,0,checkmate_win_lose
Checkmate! I chose taxes!,1.4552529182879377,0.0426603835617663,257,168,61,28,30.617511520737327,mid_funny,7,bureaucracy_taxes_insurance
You're playing one hell of a game,1.4439655172413792,0.0426032705005084,232,149,63,20,30.59907834101383,mid_funny,6,chess_life_game
Checkmate! Now game two... this time for the taxes thing.,1.4556451612903225,0.0437992799330723,248,163,57,28,30.562211981566826,mid_funny,7,bureaucracy_taxes_insurance
And you said I'd spend the rest of my life trying to beat you.,1.450354609929078,0.0398447563729699,282,183,71,28,30.562211981566826,mid_funny,10,death_grim_reaper_afterlife
And taxes win again!,1.4636678200692042,0.0412855278641186,289,190,64,34,30.543778801843317,mid_funny,7,bureaucracy_taxes_insurance
I hope you're not one of those sore losers,1.445736434108527,0.0406824104219967,258,164,69,22,30.543778801843317,mid_funny,-1,misc
Checkmate. And thanks for masking.,1.456,0.0439086309452474,250,165,56,29,30.52534562211982,mid_funny,0,checkmate_win_lose
"Your move, Senator McConnell.",1.4666666666666666,0.0417918965366233,300,201,58,41,30.52534562211982,mid_funny,20,pop_culture
"Hey! You can't cheat, Death!",1.453020134228188,0.0394643423798251,298,195,71,32,30.506912442396313,mid_funny,1,checkmate_win_lose
Checkmate!  The devil wears nada!,1.4576923076923076,0.0433479055722702,260,172,57,31,30.506912442396313,mid_funny,0,checkmate_win_lose
"Finally, I get to say I cheated Death!",1.445736434108527,0.0410514518691219,258,167,67,24,30.506912442396313,mid_funny,1,checkmate_win_lose
"I might be dead soon, but you'll be a loser forever.",1.4558823529411764,0.042232345854835,272,180,60,32,30.451612903225808,mid_funny,3,checkmate_win_lose
And that my friend is how you cheat death.,1.4558303886925794,0.0413111611118813,283,187,63,33,30.451612903225808,mid_funny,1,checkmate_win_lose
A bet’s a bet. Switch jobs for a week.,1.4383561643835616,0.0433982834382516,219,141,60,18,30.451612903225808,mid_funny,-1,misc
"Also, if I win, no more taxes!",1.4587813620071686,0.0417624389631944,279,183,62,32,30.451612903225808,mid_funny,7,bureaucracy_taxes_insurance
This has been the best game of my life!,1.446153846153846,0.0411892835719737,260,169,66,25,30.451612903225808,mid_funny,6,chess_life_game
"It's okay, Death, I cheat everybody.",1.4491525423728813,0.0442083530584253,236,155,56,25,30.43317972350231,mid_funny,1,checkmate_win_lose
"Aha, now you know what sudden death means in chess.",1.448,0.0427609400267098,250,164,60,26,30.396313364055302,mid_funny,5,chess_life_game
Ah ha! I wi— . . .,1.446808510638298,0.043922327743358,235,154,57,24,30.396313364055302,mid_funny,-1,misc
Checkmate!  Now bring on Taxes!,1.449579831932773,0.044339750889052,238,157,55,26,30.377880184331797,mid_funny,7,bureaucracy_taxes_insurance
Guess who is out of time now?,1.4304932735426008,0.0413563923051936,223,142,66,15,30.377880184331797,mid_funny,15,time_endgame_clock
I'll let you keep my queen if I can keep my soul,1.4401709401709402,0.0427542966787457,234,152,61,21,30.359447004608295,mid_funny,12,chess_mechanics_pieces
I call this move ‘cheating death’.,1.440944881889764,0.041111765875453,254,165,66,23,30.341013824884794,mid_funny,1,checkmate_win_lose
You shouldn't have said you were dying to win.,1.4394618834080717,0.0437904167880668,223,145,58,20,30.341013824884794,mid_funny,-1,misc
And I don't pay my taxes either.,1.445736434108527,0.0417797566555974,258,169,63,26,30.341013824884794,mid_funny,7,bureaucracy_taxes_insurance
. Cheating death one move at a time,1.44106463878327,0.0404665599813469,263,171,68,24,30.322580645161292,mid_funny,1,checkmate_win_lose
"Go to hell, Death. Taxes, you’re up!",1.4385964912280702,0.0430995265365269,228,148,60,20,30.322580645161292,mid_funny,7,bureaucracy_taxes_insurance
What!  Checkmate only gets me one more year?,1.431372549019608,0.0390066995840664,255,163,74,18,30.304147465437794,mid_funny,23,time_endgame_clock
"That'll be $100 and my soul back, please.",1.438818565400844,0.0423600398287795,237,154,62,21,30.304147465437794,mid_funny,21,death_grim_reaper_afterlife
