Topic,Count,Name,Representation,Representative_Docs
21,418,21_cruise_viking_honeymoon_viking cruise,"['cruise', 'viking', 'honeymoon', 'viking cruise', 'groomsman', 'their honeymoon', 'they met', 'on viking', 'they', 'wedding']","['they met on a viking cruise ship!', 'they met on a viking cruise.', ""i hear they're going on a viking cruise for their honeymoon.""]"
22,413,22_hair_my hair_trim_haircut,"['hair', 'my hair', 'trim', 'haircut', 'feathers', 'man right', 'that man', 'wash', 'wash that', 'bald']","['gonna wash that man right outta my hair!', ""i 'm gonna wash that man right out of my hair."", 'i’m going to wash that man right out of my hair!']"
23,399,23_clown_clowns_car_clown car,"['clown', 'clowns', 'car', 'clown car', 'clowning', 'clowning around', 'circus', 'problem', 'the clown', 'around']","['sir, you must have a clown nose when in a clown car.', 'wrong clown car, sir.  you want the clown car parked outside the west wing.', 'your clown car is here, mr. trump.']"
24,379,24_train_the train_subway_trains,"['train', 'the train', 'subway', 'trains', 'plank', 'tracks', 'the plank', 'the subway', 'barefoot', 'captain']","['maybe he will find the l train!', ""or maybe don't take the a train."", ""he'll never find the 7 train.""]"
25,372,25_cheese_the cheese_cheese he_cheese don,"['cheese', 'the cheese', 'cheese he', 'cheese don', 'of cheese', 'cheese and', 'maze', 'cheddar', 'the', 'cheese in']","[""i don't think the cheese is included."", ""please don't cut the cheese."", ""i don't see anything about the cheese.""]"
26,369,26_george_flowers_st george_george is,"['george', 'flowers', 'st george', 'george is', 'st', 'george it', 'george you', 'george george', 'saint', 'the flowers']","['st. george is not in. did you have an appointment?', 'shush.  st. george is here.', 'i’m sorry, george is not in.']"
27,364,27_edward_scissorhands_edward scissorhands_movie,"['edward', 'scissorhands', 'edward scissorhands', 'movie', 'name', 'jaws', 'spielberg', 'his name', 'bond', 'named']","['i do a great edward scissorhands', 'you are related to edward scissorhands?', 'look crabclaws, i dated edward scissorhands, and you’re no edward scissorhands!']"
28,348,28_gluten_gluten free_free_is gluten,"['gluten', 'gluten free', 'free', 'is gluten', 'sorry sir', 'sorry', 'restaurant', 'serve gluten', 'sir', 'sir but']","['sorry sir, but we are gluten free.', 'sorry sir, we’re gluten free.', ""i'm sorry sir, we're gluten-free.""]"
29,346,29_burger_burger king_king_burgers,"['burger', 'burger king', 'king', 'burgers', 'the burger', 'at burger', 'to burger', 'whopper', 'mcdonald', 'you']","[""burger king, burger king, burger king!\r\ncan't we ever eat anywhere else?"", 'i don’t want to go to burger king', '...burger king?']"
30,341,30_diet_paleo_weight_carbs,"['diet', 'paleo', 'weight', 'carbs', 'paleo diet', 'diet don', 'calories', 'this diet', 'the paleo', 'lose']","[""i don't know about this paleo diet."", 'honey, don’t you think you’re taking the paleo diet a little too far?', ""sorry man, i'm on the paleo diet.""]"
31,334,31_bird_birds_the birds_free bird,"['bird', 'birds', 'the birds', 'free bird', 'song', 'freebird', 'bird he', 'blackbird', 'singing', 'he']","['i told you that bird is singing willie nelson\'s ""bird on a wire"".', 'do you think he will play free bird?', 'tell him to play free bird.']"
32,329,32_wall_the wall_trump wall_trump,"['wall', 'the wall', 'trump wall', 'trump', 'mexico', 'border', 'that wall', 'build', 'wall and', 'his wall']","['build a wall, build a wall,"" he said', ""i fell off trump's wall!"", 'a wall, he wants us to build a wall?']"
33,328,33_rent_neighbor_downstairs_apartment,"['rent', 'neighbor', 'downstairs', 'apartment', 'the rent', 'below', 'the apartment', 'condo', 'our', 'neighbors']","[""be glad we're not in the apartment below him."", 'our downstairs neighbor is a giraffe and his neck is very long so now there is a hole in our floor and his head reaches into our apartment.', 'at least we’re not the apartment below him!']"
34,326,34_bear_honey_honey bear_the bear,"['bear', 'honey', 'honey bear', 'the bear', 'bees', 'the bees', 'bears', 'the honey', 'honey don', 'me honey']","['excuse me, did you call him honey bear', 'oh my god, a honey bear!', ""no! he's my honey bear!""]"
35,317,35_virus_covid_coronavirus_covid 19,"['virus', 'covid', 'coronavirus', 'covid 19', '19', 'flu', 'the virus', 'don worry', 'worry', 'pandemic']","[""don't worry, he's covid-19 free!"", ""don't worry; he's tested negative for covid-19!"", ""don't worry, it doesn't have covid-19.""]"
36,313,36_baseball_home run_pitch_home,"['baseball', 'home run', 'pitch', 'home', 'run', 'bat', 'hitter', 'inside', 'hit', 'inning']","[""hi honey.  i can't talk right now.  \r\nit's the bottom of the ninth.  bases are loaded. \r\ntwo outs.  we're down by three.  juan is at bat.\r\nlet me call you back in a minute or two"", 'last time up, he hit an inside the house home run.', ""it's the bottom of the ninth inning, the home team has two outs, with a man at the dining room table, and man at the armoire. kowalski needs a home run to make the winning score.""]"
37,311,37_salmon_the salmon_fresh_fish,"['salmon', 'the salmon', 'fresh', 'fish', 'caught', 'salmon is', 'tuna', 'the fresh', 'want the', 'caught salmon']","[""i'm sorry, sir, but we are out of the salmon"", 'yes sir, the salmon is very fresh.', 'yes sir, the salmon is fresh.']"
38,305,38_parade_macy_balloon_thanksgiving,"['parade', 'macy', 'balloon', 'thanksgiving', 'the macy', 'day parade', 'thanksgiving day', 'macy parade', 'the parade', 'macy thanksgiving']","[""don't worry, it's macy's thanksgiving day parade"", 'it’s the macy’s day parade, mr. macy.', ""i just love the macy's thanksgiving day parade. don't you?""]"
39,303,39_climate_climate change_warming_global warming,"['climate', 'climate change', 'warming', 'global warming', 'global', 'change', 'warming is', 'change don', 'change is', 'about global']","['global warming, sir.', 'climate change, sir', 'climate change, sir.  climate change.']"
40,298,40_hat_scarf_hats_knit,"['hat', 'scarf', 'hats', 'knit', 'your hat', 'knitting', 'scarves', 'the hat', 'that hat', 'hat don']","[""they want to know why the one on the right has a scarf and a hat. and i want to know why he's wearing the scarf and hat that i gave you last christmas!"", 'where do you think he got the hat?”', ""well, i don't like your hat.""]"
41,295,41_singing_song_guitar_he singing,"['singing', 'song', 'guitar', 'he singing', 'sing', 'his', 'acoustic', 'songs', 'rap', 'album']","['do you hear that?  he’s singing for his supper', ""he's singing for his supper."", ""isn't that wonderful, he's singing our song.""]"
42,293,42_netflix_tv_password_account,"['netflix', 'tv', 'password', 'account', 'watch', 'netflix password', 'netflix account', 'the tv', 'our netflix', 'wifi']","['next time just give him the netflix password.', 'honey, let’s just give him the password to our netflix account.', 'we should just give him our netflix password.']"
43,293,43_harold_harold you_harold harold_harold it,"['harold', 'harold you', 'harold harold', 'harold it', 'harold is', 'it harold', 'you harold', 'harold he', 'harold and', 'it']","['this is harold. harold carries the west side virus.', 'harold! you look...different.', 'oh!harold. he']"
44,290,44_shark_sharks_the sharks_the shark,"['shark', 'sharks', 'the sharks', 'the shark', 'sharks don', 'jump the', 'jump', 'shark tank', 'wall street', 'if the']","['do you think he will jump the shark?', ""so you don't see the sharks?"", 'if the sharks don']"
45,289,45_stand up_stand_up_first stand,"['stand up', 'stand', 'up', 'first stand', 'his first', 'doing stand', 'standing', 'standup', 'first', 'up look']","['look, honey! his first stand-up!', ""he's doing stand-up before he can stand up!"", ""it's his first stand-up!""]"
46,289,46_hatch_hatching_to hatch_hatches,"['hatch', 'hatching', 'to hatch', 'hatches', 'he hatching', 'it hatches', 'idea', 'hatched', 'hatch it', 'plan']","[""he's trying to hatch his next big idea.`"", 'he’s hatching a plan.', 'he’s hatching something.']"
47,281,47_couch_lips_lip_therapy,"['couch', 'lips', 'lip', 'therapy', 'lip service', 'therapist', 'service', 'multiple', 'me lip', 'couch don']","[""from your lips to god's ear."", 'don’t just give me lip service', ""i like your couch, but don't just give me lip service.""]"
48,271,48_jay_blues jay_blues_blue jay,"['jay', 'blues jay', 'blues', 'blue jay', 'it blues', 'blue', 'the blues', 'rare', 'the rare', 'jay it']","['look! it’s a blues jay.', 'i think it’s a blues jay. “', 'the blues-jay!']"
49,270,49_opponent_my opponent_world_flat,"['opponent', 'my opponent', 'world', 'flat', 'my', 'the world', 'opponent is', 'world of', 'globalist', 'earth']","['my opponent seems to think the world of himself', 'my opponent thinks the world of himself.', 'my opponent thinks the world of himself  . . .']"
50,263,50_social_distancing_social distancing_distance,"['social', 'distancing', 'social distancing', 'distance', 'social distance', 'distancing he', 'distancing don', 'of social', 'the social', 'he social']","['social distancing dude!', ""at least he's social distancing"", 'he’s social distancing.']"
51,258,51_boys_good boy_boy_the boys,"['boys', 'good boy', 'boy', 'the boys', 'good', 'who good', 'good boys', 'boys are', 'who', 'you boys']","['who’s a good boy now?', ""who's a good boy?"", ""who's a good boy?""]"
52,253,52_mask_masks_wearing mask_wear mask,"['mask', 'masks', 'wearing mask', 'wear mask', 'wear', 'wearing', 'your mask', 'mask don', 'face', 'face mask']","['if trump doesn’t wear a mask, i’m not wearing a mask.', ""no, you don't have to wear a mask."", 'but i don’t have to wear a mask?”']"
53,243,53_dog_dogs_the dogs_pet,"['dog', 'dogs', 'the dogs', 'pet', 'dogs don', 'they', 're dogs', 'to work', 'dog don', 'work']","[""on the internet, the dogs don't know you're a human."", ""the dogs don't seem to mind being worked like dogs."", 'they don’t know they’re dogs.']"
54,242,54_shoes_match_don match_heels,"['shoes', 'match', 'don match', 'heels', 'socks', 'your shoes', 'shoes don', 'horse', 'shoe', 'saddle']","[""he doesn't like your shoes"", 'him: your shoes don’t match. \r\nhorse: your hat is stupid.', ""well, the shoes don't match the dress.""]"
55,236,55_man_men_no man_man has,"['man', 'men', 'no man', 'man has', 'gone before', 'where no', 'has gone', 'go where', 'the man', 'gender']","[""how'd you like to boldly go where no man has gone before?"", 'who wants to go where no man has gone before?', 'want to boldly go where no man has gone before?']"
56,236,56_shovel_snow_shovelin_shoveling,"['shovel', 'snow', 'shovelin', 'shoveling', 'man', 'shovelin man', 'shovel in', 'lord', 'was snow', 'john henry']","['john henry was a snow shoveling man...', 'john henry was a snow shoveling man, lord lord, john henry was a snow shoveling man', '\'""...so he picked up his shovel and a little pile of snow, \'cause mister henry was a snow-shovelin"" man, lord!,  lord!, mister henry was a snow-shovelin\' man!""']"
57,231,57_insurance_health_your insurance_cover,"['insurance', 'health', 'your insurance', 'cover', 'health insurance', 'medicare', 'life insurance', 'health care', 'plan', 'care']","[""i'm afraid we don't accept your insurance."", ""oh no! i don't have health insurance!"", 'i don’t have health insurance']"
58,226,58_pee_bathroom_the bathroom_poop,"['pee', 'bathroom', 'the bathroom', 'poop', 'pee on', 'to pee', 'clean', 'clean up', 'rug', 'toilet']","['he doesn’t want you to pee on that one.', ""at least we don't need to clean up after him."", 'he needs to use the bathroom.']"
59,225,59_lance_lancelot_my lance_lance lot,"['lance', 'lancelot', 'my lance', 'lance lot', 'sir lancelot', 'lot', 'lancer', 'your lance', 'officer', 'the lance']","['i’m sorry sir.  i lance a lot.', 'lance a lot?', 'i lance...a lot.']"
60,222,60_son_your son_pregnant_baby,"['son', 'your son', 'pregnant', 'baby', 'maternal', 'child', 'adopted', 'instinct', 'paternity', 'he adopted']","['your son is so...ugly', 'he’s adopted', 'he has always had a strong maternal instinct.']"
61,220,61_floor_floor sir_sir_top floor,"['floor', 'floor sir', 'sir', 'top floor', 'floor is', 'floors', 'top', 'the top', 'floor sorry', 'sorry sir']","['sorry, sir, this is the top floor', 'but this is the top floor sir....', 'this is the top floor, sir.']"
62,214,62_vegan_vegetarian_he vegan_vegan don,"['vegan', 'vegetarian', 'he vegan', 'vegan don', 'vegan he', 'vegans', 'don worry', 'worry', 'worry he', 'meat']","[""don't worry, he's a vegan."", ""he's vegan"", ""he's vegan""]"
63,211,63_prince_the prince_charming_prince charming,"['prince', 'the prince', 'charming', 'prince charming', 'my prince', 'prince will', 'prince and', 'prince is', 'as prince', 'prince albert']","['prince charming, prince charming, bring a ladder.', 'you\'re still my prince charming.""', 'sorry about the prince']"
64,209,64_elevator_the elevator_this elevator_elevators,"['elevator', 'the elevator', 'this elevator', 'elevators', 'elevator only', 'sir this', 'only goes', 'goes', 'an elevator', 'elevator doesn']","[""i'm sorry, sir, this elevator is going down."", ""sorry, sir.  this elevator doesn't go that high."", 'sorry sir, this elevator only goes down!']"
65,207,65_kitchen_cooking_the kitchen_dinner,"['kitchen', 'cooking', 'the kitchen', 'dinner', 'my cooking', 'cook', 'don like', 'like my', 'dishes', 'don']","['you could have just told me you don’t like my cooking.', 'i take it you don’t like my cooking?', ""i get it.  you don't like my cooking.""]"
66,199,66_podcast_first podcast_viral_his first,"['podcast', 'first podcast', 'viral', 'his first', 'his podcast', 'first', 'youtube', 'his', 'podcast he', 'podcast his']","['look, his first podcast.', 'honey his first podcast!', 'his first podcast!']"
67,199,67_knight_armor_shining_knight in,"['knight', 'armor', 'shining', 'knight in', 'in shining', 'shining armor', 'the knight', 'mr clean', 'clean', 'armour']","['now you show up?  mr knight in shining armor!', 'i don’t need a knight in shining armor, i need you to help with the cooking.', 'i’m fine. i don’t need a knight in shining armor.']"
68,199,68_step_small step_small_one small,"['step', 'small step', 'small', 'one small', 'step for', 'for man', 'leap', 'giant leap', 'giant', 'one']","[""that's one small step for [a] man."", 'one small step for man...', 'one small step for man, one giant leap for mankind']"
69,197,69_mars_to mars_jupiter_on mars,"['mars', 'to mars', 'jupiter', 'on mars', 'venus', 'the mars', 'for mars', 'floor', 'mars but', 'mars sir']","[""let's get back to mars."", 'up to mars, please.', ""sir, i served with mars. i knew mars. mars was a friend of mine. sir, you're no mars!""]"
70,194,70_larry_is larry_you larry_larry he,"['larry', 'is larry', 'you larry', 'larry he', 'um pah', 'larry and', 'larry the', 'pah', 'larry you', 'larry but']","['again, larry? really?', 'larry, attack!', 'everyone, this is larry, our lunch...']"
71,192,71_henry_henry you_last leaf_henry henry,"['henry', 'henry you', 'last leaf', 'henry henry', 'henry it', 'leaf', 'henry the', 'story', 'john henry', 'oh henry']","[""o henry -- it's up to you now!"", ""oh henry, you're the last leaf!"", 'oh, henry!']"
72,190,72_frank_frank you_you frank_frank it,"['frank', 'frank you', 'you frank', 'frank it', 'downsizing', 'frank we', 'frank just', 'be frank', 'look frank', 'frank lloyd']","[""i told you we wouldn't miss cable, frank! ...frank?"", 'no, to be frank frank, you don’t blend in like you think.', 'frank?!']"
73,188,73_harry_prince harry_prince_meghan,"['harry', 'prince harry', 'prince', 'meghan', 'harry and', 'harry you', 'and meghan', 'royal', 'harry he', 'royal family']","[""but, you'll always be my prince, harry!"", 'prince harry and meghan blend in effortlessly.', 'prince harry trying to blend in.']"
74,188,74_snow_frosty_snowman_snowmen,"['snow', 'frosty', 'snowman', 'snowmen', 'frosty the', 'snow man', 'snow men', 'the snowman', 'frost', 'the snow']","['do you want me to play frosty the snow man ?', 'frosty the snow man was a ....', 'frosty the snow man...']"
75,187,75_humpty_dumpty_humpty dumpty_trumpty,"['humpty', 'dumpty', 'humpty dumpty', 'trumpty', 'together', 'wall', 'together again', 'fall', 'dumpty had', 'mr dumpty']","['humpty dumpty sat on a wall,\r\nhumpty dumpty had a great fall\r\nand while none could put humpty back together again,\r\nat least he always had alcohol!', ""humpty dumpty he's not."", 'humpty dumpty sat on a wall. humpty dumpty had a great fall. humpty dumpty needs his drink tall.']"
76,183,76_blues_blues bird_bird_bluesbird,"['blues', 'blues bird', 'bird', 'bluesbird', 'blue', 'bluebird', 'the blues', 'happiness', 'of happiness', 'blue bird']","['i say we call him the blues bird.', 'no.. this guy is the ""blues bird"" of happiness.', ""my god!  it's a blues bird.""]"
77,183,77_atlas_zeus_mr atlas_atlas don,"['atlas', 'zeus', 'mr atlas', 'atlas don', 'shrugged', 'an atlas', 'shrug', 'atlas shrugged', 'hercules', 'calls tell']","[""i don't need an atlas!"", 'so, mr. atlas, what is your position on global expansion?  mr. atlas?...mr. atlas?...', 'i know atlas, atlas is a friend of mine, and , you sir, are no atlas']"
78,182,78_sniff_butt_his butt_sniff his,"['sniff', 'butt', 'his butt', 'sniff his', 'smell', 'to sniff', 'smells', 'sniffing', 'sniff your', 'go sniff']","[""please don't sniff his butt."", ""just don't sniff his butt."", ""so you're not going to sniff his butt?""]"
79,182,79_hot_don worry_worry_warm,"['hot', 'don worry', 'worry', 'warm', 'heat', 'tomorrow', 'weather', 'thermostat', 'the thermostat', 'cold']","[""don't worry.  they'll melt by tomorrow."", 'don´t worry, they´ll be gone when the sun comes up', ""don't worry honey, it's supposed to be warm tomorrow.""]"
80,182,80_cat_the cat_cats_cat videos,"['cat', 'the cat', 'cats', 'cat videos', 'videos', 'kitty', 'cat is', 'catatonic', 'catnip', 'cat man']","[""i don't get it! all the cat videos are blocked!"", ""just don't let the cat out of the box."", ""don't hit the cat!""]"
81,179,81_horse_pills_horse pills_horse ass,"['horse', 'pills', 'horse pills', 'horse ass', 'ass', 'equine', 'sir', 'for horse', 'horse pill', 'pill']","['actually sir, these are horse pills.', 'please don’t tell me they’re horse pills!', 'your horse pills, sir.']"
82,178,82_sweet_he looks_looks_looks sweet,"['sweet', 'he looks', 'looks', 'looks sweet', 'sweet he', 'as sweet', 'sweet as', 'sweet but', 'sweet don', 'as he']","['sure, he looks sweet...', ""it's o.k.--he looks sweet."", 'he looks sweet.']"
83,177,83_his first_first_words_first words,"['his first', 'first', 'words', 'first words', 'word', 'first word', 'his', 'say his', 'to say', 'he about']","['i think he going to say his first words', ""i think he's about to say his first words!"", 'his first words!']"
84,173,84_joe_joe is_joe joe_joe exotic,"['joe', 'joe is', 'joe joe', 'joe exotic', 'up joe', 'double joe', 'joe it', 'of joe', 'joe he', 'is joe']","[""that musta' been one heck of a cup of joe, joe."", 'better make it a double, joe!', ""``joe is shocked. joe is confused. joe wants to go home.''""]"
85,173,85_amazon_delivery_delivery guy_mailman,"['amazon', 'delivery', 'delivery guy', 'mailman', 'for amazon', 'the delivery', 'deliver', 'shipping', 'return', 'bought it']","[""don't tell me, you bought it on amazon."", 'he bought it on amazon', ""i'm the delivery guy.""]"
86,169,86_chicken_like chicken_the chicken_chicken he,"['chicken', 'like chicken', 'the chicken', 'chicken he', 'turkey', 'chicken don', 'tastes', 'chickens', 'taste like', 'it tastes']","['just don’t order the chicken. they really like chicken.', 'he says it may taste like chicken, but it’s not chicken.', 'don’t worry...it tastes like chicken.']"
87,169,87_jerry_tom_jerry jerry_tom and,"['jerry', 'tom', 'jerry jerry', 'tom and', 'you jerry', 'jerry this', 'jerry you', 'jerry to', 'and jerry', 'jerry just']","[""and a 'tom and jerry' of course."", ""it's over, jerry."", 'jerry? get it? funny, right? ""tuba-d""? like, ""tu-bad""? jerry?....jerry?']"
88,168,88_water_swim_on water_to swim,"['water', 'swim', 'on water', 'to swim', 'swimming', 'can swim', 'above water', 'walk on', 'he can', 'head above']","['he thinks he’s walking on water.', 'i didn’t have the heart to tell him he can’t walk on water.', ""he can't swim!""]"
89,167,89_tweets_twitter_tweet_tweeting,"['tweets', 'twitter', 'tweet', 'tweeting', 'his tweets', 'instagram', 'on twitter', 'followers', 'twitter account', 'on instagram']","['you should see his tweets.', 'i prefer his tweets.', 'i prefer his tweets.']"
90,165,90_alligator_gator_crocodile_alligators,"['alligator', 'gator', 'crocodile', 'alligators', 'gatorade', 'an alligator', 'the gator', 'gator aid', 'crocodile tears', 'later alligator']","['no, of course we don’t have an alligator. that’s a crocodile.', ""he's not crying crocodile tears. he's an alligator."", ""don't worry. it's an alligator not a crocodile.""]"
91,163,91_wolf_sheep_wool_clothing,"['wolf', 'sheep', 'wool', 'clothing', 'sheep clothing', 'mr wolf', 'sir', 'the sheep', 'in sheep', 'the wool']","[""i have to disagree, mr. wolf. i think the sheep's clothing would have been the better option."", ""mr. wolf, sheep's clothing is so passe this year."", ""yes, mr. wolf, the sheep's clothing is you.""]"
92,162,92_ted_ted talk_talk_first ted,"['ted', 'ted talk', 'talk', 'first ted', 'ted talks', 'talks', 'ted he', 'is ted', 'and ted', 'ted here']","[""baby's first ted talk!"", 'oh, look, honey - his first ted talk!', 'oh honey, his first ted talk']"
93,162,93_lawyer_he lawyer_attorney_professional courtesy,"['lawyer', 'he lawyer', 'attorney', 'professional courtesy', 'courtesy', 'professional', 'lawyer he', 'courtesy he', 'an attorney', 'my lawyer']","[""it's professional courtesy, he's a lawyer."", ""professional courtesy - he's a lawyer."", 'professional courtesy....he’s a lawyer.']"
94,160,94_blend_blend in_don blend_to blend,"['blend', 'blend in', 'don blend', 'to blend', 'you blend', 'blender', 'blend well', 'blending', 'think we', 'blending in']","[""you do know you don't blend in."", 'you  don’t blend in very well', ""i don't  think you blend in""]"
95,159,95_moon_the moon_full moon_to the,"['moon', 'the moon', 'full moon', 'to the', 'apollo', 'full', 'sir', 'moonwalk', 'floor', 'elevator']","['to the moon jimmy, to the moon.', 'don’t forget the moon.”', 'to the moon sir?']"
96,158,96_toilet paper_toilet_don forget_paper,"['toilet paper', 'toilet', 'don forget', 'paper', 'forget', 'trash', 'forget to', 'forget the', 'the trash', 'the toilet']","[""honey, don't forget the toilet paper."", 'don’t forget the toilet paper.', 'don’t forget the toilet paper.']"
97,157,97_fire_burning_burning man_the fire,"['fire', 'burning', 'burning man', 'the fire', 'burns', 'fireman', 'pole', 'burn', 'fire in', 'burned']","['burning man is terrible this year.', 'burning man is terrible this year.', 'burning man is terrible this year.']"
98,157,98_table_the table_round table_round,"['table', 'the table', 'round table', 'round', 'your table', 'basket', 'the round', 'tables', 'table for', 'table is']","[""don't just stand there, set the round table for dinner."", ""i'm sorry, but we don't have a round table."", ""we don't have a round table!""]"
99,156,99_reservation_toast_have reservation_without reservation,"['reservation', 'toast', 'have reservation', 'without reservation', 'reservation for', 'your reservation', 'reservations', 'the toast', 'the town', 'toast of']","[""i don't care if you are the toast of the town, you have to have a reservation!"", ""i'm sorry sir, but if you don't have a reservation, you're toast."", 'i don’t care if  you are the toast of the town, you don’t have a reservation!']"
100,155,100_prostate_royal_royal pain_pain,"['prostate', 'royal', 'royal pain', 'pain', 'pain in', 'prostate exam', 'your prostate', 'the ass', 'exam', 'king sized']","['that royal pain in the ass is a king size hemorrhoid.', ""i don't think what they keep saying is that you have a royal pain in the ass."", ""you're sure you don't have anything for a royal pain in the ass?""]"
101,153,101_bread_serve bread_serve_don serve,"['bread', 'serve bread', 'serve', 'don serve', 'bread sorry', 'bread here', 'sorry', 'we don', 'sorry sir', 'we']","['i’m sorry—we don’t serve bread.', 'we don’t serve bread.', 'i\'m sorry sir, we don\'t serve bread...""']"
