caption,topic
"please thank your mother, but remind her - bigger isn't always better.",30
tell your mom that i am not being stubborn.,130
"it may be small, but i know what to do with it and the wife's just happy i can go so fast!",-1
"sorry mom, i stepped on a crack!",317
tell your mother i saw her shadow and will be back in six weeks.,196
mom's great with her new snowblower.,167
"i think i took her ""size doesn't matter"" too broadly.",30
"just like my wife always says, ""size matters.""",30
"keep at it, mom. i'm sure my little pail is down there somewhere.",-1
your mother wants me to teach you about fairness.,-1
but mom told me size really *does* matter,30
"ok, quincy, you get the big shovel and in return you promise not to tell mommy about mrs. wainwright and me.",167
and remember that when you talk to girls,3
"size may not matter to her, but it does to me.",30
"go tell your mom, that just because she found our snow shovel, does not mean i need to use it.",167
can you believe your mother calls me a perfectionist?,-1
"oh, good. finished building your 'wall against the rising tide of stephanie' next door?",272
mom said either way you're going to grandma's.,14
mom wants her spatula back!,-1
tell your mother i'm not pouting about the snowblower.,167
your mother insisted i complete a 12-step program.,-1
it's either this or i talk to your mother.,16
mom said yours wasn't big enough. i assumed she meant the shovel.,167
i've been trying to get margie out of her 'bigger is better' mindset.,30
size isn't everything. ask mom.,30
mom says size doesn't matter.,30
"no, thank you. i promised your mother i would reduce my carbon footprint.",36
you should see how i paint the house in the summer.,2
"like i told your mother, size doesn't matter.",30
i told her it wasn't the size of the shovel that mattered!,167
tell your mom i enjoy oxymorons!,-1
"never mind what mom says, it’s not the size that counts.",30
mom says to use this to shovel the walk unless you want her to flip the burgers with a plunger,167
it makes me feel closer to my ex-wife.,0
"i agree, art, but the doctor said humor her, and she's still watching.",284
we'll get more done when mom gets here,-1
"no bombs grandma, snowballs.",14
i'm going to tell mom that you made me use the big scoop.,-1
my wife says size doesn't matter. (note to editor: sorry in advance),30
tell your mother i am on my way to work.,-1
"switching shovels would be more productive, but your mother wanted it this way and she's the boss.",167
is your mother sure this will help me shovel off the pounds?,167
summer 2020,2
this is analogous to an argument i always have with your mom about size.,30
"your mother told you size matters, didn't she.",30
your wife also likes it bigger.,-1
mom's got her glasses on backwards again.,-1
take that back to your mother -- it's more fun using this one.,-1
mom said the walk needs to be shoveled but my doctor told me not to push heavy snow around.,167
mom wants her spoon back.,-1
that's what she said.,-1
put that back until your grandmother leaves.,14
....and that's the difference between hillary and bernie's campaign funding strategies.,5
"harry, so how was your life going since we swapped wives?",127
your mother has some explaining to do.,130
"but i heard you tell mom, size doesn't matter!",30
"i know your mother is always saying size matters, but we'll just show her size isn't everything.",30
"yes, i know what your other grandmother thinks!",14
i'm proving a point to your mother.,107
"i keep hearing your mom, she needs you inside.",-1
go tell your mother it's too late for an apology!!,130
"yes, tell your grandmother i'll be in as soon as i'm done shoveling the walk",14
"didn't you listen to your mom, work harder not smarter.",-1
so i've shoveled the walk and you're my witness. i'm off for your mother.,167
"you're the best, mrs. g! thanks for having my favorite popsicle on hand for me!",-1
"mom says 'happy belated anniversary!""",162
mommy hid it because she didn't want you to have a heart attack.,-1
young people have lots of drive but no ability. adults have lots of ability but little drive. we work together and we might just finish before your mom comes home.,-1
"as i told your mother, bigger is not necessarily better.",30
"what? lady, my name's melvin, not sisyphus.",64
"mrs. robinson, weren’t you the one that taught me that it’s not the size of your shovel but it’s how you swivel it?",167
mommy said it was right in the garage where she said it was???,-1
your mom doesn't want me to vote for bernie.,-1
your mother used all the driveway salt in the pasta.,34
"go tell mom she wins, we're moving to florida.",96
call your mother. this could go viral.,73
"remember, not a word about my 'stamina' to your mother.",-1
you're sure your mother's inside?,-1
'...let's swap wives too',-1
i know your wife told you that size doesn't matter. but...,30
mom says she needs that spatula for the flapjacks.,-1
"some women might tell you that size matters, but i know my wife.",30
"a convenient mixup, mom.",-1
"your mother didn't say, ""size never matters?",30
"betty, i think it's time we stop buying our snow shovels from the clearance section.",167
your mom may be right about tiger parenting.,-1
i thought you garden gnomes worked just in the summer.,2
you tell your mother that's she not funny.,-1
but mom why does timmy get the big shovel,167
"mom says to tell you size does matter. [""does"" underscored or in italics.]",30
"yeah, well your mom says you're the right tool for the job.",48
jeb listen to your mother hurry we are heading to south carolina.,96
"just like my wife says, size isn't everything!",30
"what do you mean, mother said the size does matter???",30
i'm showing your mom that size isn't everything.,30
"stop complaining, doris. you know i am better at detail work.",68
i suppose that's your mother's idea.,-1
you can tell your mother i prefer this one.,130
"you see, your mother was wrong: small and fast beats large and slow.",30
the small shovel is just a gag to make you smile. your mother and i are getting a divorce.,167
your mother says she thinks you might be gay.,-1
i'm already rushing to spend time with your mother!!,96
"you're not in wonderland, alice!",23
mom wants you to come in for your hors d'oeuvres.,108
does your wife know you're into swapping?,-1
"hey, leave your mom alone!",-1
the optics appear indefensible; but a bet is a bet mother.,-1
"it's not a bigger shovel you need, it's a bigger incentive. have you met my wife?",167
martha got off path and lost her way.,24
maybe you should stick to caddying in the summer.,2
"it's not about how quickly the job gets done, timmy. it's about how much time i get away from your mother.",-1
"well, she can't spank me.",-1
mom says you're avoiding her.,-1
i see this job as a stepping stone...,238
you can have your shovel back. she tok the picture.,167
"now, you be sure to tell your mother what you learned this weekend.",-1
tell your mother i still believe velocity is more important than size. some day you'll understand.,30
mom was just joking around when she said you were over-compensating,-1
"hoe hoe hoe! there was a bit of a mix up and from the sound of your wife's voice, i knew this couldn't wait.",0
"like i tell your mom, it's not the size of the shovel...",167
your mother needs coffee by noon.,110
go back inside and tell your mother that size does not matter!,30
your mother finds emasculation amusing. that is why.,-1
mom said you might want this for the finishing touches.,-1
because i'm proving to your mom that size isn't everything.,30
"tell your mother, once again, that size doesn't matter.",30
"no thanks, i'm good. trying to avoid my visiting mother-in-law!",-1
her most recent order was to shovel the snow. i'll do anything to escape the tyranny!,67
"sorry, dairy queen only trained me how to do it this way.",205
i suppose you're going to tell your mother about this?,130
"it's like your mother always says: it's not the size, it's how you use it.",30
sarah palin's house looked a lot nicer from russia.,136
your mom makes way too much mashed potato.,34
maybe we should have stopped at wife swapping.,-1
my mother always says to remember that size does matter.,30
and now your mother has finally found the shovel,167
"it was right where mom said, hanging in front of your face.",-1
my wife told me i have to start paying more attention to detail.,0
is your mother trying to give me a heart attack?,-1
"let her out, fred.",137
stop calling me jasmine.,-1
"""what do you mean you killed your wife""?",0
i see that you're still living with your mother.,96
"when i said that it was okay to bring a big, bushy carpet i was talking to the women in the class.",210
do you have a note from your wife?,-1
"you have to stop asking the girls to join your ""magic mat.""",-1
i'm sure you'd be more comfortable at our sister studio: bro down yoga.,210
"no,the other ladies would not like to share your mat with you.",-1
"unfortunately, nobody here goes by jasmine!",-1
put her back.,-1
"you're here to ogle women, aren't you?",3
did your wife make you come ?,0
let me explain how many different ways you're not going to meet any girls here.,3
does your mother know you took it?,-1
stop trying to sneak her in!,-1
was your mother a large woman?,30
she held the kapotasana pose too long. the body's in the small studio.,-1
"if you want to impress women, next time just do the stretches without grunting",3
"we bow towards madison avenue, not mecca.",248
let's start by unrolling your wife.,0
and then weight it down and dump her in the river.,93
...and i told your wife not to try that pose at home.,-1
"i know you said yoga mat, but this is all my mom had!",210
"unless it's cleopatra inside there, she'll have to pay.",-1
"unless you have a small woman in there, you've come to the wrong place.",-1
your wife told me you'd need some help for your first class.,0
...and my name is princess jasmine but it's still too big!,-1
"hey ladies, i think i figured out who left the seat up.",256
"""naw, must stay,"" sandra insisted.",-1
"take the rug back home, honey"" she said. ""the carpet doesn't have to match the drapes in yoga",210
"hi madam, my name's wilbur, and i'm here to join your yoga class. i figure, if all else fails me, i can count on my magic carpet.",210
"welcome to a whole new world , my name is jasmine and i'll be your instructor.",-1
"dump her in the swamp, but hurry back. bikram starts in five.",-1
the difference is... your mother is wrong and i am right... again!,-1
"nice reclaimed mat, where'd you get it, your grandmother's house?",210
"in the future, ms. cleopatra, you are going to need to use the front door like everyone else.",-1
"""your wife called. she fell and broke her hip climbing out of the shower"".",-1
i'm afraid we can't do anything about your girlfriend's body now.,-1
"oh, did you bring your grandma's yoga mat?",210
"you'll have to come back tomorrow, ms. antoinette just called in sick.",-1
jasmine's classes are on tuesdays and thursdays.,-1
"sorry, your mother was wrong, and she dresses you funny.",-1
i'm getting tired of ms. cleopatra's grand entrances.,-1
jasmine doesn’t teach today and she doesn’t want to see you anymore now that you’ve let yourself go,119
"she does matter, but in this case, smaller is better!",30
are you sure this is this most expensive mat? i am trying to get my daughter into pre-school.,210
"that's for ""rugrats,"" the mother-child pilates studio next door.",-1
i have a feeling that your mother's dining room is now short one yoga mat.,210
"you by any chance norbert? your grandmother just aller, and she sounded upset.",14
cleopatra doesn't need to always come wrapped in her carpet.,210
"you can move in her ""mat,"" but she has to do the yoga.",210
i'm pretty sure that's not what she meant when she asked you to pick her up at yoga!!,210
my wife sent me here to relax. where does the tv go?,182
when my wife drags me to yoga.,210
"please tell your mother this isn't day care, and i know a dining room rug when i see one!",210
it's not funny anymore! she's a collector on the 5th floor!,-1
i'm taking my wife home.,0
"i have a rug, can i join women's yoga now?",210
my wife told me that y’all might be able to teach me how to ride this thing.,-1
"sandra, i respect your opinion but this is my yogi bear mat. if we just take a deep breath...and relax...i'm sure we can make this work.",210
you muslims always think you can kill two birds with one stone.,-1
not sure what happened to her but the body is in the back room.,-1
have you seen alice?,23
you can put my sister down anywhere?,11
you can start by getting your rug off of barbara’s head.,234
have you seen my sister cleo?,11
her bow down dog soiled the rug,10
my wife is lost in thought. can you please tell her that she promised the kid's that she would take them to the park today?,-1
"take her, and put her in the garbage truck.",-1
"at this point, she realized that the relationship was not going to work.",-1
'wife rolled into rug' is not a pose.,-1
"i guess you could kill two birds with one stone, but kneeling east towards mecca, means you won't be facing the instructor.",-1
you really should not be forcing your girlfriend to come to class.,-1
you may be disappointed to learn that lululemon has recalled all those see-through ladies yoga pants.,210
you say the queen of sheba came to bow down?,1
"nobody said “no carpet” this mat is not even on the market yet. this isn’t the carpet class, right? my wife said something about laying down in yoga class.",210
send henrietta back. she's beyond our help.,-1
"you won't find your jasmine here, aladdin.",-1
my mom says you'd like to chew on one of these.,-1
"when sophie told me you had a napoleon complex, she wasn’t joking.",101
i'm so pleased that your little sister is interested in yoga. did you bring her with you?,210
"no, i haven't seen sylvia, but she owes us for last week's lesson.",17
that better not be my great grandmother's persian rug that has been passed down for generations!,14
"i heard ms. cho counsel you earlier about your choice of wardrobe and your violent temper. by the way, have you seen ms. cho?",64
you're karmic vibes are telling me you have anger issues with her!,-1
"surprise me, you were thrown out of the house, and you're planning on staying until she takes you back. right?",-1
put her out back for now.,-1
"it doesn't matter if she lets you roll her up at home, this is not an accepted position in this yoga class.",210
just dump her in the marsh and hurry back. bikram is at noon and people drop like flies.,-1
what ivy league school failed to teach you the difference?,202
"true, helen is a bit overweight but i think this will give her a complex.",46
"no... i will not be your ""jasmine.""",-1
is jasmine teaching today's class ?,-1
please tell her majesty queen cleopatra that all the reporters have left.,1
ms. bliss told me about you - get out!,68
my wife and kids are joining me in a bit,127
"""my wife told me that yoga was all about making modifications to feel more comfortable"".",210
"first of all, i'm not your ""girl."" moreover, i'm not going to close my eyes, look inside, and let the sound take me away.",-1
no i will not be your jasmine and take a carpet ride with you!,-1
"i'm sorry, but erin andrews doesn't take classes here anymore.",-1
irene are you in there ?,68
"this is about a girl, isn't it?",-1
"i appreciate your effort, but you still can’t date my daughter.",-1
i brought my mother. she's very stiff.,-1
i couldn't fit into my wife's yoga pants.,210
you can use it as long as your mother is ok with it.,-1
is that supposed to make you look rugged in this feminine environment?,3
"you heard me, into the river. and if anyone asks, she came here in the corpse pose",-1
everyone knows that this is nancy's spot.,209
mrs. vanderbilt will not be here today.,-1
now what's your mother gonna say when she finds her rug beneath the dining room table is gone? hmm?,210
"it was not appropriate last week when you offered any female in the room to ""take a ride on your magic carpet""",-1
what ever happened to ladies first?,176
i'm not your little girl & i am not going anywhere with you on some magic carpet ride.,-1
"if you have to roll your wife in a rug to get her here, her chakras aren't open.",-1
remind yo momma not to forget her mat next time.,210
"now would you please unroll, so i might ask her myself why she is against yoga lessons.",210
"yes, i am delighted to learn your dog would not move her asana and join us.",10
the new girl is old money.,-1
"sorry to hear, al, that gene couldn't fix it in time... hope cleo has still enjoyed her ride.",44
this is not your grandmother's yoga class.,210
"mandy never believed in love at first sight; she had only gone to class to stretch and relax, but she was completely intrigued and smitten with steve's concept of wall to wall yoga.",269
i'm certain your grandmother hadn't intended this when she asked you to have it steam cleaned.,-1
we can be done before your wife finds out you borrowed her priceless antique rug.,-1
is she in your mat practicing the corpse pose?,210
i think she's impressed.,-1
did you see the size of that lady's purse?,-1
did you see that strange lady on the elevator?,45
she wouldn't stop staring! you think it was my new cuff links?,-1
"you know, my mother always said i'd become an assassin.",267
"see that, she didn't even ask....",-1
"'nice briefcase', she says... pfft, nothing about this case is brief...",-1
do you think she noticed?,-1
she was totally checking me out.,-1
did you have to tell her we carry our 'briefs' in here?,8
"'nice suit, i like your briefcase.' of course she was talking to me.",-1
"that was great, we had her boxed in perfectly. next time it's your turn to fart.",22
negotiations will be short once they see it's written in stone.,-1
"i know it's not full of cash, but she doesn't.",49
i will not tolerate another threesome joke... lady,-1
why do women all react that way when i tell them we are professional pall bearers?,3
i think she thought you looked pretty weird.,-1
why was she staring at us?,-1
"hilary asked for her longform birth certificate - you know, just in case.",7
how else to let her know that the deal is doa.,-1
i told her it was the gun legislation.,-1
"at the end, no one expected so much weight loss from mrs. reagan.",174
i hope this huuuge case distracted her from noticing our small hands.,-1
bet you didn't think carrying around a keyboard in suits can make you popular with the ladies.,8
i wonder if she thinks we're compensating.,-1
i wish mother wouldn't pack our lunches together.,89
"how about, ""i know that the boss said that we should team up on the next case, but this is really cramping my style with joan""",-1
does she realize this is all of her paperwork?,7
she asked for a three-way.,-1
my grandmother had a lot of silverware sets.,265
"get it through your brain, janice. we only have 3 handles!",-1
she can't handle the truth!,-1
is she still looking at my butt?,-1
assisted living works for my mother.,-1
"madam president requested a massage table and three suits, go figure.",-1
did you notice anything odd about her?,-1
i wish she would have released the emails before i joined the firm.,42
all the cool girls are going to be in absolute awe of our xylophone concerto !,156
does she know this corporate exercise is usually performed above the glass ceiling?,101
do you think she's unattached?,88
did you see her face when i said 'let's get horizontal?',-1
if sally from corporate starts again with her safe zone speech we bring out the big guns.,105
"stop worrying, she's not focused on our small hands...",-1
we need somebody more flat-chested than her.,-1
maybe we should've told her that we just share a briefcase...,-1
i told her it was a monty python case. she laughed and didn't get suspicious.,-1
how do you think she guessed we work at a surfboard company?,105
she said it was the longest one she's ever seen.,-1
"technically, i'm not lying. i told my wife that the fbi finally has me be working on a really big case.",-1
she's probably never seen one that long,-1
"some women find three ventriloquists, and one dummy, quite refreshing.",-1
somebody should tell her the express elevator is for briefcase-poolers only.,45
"i told the judge it wouldn't take long and there was only one page of women's signatures, claiming sexual abuse.",7
will your wife notice it's missing?,0
she stared because you're on the wrong side.,-1
are you cheating on your wife with the paralegal tonight or am i? i know fred was last night.,-1
didn't i tell you? you saw the way the way that babe eyed us when she saw our cool partner briefcase.,-1
i suppose she thinks a woman should hold the next handle!,-1
"just because i'm middle management doesn't mean you can call me ""alice.""",23
did you see the strange look that woman in the elevator gave us?,45
she could have given one of us her number.,-1
cleopatra should help us with this briefcase like she did when we fought pompey.,-1
"i thought it was rude how you called me a ""stonehenge looking motherf*cker"" in front of that lady. actually, it was rude in general.",-1
looks like our ex-wife is on our again.,0
i'm sure she would have loved you if we had the right briefcase.,-1
my wife wasn't happy when i told her we were job sharing again this weekend.,0
the amount of clothes my wife needs for a two-day trip never ceases to amaze me.,-1
she said we're over-compensating for the size of our hands.,-1
she's onto us.,-1
linda over there keeps complaining about how she makes 25% less than us.,54
this is just her carry-on.,-1
"why'd she have to unload all her baggage on us?"" ""i know. i never even met the girl.",-1
i wonder how she guessed that we all work together?,-1
"thanks for the help, fellas. my wife is going to love these really long earrings.",287
if we put this down she'll ask us to rearrange her office again.,105
"mother says, ""stay together!""",-1
i should have told her i have a big package.,30
"we'd be more balanced, if i was an asian woman.",3
what does she even do here?,-1
"if you stop looking at me like that, maybe she won’t realize it’s a corpse.",-1
what did she mean that was a weird massage?,-1
your wife seems happy we're bringing work home.,0
"so my daughter tells me we should be worried about this thing called ""the cloud"".",282
that's what she said!,-1
isn't she our neighbor. i wonder what she's up to ?,-1
"i mean, you can't blame her for staring.",-1
this is heavy like kim's nude selfie.,83
i can't wait to meet our wife.,0
do you think she could smell what's in the briefcase?,350
do you think she suspects the boss is in the case?,86
"you know the last one of these we carried turned out to be your partner's casket?"" ""yeah? well, let's hope that this one is your wife..."" ""...agreed.",0
you see her weird purse?,-1
well she gave us a look...what's her problem?,-1
my wife picked it out!,0
"why didn't you just tell her we're from 'music removals r us', she'd never know...",43
she really just doesn't have a handle on our case.,-1
it always takes three valets to carry ms. kardashian's girdle tote.,83
how many of her emails did you say you printed out?,42
our religious liberty brief is on a stone tablet.,-1
"she said, 'wake me up when the hairdresser arrives.'",78
you would think she never saw a threefcase before.,-1
i wonder why the wives were so upset this morning.,0
we can't let her go without her trombone.,43
did you see that look on her face after i told her we work for acme sex toys?,-1
she was totally checking out the 'threefcase'.,-1
"collaboration in the workplace. not just a lady thing anymore, fellas!",3
i hear susan in the elevator is joining our team. we're going to need a bigger case!,45
"no, you have to tell the boss her dog ran in front of a steamroller.",10
mom said we should all start sleeping in separate bedrooms.,245
"we have to get this to hillary quickly, decent penis size is the new campaign must-have.",5
let's see what she does if we drop this and run.,-1
ignore her comments. she's an individual briefcase kind of woman,-1
this provision of the merger is ok. the wives' clause i'm not so sure about.,7
do you think i should wear a rose in my lapel? i think it would look more official.,29
did anybody remember the post-its for the wife?,0
this'll be the last time she asks us to keep it brief.,-1
did anyone tell ms. myers that kids stay free?,-1
"just like i said, she wasn't going to notice it as anything out of the ordinary.",-1
that woman may suspect something weird.,86
you think she noticed my new tie?,-1
ivana. your mom?,107
how could she tell we're the olympic bobsled team?,-1
why is she looking at us in such a strange way?,-1
they're not gonna bury nancy if i can help it.,209
she acts like she's never seen guys share a briefcase before.,-1
act like it's heavy when we see susan,17
"whoever said ""three's a crowd"" never had to carry a ridiculously long suitcase by herself.",-1
her purse looks big enough for a human head. creepy.,-1
it's just as vita requested . i stuffed her pockets full of rocks and now we're going to drop her and the cats in the east river.,22
"nuclear codes??? no, these are hillary's classified emails she sent from her vic 20 and her commodore 64.",42
"she didn't have buns. so, my anaconda...didn't want none.",-1
at least she didn't ask us about the weather.,-1
her presentation was too flat,-1
do you think she noticed how big our briefcase is?,-1
did she just ask for directions to the texas school book depository?,-1
she wants me,-1
new protocol: all contracts carved in stone for corporate directors.,-1
