Occupation,Contests_Normal,Contests_Uncanny,Contests_Question,Contests_Total,Num_Normal,Num_Uncanny,Num_Question,Num_Total,Normal_Text,Uncanny_Text,Question_Text,Location
physician,[],[],[],[],0,0,0,0,there is a man and woman on a couch monkeys are all over the room and on them a man and a woman are sitting on the sofa the woman is upset because the living room is full of monkeys climbing around a man and a woman are sitting on a couch they are surrounded by numerous monkeys,monkeys are found in jungles or zoos not in houses the room is full of monkeys which would cause a mess in the house there are monkeys in a house,why is the room full of monkeys why are there monkeys in a house why are the monkeys there,"['living room', 'the living room']"
chiropractor,[],[],[],[],0,0,0,0,a knight is in the countryside he is dueling with a dragon,the dragon is dueling with a weapon rather than breathing fire,why are they angry with one another,['the hills']
engraver,[],[],[],[],0,0,0,0,two angels are standing on a cloud they are having a conversation a man and a woman are talking they are angels the man has a huge halo while the woman has a normal sized one a female angel is listening to a male angel talk her halo is normal sized while the man s is at least 4 times larger than hers they are both surrounded by clouds,nothing is really out of place in this picture it is unusual to see a halo that is as large as that of the male angel s additionally angels are not typically depicted with looks of longing as seen on the female s face the man s halo is unusually large,what are the angels discussing why is the male angel s halo so large why is the man s halo so huge does the female want to hook up with the egotistical male angel,"['heaven', 'heavan']"
underwriter,[],[],[],[],0,0,0,0,,,,
agent,[],[],[],[],0,0,0,0,a business meeting is going on the boss is at a long table the rest of the group are in the corner of a room that is slanted sharply in an office people are having a meeting in a slanted room everyone is pushed back to one corner of the room a man sits at a board room table all the other board members are sitting a distance away from the table,meetings take place in a level room with everyone taking a seat around the table it is less productive for people to be in one corner of the room the executives are very far away from the table the room is slanted so much that everyone is in the corner except the boss,why is the room so slanted why are they sitting so far away why are the people in one corner of the room,"['a meeting room', 'an office room']"
cartographer,[],[],[],[],0,0,0,0,a man is climbing a mountain in midair a man below is staring at him there is no mountain a man is climbing up a wall of nothing another man watches from below a man in climbing gear is climbing nothing but air as another man watches on there is nothing in the back ground or on the ground,it is impossible to climb onto nothing the man is scaling an invisible mountain there is no wall or cliff that the man is climbing,why is the man scaling a mountain that is not there how is he suspended in the air how is the man climbing nothing,"['room', 'the ground']"
neuropsychologist,[],[],[],[],0,0,0,0,there is a huge sword or knife above the king hanging from a string a king sits there in his throne while a court reader reads a scroll there is a king leaning back in his throne who is listening to a scribe who stands in front of him the scribe is reading from a piece of rolled parchment above the king hangs a giant sword which stretches across the entire width of the room a giant knife is hanging above the king s throne a jester is reading a letter to the king who is sitting down,giant knives are not common it is unusual for a sword to be this size and for it to be hung directly above the king s throne there is a huge sword above the king it could easily fall on him,why is there a giant knife why is the sword so big what is the scribe reading to the king why is the sword so huge,"['a kingdom', 'a royal chamber']"
merchandiser,[],[],[],[],0,0,0,0,two giraffes are in a house one is on the couch watching tv there are two giraffes in the living room of a house one giraffe is standing and talking to the other giraffe who is laying across an entire couch the giraffe on the couch is possibly watching a tv which is seen in the foreground two giraffes are chatting in a living room one is on the sofa watching tv,giraffes are in a house watching tv giraffes are doing human things it is unusual for animals to be acting like people in the living room of a house,why are there giraffes in a house what are they talking about why are the giraffes inside a house what is the standing giraffe saying to the giraffe who is laying down on the couch,['a living room']
roofer,[],[],[],[],0,0,0,0,a whale is beached on a small island he has crushed a man and a tree beneath him a large sperm whale is beached on a small island in the middle of the ocean underneath the whale is a toppled palm tree and two human feet there is a whale that is beached on an island the whale does not look happy and the island is smaller than its body,the whale does not fit on the island whales are not typically so large that they can cover an entire island additionally whales typically remain in the sea and are not usually found belly flopped on a person whales do not typically beach on islands that are so small,do you think that the man is okay why is the whale beached on the island why did the whale get out of the water what happened to cause the whale to beach itself,"['a small island', 'an island']"
machinist,[],[],[],[],0,0,0,0,a man and a woman are dining at a subway station they are looking at menus the waiter stands nearby people are having dinner at a subway station a waiter is taking their order people are waiting for the train behind them a couple is having a dinner in the middle of a subway station platform a waiter waits for their order while everyone else ignores them,the table and waiter are out of place in a subway station the is a dinner table at the subway station people do not eat in the middle of a subway station it would cause an accident,why are they eating at a subway why is there a dinner table at a subway station why are they having a dinner in the middle of the station,"['subway station', 'a subway']"
housekeeping staff,[],[],[],[],0,0,0,0,two men are carrying a big snake into a building another man approaches them with a paper in his hand two men carry a large snake into the work office they are stopped by a man with a piece of paper in his hand two men are carrying a huge snake one man looks at them this is at an office,there is a huge snake in an office snakes do not get that big bringing snakes to work is dangerous,why are they bringing a snake to work why are they carrying a huge snake why are the men carrying a huge snake,"['the office', 'office']"
installer,[],[],[],[],0,0,0,0,a couple is in the car a whale is in the backseat of the car two people are driving a car there is a whale in the backseat a whale is behind a person s car there are two people in the car who have not noticed it,a whale is in back of the car the whale could not survive outside the water or fit in the car whales do not belong out of the water a whale needs to be in water in order to survive and would not survive on a road,why is there a whale in the car why is the whale behind them where did they pick up a whale,"['the ocean', 'car']"
industrial-organizational psychologist,[],[],[],[],0,0,0,0,a psychiastrist is in her office she is talking to a car that is on her couch,there is a car instead of a patient,why is the car there,['a psychiatry office']
veterinary technician,[],[],[],[],0,0,0,0,two women are sitting in a living room chatting and drinking from cups a man in the other room considers a giant donut,there is a giant donut in the other room,why is there a giant donut,['the living room']
rehabilitation specialist,[],[],[],[],0,0,0,0,there is a tiny man holding a giant needle and thread he is pointing the needle at a giant cat who is pawing at the needle and has its mouth open there are also giant scissors and spool of thread in the foreground a tiny man is wielding a sewing needle he is fending off an aggressive cat a small man points a needle at a cat the cat has its claws out ready to fight the man the man looks like he is defending himself with the needle,men are not that tiny it is unusual for a man to be so small it is also unusual for anyone to point a needle at a cat cats are not bigger than human men,how did the man get so small why is the man so small why is the man pointing a needle at the cat,"['a table', 'a blank space']"
cleaner,[74],[74],[],[74],1,1,0,1,a man is hiking on the side of a cliff two hikers watch from above three hikers with outdoor gear and backpacks are at the edge of a cliff two hikers are standing on the edge watching the third hiker who defy gravity by walking straight down the cliff vertically one of the spectator hikers on the cliff s edge is talking three men are hiking in the mountains one man is walking down the cliff,the one explorer is defying gravity you can not hike down a steep cliff without plummeting to your death it is unusual that a hiker could walk down a 90 degree cliff face while standing straight up,how is the man able to stay on the cliff and not fall off what is the other hiker saying how can the hiker defy gravity how is he doing that,['a cliff']
fitter,[],[],[],[],0,0,0,0,a woman is opening her front door a man with a hood and a scythe is talking to her the grim reaper is standing at the door to someone is home while wearing a casual outfit a woman is holding a door open for him and speaking the grim reaper is wearing a hoodie and has come to a woman s door the woman is shocked to see him,the grim reaper is wearing a hoodie and pants normally he wears a black outfit it is unusual to see death depicted not wearing his traditional black robe the man is dressed like death,why is death dressed like that why is the grim reaper dressed like a hoodlum why does he have a scythe with him,"['living room', 'the front door']"
data entry keyer,[],[],[],[],0,0,0,0,two old fashioned gentleman are staring at a woman outside she has a huge frill around her neck this is in england during the victorian era two men are staring at a woman the woman has a huge collar around her neck two men stand in a medieval country setting walking past them is a third person a woman with a large circular object around her neck,it is unusual to see people wearing clothing of such large size around the neck a lady s dress frill is not that large and is very ungainly the woman s collar is huge it covers half her face and is not supposed to be like that,why is the collar so exaggerated on the woman why is that person dressed like that why is her frill so huge,"['a village', 'a community']"
ai researcher,[],[],[],[],0,0,0,0,a man and a woman are facing each other in a chair an elephant is in the room next to them,elephants do not live inside houses,why is the elephant there,['the living room']
paperhanger,[],[],[],[],0,0,0,0,two men are talking both have desks on their heads with tiny men working on computers,the desks and men on their heads is pretty odd,what are they talking about,['an office desk']
railroad worker,[],[],[],[],0,0,0,0,a bunch of executives are around a board room table they are staring at a plant seated at the end,there is a plant instead of a ceo,why is a plant in a chair,['a meeting room']
sonographer,[],[],[],[],0,0,0,0,two people are on a deserted island they are looking at another island where dolphins are stranded two men are on a small island the island next door is made of dolphins two people are stanind on a small island in the ocean with a single palm tree on it they are staring at a group of dolphins that have stacked their bodies together in such a way as to imitate the people and the island they are stuck on,there are dolphin out of the water and they are making the formation of a palm tree the dolphins are forming an island dolphins can not line up like that it is unusual to see several dolphins working together to imitate an object via posing and stacking on top of each other,why are the dolphins doing that why are the dolphins doing this why are the dolphins forming an island,['an island']
dishwasher,[],[],[],[],0,0,0,0,there is a marching band conductor leading two starving men through the desert the men are on the ground crawling a woman in parade attire marches through the desert crawling behind her are two ragged looking men two men are exhausted crawling through the desert they are following a marching band leader,the band leader is out in the middle of a deserted wasteland it is unusual to see three people parading through a desert there is a marching band leader in the middle of nowhere,why is there a woman leading two men through the desert is this a mirage why is there a marching band leader leading these thirsty and tired men through the desert,"['a desert', 'the desert']"
etcher,[],[],[],[],0,0,0,0,there is a rocket on the ground still smoking a policeman is there and is writing the driver a ticket,somehow the police car has caught the rocket,why is the rocket on the ground,['a traffic stop']
artist,[],[],[],[],0,0,0,0,two people are sitting across a desk from one another they are both tied up in straight jackets two people are in stray jackets they are in an office meeting type of setting two women in straightjackets are talking in an office one woman is behind a desk,the women are wearing straightjackets in an office people wear nice work clothes when meeting in the office and not stray jackets people do not normally wear straight jackets in offices,why are the women wearing straightjackets are they in an asylum why are they wearing stray jackets,"['an office room', 'an office']"
choreographer,[],[],[],[],0,0,0,0,a man is talking to another man in an office there are many chairs in a line in front of him,there are a half dozen chairs between the man and his boss,why are there so many chairs,['an office']
plasterer,[],[],[],[],0,0,0,0,people are in a boat paddling a huge wave with a scary face and arms tries to get them the statue of liberty is in the background,the waves have a face and arms,why does the wave have hands and a face,['sea']
pharmacist,[],[],[],[],0,0,0,0,a man is rowing a boat in the middle of a desert another man with tattered clothes is on the ground and on his knees with an angry expression a man is crawling through the desert another man is attempting to paddle a boat through the sand there is a man rowing a boat across a sandy desert who is looking down at another man next to his boat the other man is crawling on all fours and is looking up and talking to the man in the boat,rowing a boat in a dry desert is pointless since there is not any water it is unusual that a man is rowing a boat through sand it is also unusual to find a man crawling through a desert on all fours a rowboat should not be in the middle of the desert,how is the man in the boat able to row through sand why is the man rowing a boat in the desert why is he trying to row what is the man on all fours saying,"['a desert', 'sand']"
probation officer,[],[],[],[],0,0,0,0,a man and woman are sitting on what looks to be stones in a city that appears to be destroyed there is smoke and damaged building in the background both are looking at each other with confused look on their face,both man and woman are dressed well and the city in the background is completely destroyed the destruction in the background does not seem to worry them,what happened to the city,['a wasteland']
painter,[],[],[],[],0,0,0,0,a clown stares at a shop owner from outside the shop there is a name on the store called sam s a clown is sitting at a bar a bartender is facing him a clown is staring into a large glass window into a store the store is named sam s there is a clerk at the counter looking at the clown based on the tap near the clerk this place serves soda,it is weird for the clown to stare at someone from outside a store one normally does not find clowns in full makeup at a bar it is abnormal for someone to walk around dressed as a clown it is also peculiar to just stand and stare at someone through a window as well as creepy,why is the clown staring at the clerk why is the clown staring at the man what is the clown doing at the bar,"['a bar', 'a restaurant']"
stewardes,[],[],[],[],0,0,0,0,two sharks are facing each other in the ocean one shark has a retail store wardrobe dummy in its mouth while the other watches two sharks are in the water looking at one another one of the sharks has a mannequin store display model in its mouth they have serious looks on their faces two sharks are talking underwater one of them has a mannequin in its teeth,a mannequin store display does not belong in the water and sharks eat real animals with meat so it is unusual to see a shark trying to eat a mannequin it is unusual for a shark to have a wardrobe dummy in its mouth nothing unusual people drop all sorts of random crap in the ocean,what is the shark going to do with the mannequin why does the shark have a dummy in its mouth what is the other shark who is watching thinking why is the shark trying to eat the mannequin,"['ocean', 'the sea']"
historian,[],[],[],[],0,0,0,0,two people are in a kitchen one of them is in a hazmat suit and cooking a woman is wearing a hazmat suit while cooking a man is drinking wine in the kitchen near her a man and a woman are in the kitchen together the man is holding a glass and having a drink the woman is in some sort of hazmat suit while cooking on the stove,you do not need a hazmat suit in the kitchen the woman is wearing a hazmat suit in the kitchen while cooking this is overkill the wife is wearing a protective suit while cooking,what is she cooking why is the woman wearing a hazmat suit what is the woman trying to protect herself from,"['a kitchen', 'the kitchen']"
broker,[],[],[],[],0,0,0,0,adam and eve are in the garden of eden eve is offering adam a pie the serpent is in a nearby tree,apple pie is a modern food and does not belong,where did she find an oven,['the jungle']
locksmith,[],[],[],[],0,0,0,0,a man is sitting in a playpen he is holding some kind of communicator,adults do not use playpens,why is he in there,['a bedroom']
lathe operator,[],[],[],[],0,0,0,0,a man is doing a dive off a plank from a ship the pirates on the ship look shocked a man jumps from a plank to do a dive in the sea pirates look on at him in shock some pirates are standing around a plank on a pirate ship the man they were executing is diving into the water,the man is diving off the plank like an olympic diver people do not happily walk the plank when pirates are behind them the man is doing an olympic dive off a pirate plank usually people are tossed in the ocean,why is a man doing an olympic dive off a pirate plank is he doing that on purpose why is the man happy to jump the plank,"['a pirate ship', 'a ship']"
chemist,[],[],[],[],0,0,0,0,there are three cavemen two of which are standing in a hole while the third is sitting with his arms crossed inside the mouth of a cave in the distance the caveman in the hole is talking to the cavewoman next to him while they both watch the third caveman who is sulking in the cave a caveman is sitting in the mouth of his cave a couple more caveman are standing in a hole in the ground outside a caveman is alone in a small cave he looks sad two other cavepeople are staring at him from a hole,the man s cave is very small and he looks sad it is unusual for cavemen to be standing in a hole while another sits in a cave people do not normally live in holes,why are they in the hole what is the caveman saying to the cavewoman why is the caveman sad why are the cavemen in a hole,"['a cave', 'a cave dwelling']"
patternmaker,[],[],[],[],0,0,0,0,two dogs combine their cone collar together it makes it look like their heads are attached,this is not how cone collars work one cone per dog,why are the cone collars attached,['an empty scene']
dressmaker,[],[],[],[],0,0,0,0,a fish and a pigeon are looking eye to eye and appear to be having a conversation there is a fish swimming in the water a pigeon is talking to it a fish and a bird are staring at each other it is not clear from the image if bird is in the water or if fish is in the air,both bird and fish are in a state that does not seem to be too intense which indicates that fish is in the water and bird is in the air but both can not be true pigeons and fish do not talk to one another it is unusual to see these two animals together looking at one another eye to eye because one lives in the sea fish and the other on land and can fly pigeon it is also strange to have animals talking,why is both fish and bird in the same environment air or water at the same time what are they talking about what would these animals have to say to one another,"['the ocean', 'ocean']"
conductor,[],[],[],[],0,0,0,0,there is a man running on a hamster wheel he is wearing a tie a man runs in a hamster wheel inside an office room the floor is covered with paper shavings there is a room with an open door a man is running on a giant hamster wheel,hamster wheels are not full size like this it is unusual to see a large hamster wheel being used by a person a man is acting like a hamster,why is he running on a hamster wheel why is the man running on a hamster wheel why is that person using a hamster wheel,"['a room', 'office']"
official,[96],[],[],[96],1,0,0,1,,,,
referee,[],[],[],[],0,0,0,0,a doctor who is speaking with a patient is holding a sheet of paper that is on fire the doctor looks surprised while the patient has a nonchalant look on his face a doctor is with a patient the doctor has a note that is on fire a patient is sitting down in the examination room he looks dejected the doctor is talking to him but his clipboard is on fire,the patient does not react to the doctor holding up a piece of paper that is on fire the doctor s note is on fire and not burning him the doctor is holding a burning clipboard,is the patient upset about the clipboard why is the doctor s paper on fire why is the piece of paper on fire,"[""doctor's office"", ""a doctor's office""]"
paralegal,[],[],[],[],0,0,0,0,a man in a hat is petting a cat on a ship two pirates talk in the background two sailors are talking on the deck of a ship another man is sitting in a chair stroking a cat a man in a suit and top hat is sitting on what appears to be a pirate ship petting a cat two pirates are standing off to the side speaking with each other and looking at the man with the cat,one would not normally expect to find a well dressed man petting a cat on a pirate ship nothing is out of place that i can see there is a man with a cat on a boat with pirates,where are they sailing to why is the man petting the cat on the ship why is there a well dressed man petting a cat on a pirate ship,"['a ship', 'a sailing ship']"
congressperson,[],[],[],[],0,0,0,0,a man is confronting another man but he is still in his bed,the bed is upright and the man is wearing it,why did not he get out of bed,['a mattress']
plumber,[],[],[],[],0,0,0,0,a woman is at a party holding a drink she is addressing two other people who are tied up and standing in buckets,people are being held captive in public and no one is doing anything,why are they being held,['a party']
blockmason,[],[],[],[],0,0,0,0,a man does a cannonball dive into a work meeting some people stare up as he comes crashing down a business meeting is going on one man cannonballs into the meeting people are staring a bunch of executives are around a board room table another man in a suit is doing a cannonball onto the table,the man is cannonballing like he is at a pool diving into people like that is dangerous because both the man and others can get injured a man is cannonballing into a meeting of people this is done in a pool not here,why is he jumping on the table like that why is the man cannonballing into the people why is the man diving like that,"['a meeting room', 'a corporate meeting room']"
electromechanical technician,[],[],[],[],0,0,0,0,two men are on a bench one man is being attacked by birds the other man is reading and stares at him there are two people sitting on a park bench the man on the left is reading a newspaper while talking to the other person on the right the person on the right is covered in pigeons from head to toe two men are sitting on a park bench one has a book and the other is covered in birds,birds are covering the man this is not normal unless the man is covered with food it is unusual for a person to be completely covered with birds birds do not normally come that close to humans,why is the person covered in birds why are the birds on him why are the birds all over the man what is the other man saying,"['a park bench', 'a park']"
nurse practitioner,[],[],[],[],0,0,0,0,there is a huge anchor in a cafe people are staring at it a pirate is the cashier there is a coffee shop with a pirate at the register who is talking his employees to the side are busy pouring coffee for customers seen in the foreground one employee is having to reach around the end of a giant anchor which is leaning against the wall and reaches the ceiling a number of people are inside a restaurant a pirate is manning the register a giant anchor is sitting against the wall,the pirate and anchor are out of place there is a pirate and huge anchor inside a cafe it is unusual to see a giant anchor in a coffee shop,why is there a giant anchor in a coffee shop what is the pirate saying why is a pirate working at a restaurant why is there a huge anchor in a cafe,"['a cafe', 'restaurant']"
janitor,[],[],[],[],0,0,0,0,some people are around a pool the pool is filled with a giant beachball a group of people are sitting and standing around a fenced in swimming pool in the middle of a quaint mountain town the pool is completely filled with a large colorful beach ball there is a huge beachball in a pool people are outside in swimsuits looking at it,it is unusual to see a pool filled to capacity with a huge beach ball there is a huge beach ball filling up an entire pool beach balls are not that large,why are only the beach balls colored in how did the beach ball get so large are there dead people under the ball why is there a huge beachball in a pool,"['backyard', 'public pool']"
roustabout,[],[],[],[],0,0,0,0,a man is laying in a hospital bed with a beverage strapped to his head with ivs running into his arms a woman sits in a chair and glares at him,ivs are for intravenous fluid not for beer or soda or whatever other liquid it is,is the man using the ivs to get drunk,['the hospital']
podiatrist,[],[],[],[],0,0,0,0,two people are standing in the backyard at the grill there is a briefcase being cooked on the grill,briefcases are not food and should not be grilled,why are they cooking a briefcase,['the backyard']
editor,[],[],[],[],0,0,0,0,two soldiers are on horseback in a field a bunch of businessmen are trailing along behind them,the businessmen are in the wrong time period,where are they taking the men,['path']
attendant,[],[],[],[],0,0,0,0,a woman is standing in front of a tree there is a beehive attached to it with a man s face coming out of it,beehives do not have human faces on them,is it actually a man or a hive that looks like a head,['a tree']
optometrist,[],[],[],[],0,0,0,0,a man and woman are relaxing in their living room on the couch the woman is reading a book and the man is watching tv in the corner of the room there is a food truck with a man working inside of it two people are sitting on a couch in a living room watching tv and reading a food truck is parked in the room and a vendor is having a conversation with one of the people on the couch two people are sitting on a couch in their living room there is a man in a hot dog vendor cart nearby,it is unusual that the food truck is in the living room instead of outside and that he appears to be open for business there is a vendor inside their home there is a food truck in the middle of someone is home rather than being out on the street where more people are,why would the food truck choose to do business in this family s home what made the vendor park his food truck in a house what is the vendor doing in there,['a living room']
speech-language pathologist,[],[],[],[],0,0,0,0,a couple is eating dinner at a restaurant a waiter runs in with a pizza being chased by press,pizza is out of place in a fancy restaurant waiters usually do not get that kind of attention,why do the press want to see the waiter,['a restaurant']
dermatologist,[],[],[],[],0,0,0,0,a man and a woman are sitting in their living room a cat is lounging between them on his own chair,the cat is dressed up like a king,is the cat the ruler of this house,['the living room']
observer,[],[],[],[],0,0,0,0,two knights are standing guard in a throne room one is in a hammock put up between two pillars a king is in his castle in a hammock he is talking to a nearby soldier there are two medieval guards in the throne room of a castle one guard is standing next to the throne with spear in hand the other guard has a hammock set up between two columns and he is lounging in it the guard in the hammock is talking,the king is in a hammock hammocks are usually found outside in modern times it is unusual for a king s guard to be lounging in a hammock while on duty a guard should not have a hammock where he is supposed to be standing guard,why is the guard in a hammock what is the lounging guard saying why is he in a hammock why is there a hammock in a castle,"['a kingdom', 'a throne room']"
journalist,[],[],[],[],0,0,0,0,a moses like figure is standing on top of a mountain holding two tablets and is looking up into the sky with a confused worried look on his face a giant hand is reaching down from a cloud towards the man and it is holding a sweater a man is watching a hand coming through the clouds with a sweater man is wearing a robe and holding on to two things close to his chest and has a worried look moses is holding the commandments and standing on a mountaintop the hand of god is giving him a jacket,the jacket is very modern and out of its time a huge hand coming out of the clouds is the most unusual element in the picture this is a well known story of moses receiving the ten commandments from god on top of a mountain so seeing god give moses what looks like a turtleneck sweater is surprising and unusual,why is god or this large hand giving the man a sweater why does moses need a jacket what deal is being made here,"['mount sinai', 'a mountain top']"
postmaster,[],[],[],[],0,0,0,0,two people are riding a two person bike down the road they are both on the phone two people are riding on a single bike that is stretched out massively each person has their own pedals seat and steering wheel but they only have one wheel each they are both on their phones a man and woman are riding on a tandem bicycle but this bicycle is extremely long they are both on their cell phones and it is likely that they are talking to each other,the length of the bike that the cyclists are riding is much longer than it should be it would not be realistic to be able to safely ride it it is weird to have a bike that extended and to have the parts split up in such a way it is also strange how the two people are mirroring each other with the phone and hand placement the bicycle is unusually long,are the people on the bike speaking to each other on their cell phones why is the bike so outstretched why would they choose a bike that long to ride are they calling one another on the phone,"['road', 'street']"
allergist,[],[],[],[],0,0,0,0,several people are walking through the lobby of an office building on one side of the office a man is restrained in the stocks possibly as some type of punishment a man and woman are walking into a building there is another man in stocks there is a man and woman in office attire walking through the lobby of a building with other office workers in the background the man is talking to the woman while they both watch another office worker to the far right side with his hands and head locked up in a stockade,a man is being restrained in a way that has not been used for hundreds of years and it is happening in a modern environment the stocks are out of place in this time period it is unusual for an office worker to be locked up in a stockade in a lobby setting,what did the man do why is the office worker locked up in a stockade in a lobby what is the man saying to the woman what did the man do to end up in the stocks why did they choose such an old method of punishment for the man,"['the front desk', 'office']"
artisan,[],[],[],[],0,0,0,0,many clones of the same guy step out into the hallway from a room a woman stands in shock as she uses her phone there are a bunch of men that look identical coming into a room a woman is on the phone staring at them a large group of men are exiting a room in an office this group of men are all exact clones of one another a woman is nearby on the phone and looking on with a shocked expression,there are not this many identical people in the world these are clones which do not exist there are a dozen or more men that are in the same place and are perfect replicas of one another all the men look the same this is not possible,how did the man clone himself why are so many identical men in the same place at the same time why are all the men exactly the same,"['an empty room', 'at a work location']"
teller,[],[],[],[],0,0,0,0,in a kitchen there is a little boy holding a genie s lamp who is looking up at a genie but the genie is not appearing from the lamp instead the genie is coming out of a toaster on the kitchen counter and he is now talking to the little boy a boy is holding a lamp in front of the kitchen counter a genie is coming out of the toaster a genie is coming out of a toaster the boy is holding the lamp but the genie is coming out of a toaster instead,genies come out of lamps not toasters a genie would normally come out of the lamp it is unusual for a genie to be coming out of a toaster,what does the boy wish for why is the genie coming out of a toaster what is the genie saying why is the genie coming out of a toaster,"['kitchen', 'a kitchen']"
guard,[68],[68],[68],[68],1,1,1,1,two people are walking a dog outside a giant vaccum cleaner is in the air in front of them,vacuum cleaners are not that large and they do not fly,where did the vacuum come from,['the sidewalk']
archivist,[],[],[],[],0,0,0,0,a few deer go to an art exhibit to look at deer signs they walk on their hind legs standing up three deer are looking at deer crossing signs they appear to be confused about it three deer are at an art museum admiring road signs the signs have pictures of deer on them,deers are not able to walk or appreciate art deer do not walk upright deer are standing up at a museum admiring road signs of deer crossings,why is there a deer exhibit why are deer acting like people here do they understand what they are seeing,"['art gallery', 'museum']"
astronomer,[],[],[],[],0,0,0,0,,,,
